,vehicleid,delaytime
0,NE02,17.72501445
1,NE06,6.610768795
2,SN10,26.40296841
3,SE14,11.39741421
4,NW15,8.990849972
5,EN11,32.40110803
6,WE17,14.70912457
7,EN13,31.79821587
8,EN112,6.281523943
9,EW113,6.290200949
10,ES010,11.69992781
11,WN08,20.39246249
12,WN09,16.49513888
13,WN015,9.011603832
14,WN016,9.039694786
15,SW014,12.00704837
16,NE011,16.8022337
17,NS117,17.10852289
18,NW118,16.81063509
19,NS119,12.28778505
20,SE124,6.601907015
21,NS121,11.70531178
22,SE126,6.29896307
23,EN123,21.30078721
24,EW125,16.50140262
25,WS122,22.75974798
26,EN128,10.49897742
27,EW129,9.590650082
28,WS130,7.809448242
29,EN133,6.293504
30,EW135,6.273687601
31,WN020,32.7121799
32,WN027,21.88696218
33,WN032,12.90985751
34,WN041,7.489083529
35,EN138,13.19855762
36,WE139,12.89562011
37,WS144,6.61660409
38,EW145,6.302676678
39,WE147,6.590396166
40,WS148,6.596474409
41,SW034,25.48598838
42,NE042,17.40433812
43,WE152,18.28329539
44,EN158,6.594020128
45,EN159,6.298084974
46,ES043,41.99982476
47,WN054,22.79142189
48,WN055,22.48536301
49,ES046,40.20289969
50,SN136,61.49980307
51,SE137,61.50476885
52,NS131,63.60877085
53,NW151,43.52504182
54,SE140,59.08146739
55,SN150,45.60784531
56,NS149,45.60697412
57,NW156,28.8101666
58,SN153,35.42097402
59,NW157,27.5986321
60,NW160,23.69608593
61,EN163,16.80474138
62,EW161,22.80474544
63,WS162,22.80243444
64,WE169,12.59542155
65,EN164,16.80210853
66,EW165,14.70816207
67,EN166,15.28352356
68,EN171,6.302658081
69,WE172,6.598967791
70,WS173,6.580730915
71,SW067,18.59525585
72,SW076,7.499477625
73,NW174,14.09363079
74,NS180,5.98910594
75,EN178,16.50247478
76,WS183,7.810023069
77,EN179,15.59192085
78,WS187,6.592205048
79,ES075,29.10152578
80,WN068,41.70398116
81,WN070,35.68085051
82,WN077,28.48506689
83,EN192,10.78971171
84,WS189,13.48535156
85,WS191,13.4815836
86,WS198,6.595120192
87,EW1101,6.296396494
88,NW182,27.31673408
89,SN185,25.1638701
90,SN186,24.59685397
91,SN190,20.6820879
92,SN195,17.38485312
93,NW1104,5.989023447
94,SN196,6.284294367
95,SN199,6.288081169
96,NS1105,5.999350548
97,SN1102,6.278021336
98,SW088,28.49283481
99,NE081,40.50993347
100,NE084,35.07283354
101,SW097,18.59493899
102,NE093,24.89012718
103,NE094,24.88757944
104,NE0100,6.582130194
105,NE0103,6.599986076
106,WN0107,13.20426655
107,ES0114,6.300976753
108,SN1108,17.39109397
109,SE1112,8.708945274
110,NS1106,19.49874115
111,NW1110,12.00806451
112,NW1111,12.00423717
113,NW1113,9.015955925
114,SN1117,6.30909586
115,SN1119,6.300512552
116,SW0121,11.39898515
117,NE0115,18.30753708
118,NE0125,10.73481607
119,SW0123,11.06698203
120,SW0128,6.586602211
121,NE0127,10.19419599
122,SN1133,9.610686541
123,SE1134,6.902600527
124,NS1131,11.11103106
125,NS1132,11.09501076
126,SN1135,6.296451569
127,EN1122,30.88927102
128,EW1130,18.90357852
129,WE1109,50.1159966
130,WS1124,30.013623
131,EW1136,11.40804243
132,WS1126,29.98435616
133,WE1116,38.98790288
134,EN1138,6.292902946
135,EN1140,6.296489239
136,WE1142,6.594471216
137,ES0120,47.69642019
138,WN0118,50.36889458
139,WN0129,36.88462472
140,NS1137,26.70738649
141,SE1146,6.594875097
142,SE1151,6.296782255
143,NS1154,5.996625185
144,SE1155,6.293027878
145,EN1144,30.59564805
146,EW1148,18.59466243
147,EN1152,14.09530544
148,WE1160,6.594287872
149,SW0139,48.88727236
