,starttime,endtime,phaseDuration
0,1709747411.680618,1709747411.8707635,12
1,1709747423.6841273,1709747423.7016926,7
2,1709747430.8796012,1709747430.9081364,7
3,1709747437.979694,1709747438.0188138,7
4,1709747445.0799136,1709747445.0964813,7
5,1709747452.179956,1709747452.199561,7
6,1709747459.1796463,1709747459.2029355,12
7,1709747471.2797217,1709747471.2923908,7
8,1709747478.2811697,1709747478.3005087,7
9,1709747485.2826998,1709747485.3057775,11
10,1709747496.3826585,1709747496.4018762,7
11,1709747503.3827052,1709747503.4026148,7
12,1709747510.4796221,1709747510.4983861,12
13,1709747522.5796375,1709747522.5979364,10
14,1709747532.5891032,1709747532.6072204,7
15,1709747539.780625,1709747539.795307,7
16,1709747546.8796792,1709747546.9050758,7
17,1709747553.881121,1709747553.9020772,7
18,1709747560.9795544,1709747561.0005991,7
19,1709747568.081849,1709747568.101226,7
20,1709747575.1936128,1709747575.2130978,7
21,1709747582.2796311,1709747582.3009875,7
22,1709747589.283863,1709747589.3123224,7
23,1709747596.3796585,1709747596.3974004,7
24,1709747603.3828628,1709747603.4042118,12
25,1709747615.579737,1709747615.5971045,12
26,1709747627.5799978,1709747627.5955737,7
27,1709747634.5868251,1709747634.6077535,7
28,1709747641.7865853,1709747641.8025312,7
29,1709747648.8873785,1709747648.90357,7
30,1709747655.8855176,1709747655.907889,7
31,1709747662.9858792,1709747663.0079315,12
32,1709747675.0820353,1709747675.1013987,7
33,1709747682.1796272,1709747682.1970525,7
34,1709747689.1851318,1709747689.2046154,7
35,1709747696.2795742,1709747696.2996688,10
36,1709747706.282577,1709747706.30397,7
37,1709747713.389572,1709747713.4090633,12
38,1709747725.4830816,1709747725.5019464,7
39,1709747732.4878256,1709747732.5051372,12
40,1709747744.579443,1709747744.5986836,12
41,1709747756.6867154,1709747756.7046633,12
42,1709747768.683265,1709747768.7033515,7
43,1709747775.886386,1709747775.9095316,7
44,1709747782.9796035,1709747782.9930546,7
45,1709747789.980594,1709747789.9993443,7
46,1709747796.9877815,1709747797.0084844,7
47,1709747804.084067,1709747804.1039662,12
48,1709747816.2796745,1709747816.3036873,11
49,1709747827.2796874,1709747827.2992668,7
50,1709747834.3841436,1709747834.402162,7
51,1709747841.479565,1709747841.496082,7
52,1709747848.4840527,1709747848.5066633,11
53,1709747859.5846758,1709747859.6065416,12
54,1709747871.5839138,1709747871.602092,7
55,1709747878.681127,1709747878.7047,12
56,1709747890.7865508,1709747890.8048525,12
57,1709747902.87961,1709747902.9031076,12
58,1709747914.9795847,1709747914.997654,7
59,1709747921.9882717,1709747922.0080824,7
60,1709747929.0796063,1709747929.0937822,7
61,1709747936.0841877,1709747936.1022434,7
62,1709747943.1851552,1709747943.2041824,7
63,1709747950.1869185,1709747950.2080839,7
64,1709747957.2816834,1709747957.299702,7
65,1709747964.283802,1709747964.2970963,9
66,1709747973.4796317,1709747973.5018942,7
67,1709747980.4850576,1709747980.5025132,12
68,1709747992.6797843,1709747992.6971874,9
69,1709748001.6798072,1709748001.7005258,7
70,1709748008.684492,1709748008.7028818,12
71,1709748020.689035,1709748020.7085953,12
72,1709748032.789706,1709748032.8109784,7
73,1709748039.9820175,1709748040.010064,7
74,1709748046.8869932,1709748046.905756,7
75,1709748054.0816386,1709748054.0975904,7
76,1709748061.18325,1709748061.202302,7
77,1709748068.2839801,1709748068.30278,7
78,1709748075.2825127,1709748075.30791,7
79,1709748082.286111,1709748082.2995007,12
80,1709748094.3796296,1709748094.3990703,12
81,1709748106.4830873,1709748106.5009534,12
82,1709748118.4857893,1709748118.505308,7
83,1709748125.4887125,1709748125.5086472,7
84,1709748132.5806947,1709748132.6003242,7
85,1709748139.6826887,1709748139.7040243,7
86,1709748146.7846327,1709748146.8051512,7
87,1709748153.8854043,1709748153.9026735,7
88,1709748160.8823617,1709748160.9033334,10
89,1709748170.9884036,1709748171.0094914,7
90,1709748177.9845245,1709748178.0036628,7
91,1709748185.080656,1709748185.0980592,7
92,1709748192.1825194,1709748192.197494,7
93,1709748199.2846868,1709748199.308148,10
94,1709748209.3856666,1709748209.4054585,7
95,1709748216.3850682,1709748216.4043791,7
96,1709748223.486456,1709748223.503733,12
97,1709748235.486798,1709748235.5052662,7
98,1709748242.490085,1709748242.5084097,7
99,1709748249.6810117,1709748249.701513,7
100,1709748256.7828057,1709748256.8050895,12
101,1709748268.7849703,1709748268.8055077,12
102,1709748280.8883672,1709748280.904251,7
103,1709748287.8814297,1709748287.8968587,7
104,1709748294.9825652,1709748295.0016224,8
105,1709748303.0905561,1709748303.106948,7
106,1709748310.179646,1709748310.1917093,7
107,1709748317.2796252,1709748317.2946134,7
108,1709748324.3796334,1709748324.395922,7
109,1709748331.692867,1709748331.7107866,7
110,1709748338.7796655,1709748338.7840393,7
111,1709748345.8796897,1709748345.8849275,7
112,1709748352.9796371,1709748352.9838734,7
113,1709748360.0796745,1709748360.086678,7
114,1709748367.1796293,1709748367.1836715,7
115,1709748374.2796128,1709748374.2842016,7
116,1709748381.3795981,1709748381.3856559,7
