,vehicleid,recievetime
0,EW1,1709747408.1869717
1,EW1,1709747408.1946912
2,EW1,1709747408.2269998
3,EW1,1709747408.2340066
4,EW1,1709747408.2374883
5,EW1,1709747408.242606
6,EW1,1709747408.2466867
7,EW1,1709747408.2517
8,EW1,1709747408.25642
9,EW1,1709747408.260765
10,EW1,1709747408.2638211
11,EW1,1709747408.270115
12,EW1,1709747408.2740195
13,EW1,1709747408.2780657
14,EW1,1709747408.2987094
15,EW1,1709747408.3189552
16,EW1,1709747408.3232832
17,EW1,1709747408.3287566
18,EW1,1709747408.3330758
19,EW1,1709747408.3380132
20,EW1,1709747408.3434398
21,EW1,1709747408.3479166
22,EW1,1709747408.355813
23,EW1,1709747408.362704
24,EW1,1709747408.3707278
25,EW1,1709747408.378504
26,EW1,1709747408.3838096
27,EW1,1709747408.3909764
28,EW1,1709747408.396421
29,EW1,1709747408.4062216
30,EW1,1709747408.4122312
31,EW1,1709747408.4212205
32,EW1,1709747408.4269543
33,EW1,1709747408.4372575
34,EW1,1709747408.4461792
35,EW1,1709747408.4597461
36,EW1,1709747408.4707184
37,EW1,1709747408.4790223
38,EW1,1709747408.4996707
39,EW1,1709747408.5068638
40,EW1,1709747408.519003
41,EW1,1709747408.5320497
42,EW1,1709747408.5365534
43,EW1,1709747408.542722
44,EW1,1709747408.549007
45,EW1,1709747408.5672824
46,EW1,1709747408.572875
47,EW1,1709747408.5774677
48,EW1,1709747408.5902445
49,EW1,1709747408.5976474
50,EW1,1709747408.6054196
51,EW1,1709747408.611332
52,EW1,1709747408.6177218
53,EW1,1709747408.6243784
54,EW1,1709747408.6312642
55,EW1,1709747408.6372244
56,EW1,1709747408.6432724
57,EW1,1709747408.648874
58,EW1,1709747408.6618593
59,EW1,1709747408.6668444
60,EW1,1709747408.671697
61,EW1,1709747408.6785407
62,EW1,1709747408.6847851
63,EW1,1709747408.6924772
64,EW1,1709747408.7002106
65,EW1,1709747408.7261112
66,EW1,1709747408.731144
67,EW1,1709747408.73789
68,EW1,1709747408.7431362
69,EW1,1709747408.7488441
70,EW1,1709747408.7549095
71,EW1,1709747408.760731
72,EW1,1709747408.7715554
73,EW1,1709747408.7768135
74,EW1,1709747408.7838352
75,EW1,1709747408.7920625
76,EW1,1709747408.7978306
77,EW1,1709747408.8039808
78,EW1,1709747408.8100255
79,EW1,1709747408.8178277
80,EW1,1709747408.8254905
81,EW1,1709747408.8346138
82,EW1,1709747408.8413148
83,EW1,1709747408.8459444
84,EW1,1709747408.8494637
85,EW1,1709747408.8527548
86,EW1,1709747408.8566864
87,EW1,1709747408.8626015
88,EW1,1709747408.8689208
89,EW1,1709747408.8739884
90,EW1,1709747408.8773882
91,EW1,1709747408.881511
92,EW1,1709747408.887612
93,EW1,1709747408.8921378
94,EW1,1709747408.8968272
95,EW1,1709747408.9015884
96,EW1,1709747408.9056525
97,EW1,1709747408.910448
98,EW1,1709747408.917277
99,EW1,1709747408.925273
100,EW1,1709747408.9332054
101,EW1,1709747408.9471617
102,EW1,1709747408.9540162
103,EW1,1709747408.9627748
104,EW1,1709747408.9736829
105,EW1,1709747408.9782043
106,EW1,1709747408.9842734
107,EW1,1709747408.988737
108,EW1,1709747408.9958363
109,EW1,1709747409.0033054
110,EW1,1709747409.0282452
111,EW1,1709747409.03624
112,EW1,1709747409.0495784
113,EW1,1709747409.0702739
114,EW1,1709747409.080985
115,EW1,1709747409.0857832
116,EW1,1709747409.0928137
117,EW1,1709747409.09976
118,EW1,1709747409.1045904
119,EW1,1709747409.1105459
120,EW1,1709747409.116993
121,EW1,1709747409.1239443
122,EW1,1709747409.130961
123,EW1,1709747409.1418836
124,EW1,1709747409.1502934
125,EW1,1709747409.1667836
126,EW1,1709747409.1729562
127,EW1,1709747409.1787853
128,EW1,1709747409.1862552
129,EW1,1709747409.1915772
130,EW1,1709747409.2030683
131,EW1,1709747409.209648
132,EW1,1709747409.2154255
133,EW1,1709747409.2215903
134,EW1,1709747409.2272267
135,EW1,1709747409.2344263
136,EW1,1709747409.2404208
137,EW1,1709747409.2524228
138,EW1,1709747409.2683902
139,EW1,1709747409.2781215
140,EW1,1709747409.2859542
141,EW1,1709747409.2907414
142,EW1,1709747409.2972414
143,EW1,1709747409.303121
144,EW1,1709747409.3089259
145,EW1,1709747409.3221052
146,EW1,1709747409.3274376
147,EW1,1709747409.3342094
148,EW1,1709747409.3419588
149,EW1,1709747409.3490343
150,EW1,1709747409.3544981
151,EW1,1709747409.3603964
152,EW1,1709747409.376314
153,EW1,1709747409.3813305
154,EW1,1709747409.3869247
155,EW1,1709747409.3964562
156,EW1,1709747409.405307
157,EW1,1709747409.4178946
158,EW1,1709747409.435311
159,EW1,1709747409.440021
160,EW1,1709747409.444428
161,EW1,1709747409.451152
162,EW1,1709747409.459541
163,EW1,1709747409.471019
164,EW1,1709747409.491524
165,EW1,1709747409.496937
166,EW1,1709747409.5012171
167,SN10,1709747409.509367
168,EW1,1709747409.5210738
169,EW1,1709747409.525212
170,EW1,1709747409.5347426
171,EW1,1709747409.5395372
172,EW1,1709747409.5512264
173,EW1,1709747409.5593026
174,EW1,1709747409.5731559
175,EW1,1709747409.5813253
176,EW1,1709747409.5897872
177,EW1,1709747409.5941298
178,EW1,1709747409.598516
179,EW1,1709747409.604067
180,EW1,1709747409.608695
181,EW1,1709747409.6155326
182,EW1,1709747409.6226218
183,EW1,1709747409.6312575
184,EW1,1709747409.6355739
185,EW1,1709747409.6412427
186,EW1,1709747409.6474302
187,EW1,1709747409.6531024
188,EW1,1709747409.6682153
189,EW1,1709747409.6771164
190,EW1,1709747409.6822717
191,EW1,1709747409.6911283
192,EW1,1709747409.6992135
193,EW1,1709747409.7057135
194,EW1,1709747409.7122777
195,EW1,1709747409.7204974
196,EW1,1709747409.7260003
197,EW1,1709747409.733423
198,EW1,1709747409.7403436
199,EW1,1709747409.7506175
200,EW1,1709747409.7553186
201,EW1,1709747409.7600098
202,EW1,1709747409.7697852
203,EW1,1709747409.7861102
204,EW1,1709747409.7919307
205,EW1,1709747409.7981377
206,EW1,1709747409.8025227
207,EW1,1709747409.8071833
208,EW1,1709747409.8121257
209,SN10,1709747409.816838
210,EW1,1709747409.821376
211,EW1,1709747409.826105
212,EW1,1709747409.8437064
213,EW1,1709747409.8504581
214,EW1,1709747409.8574655
215,EW1,1709747409.8622892
216,EW1,1709747409.8682103
217,EW1,1709747409.8744435
218,EW1,1709747409.8821063
219,EW1,1709747409.8880076
220,EW1,1709747409.9026115
221,EW1,1709747409.9098895
222,EW1,1709747409.9181607
223,EW1,1709747409.9325707
224,EW1,1709747409.9381373
225,EW1,1709747409.9464753
226,EW1,1709747409.9569325
227,EW1,1709747409.9815996
228,EW1,1709747409.989827
229,EW1,1709747410.0000308
230,EW1,1709747410.0157876
231,EW1,1709747410.021656
232,EW1,1709747410.0278337
233,EW1,1709747410.0418038
234,EW1,1709747410.0669389
235,EW1,1709747410.0763628
236,EW1,1709747410.0858014
237,EW1,1709747410.0962005
238,EW1,1709747410.1026976
239,SN10,1709747410.1074536
240,EW1,1709747410.1128232
241,EW1,1709747410.1196926
242,EW1,1709747410.1261191
243,EW1,1709747410.1322315
244,EW1,1709747410.1566336
245,EW1,1709747410.162944
246,EW1,1709747410.1703942
247,EW1,1709747410.1880422
248,EW1,1709747410.1938813
249,EW1,1709747410.1998677
250,EW1,1709747410.2058158
251,EW1,1709747410.2165816
252,EW1,1709747410.2242284
253,EW1,1709747410.2425108
254,EW1,1709747410.2532642
255,EW1,1709747410.2767808
256,EW1,1709747410.282735
257,EW1,1709747410.288966
258,EW1,1709747410.3192825
259,EW1,1709747410.3241777
260,EW1,1709747410.3301985
261,EW1,1709747410.3372543
262,EW1,1709747410.3434944
263,EW1,1709747410.3488705
264,EW1,1709747410.3547382
265,EW1,1709747410.3604245
266,EW1,1709747410.3720715
267,EW1,1709747410.3782647
268,EW1,1709747410.3854654
269,EW1,1709747410.3910306
270,EW1,1709747410.398367
271,EW1,1709747410.4147718
272,SN10,1709747410.4215086
273,EW1,1709747410.425935
274,EW1,1709747410.4295156
275,EW1,1709747410.4354901
276,EW1,1709747410.441984
277,EW1,1709747410.4481952
278,EW1,1709747410.4563174
279,EW1,1709747410.4627938
280,EW1,1709747410.4734192
281,EW1,1709747410.4852037
282,EW1,1709747410.4962978
283,EW1,1709747410.5055187
284,EW1,1709747410.5168447
285,EW1,1709747410.5309904
286,EW1,1709747410.535431
287,EW1,1709747410.5395157
288,EW1,1709747410.5484552
289,EW1,1709747410.5555353
290,EW1,1709747410.5663726
291,EW1,1709747410.571585
292,EW1,1709747410.5862532
293,EW1,1709747410.5940008
294,EW1,1709747410.6004415
295,EW1,1709747410.60673
296,EW1,1709747410.614746
297,EW1,1709747410.6198034
298,SN1,1709747410.624327
299,EW1,1709747410.643236
300,SN1,1709747410.6495225
301,EW1,1709747410.6563396
