,vehicleid,transtime
0,SN10,1709747409.508833
1,SN10,1709747409.8110209
2,SN10,1709747410.1072242
3,SN10,1709747410.4117327
4,EN11,1709747410.70244
5,SN10,1709747410.7153025
6,EN11,1709747410.9993477
7,SN10,1709747411.0096166
8,EN11,1709747411.2996562
9,SN10,1709747411.3117034
10,EN11,1709747411.5991993
11,SN10,1709747411.610298
12,NE02,1709747411.6218412
13,EN11,1709747411.900494
14,SN10,1709747411.9146383
15,NE02,1709747411.9264593
16,EN11,1709747412.2014234
17,EN13,1709747412.2055924
18,SN10,1709747412.2171423
19,NE02,1709747412.227373
20,EN11,1709747412.501028
21,EN13,1709747412.5049198
22,SN10,1709747412.5165677
23,NE02,1709747412.5373945
24,EN11,1709747412.8057942
25,EN13,1709747412.8094413
26,SN10,1709747412.8200886
27,NE02,1709747412.8398614
28,EN11,1709747413.105017
29,EN13,1709747413.1088514
30,SN10,1709747413.123028
31,NE02,1709747413.1372662
32,EN11,1709747413.3995948
33,EN13,1709747413.4027274
34,SN10,1709747413.4133441
35,NE02,1709747413.4285204
36,EN11,1709747413.7005458
37,EN13,1709747413.70404
38,SN10,1709747413.716373
39,NE02,1709747413.73589
40,EN11,1709747413.9989626
41,EN13,1709747414.003248
42,SN10,1709747414.0149555
43,NE02,1709747414.024252
44,EN11,1709747414.3025076
45,EN13,1709747414.307061
46,SN10,1709747414.3190563
47,NE02,1709747414.3357878
48,EN11,1709747414.6049678
49,EN13,1709747414.6095312
50,SN10,1709747414.6213968
51,NE02,1709747414.6350627
52,EN11,1709747414.8995428
53,EN13,1709747414.902184
54,SN10,1709747414.918128
55,NE02,1709747414.929969
56,EN11,1709747415.1990345
57,EN13,1709747415.2010643
58,SN10,1709747415.2130105
59,NE02,1709747415.2246566
60,EN11,1709747415.5033305
61,EN13,1709747415.5060244
62,SN10,1709747415.514966
63,NE02,1709747415.5261588
64,EN11,1709747415.8015168
65,EN13,1709747415.8037355
66,SN10,1709747415.813472
