,vehicleid,delaytime
0,SW04,6.598543644
1,SW06,6.594559431
2,SW07,6.588772058
3,EN12,20.10183501
4,WS11,21.92035031
5,EN15,11.40039587
6,WN08,17.98803091
7,SN10,36.61038375
8,NS13,32.41093373
9,NW111,8.415723801
10,NS19,21.31124234
11,NW112,6.925159454
12,SE114,6.30109024
13,NS115,5.993355751
14,SE119,6.291930676
15,NS121,5.999192476
16,NE013,21.27858996
17,ES017,24.30883455
18,WN020,21.91414165
19,EN126,10.18231225
20,EW110,43.8014462
21,WS125,15.92216158
22,EW116,34.50965953
23,EW118,32.96864676
24,WE128,6.626072407
25,EW122,26.42154598
26,EW123,6.298082829
27,WE130,6.619219065
28,EW135,6.298313141
29,EN136,6.292646408
30,SN134,12.29304218
31,NS133,12.59472895
32,NW124,30.91892958
33,SN137,9.590232134
34,NW127,21.90007758
35,NW129,18.30246353
36,ES032,22.79779124
37,ES044,6.294151306
38,SW031,31.19125462
39,NE038,22.79791284
40,NE042,14.10565519
41,NE045,7.195631266
42,NE047,6.57130909
43,EN139,29.39490128
44,EW143,17.39009976
45,WE146,12.57483649
46,WS140,27.27571177
47,EW150,9.596837997
48,WS141,25.18493319
49,WE149,12.27644777
50,WS152,10.46063018
51,WN051,18.86720133
52,WN054,9.865058184
53,NS153,19.4911375
54,NW148,25.1800313
55,ES056,11.69783831
56,WN055,14.08919954
57,WN058,11.68671656
58,WE157,20.0984354
59,SE160,17.6967802
60,SE163,6.296714067
61,NE059,26.70317197
62,NE061,22.5060997
63,NE062,18.31554341
64,NE065,8.379594088
65,SN164,13.19631362
66,SW066,14.69987702
67,SW073,6.599798679
68,SN176,10.4961772
69,SN177,7.797306538
70,EW172,21.88958025
71,WS167,31.82481575
72,WE185,6.608082056
73,EW179,12.59861851
74,WS168,29.72247553
75,EW180,12.0026803
76,WS170,27.89146399
77,WS171,27.90441275
78,WS175,23.71718192
79,WS183,6.594506025
80,SW086,8.402616262
81,NE087,9.30687356
82,SW088,8.396486759
83,NE091,6.586436749
84,SE193,6.588931322
85,NS189,14.99403119
86,NW182,21.30501318
87,NS190,11.99457288
88,NW192,11.07227349
89,ES069,50.10525513
90,WN074,47.12710094
91,ES084,30.60226893
92,WN078,40.21310258
93,WN081,34.78605008
94,WE195,22.50670767
95,WS194,23.70400238
96,WE196,21.29456139
97,WS197,19.18295121
98,WS1101,10.18803859
99,EW1104,6.301257372
100,EN1108,6.303098679
101,EW1109,6.291367054
102,WS1112,6.604858637
103,WE1121,6.609536886
104,EW1122,6.29985714
105,WS1126,6.594707727
106,WS1127,6.605671167
107,WS1134,6.629884005
108,EW1139,6.307817221
109,EN1140,6.29663229
110,WS1149,6.605651855
111,WS1154,6.593438864
112,WE1156,6.626343966
113,EN1162,6.596486568
114,EN1166,6.301450014
115,EW1169,6.292285919
116,WE1171,6.607895374
117,WS1174,6.588789463
118,SN1100,136.2178669
119,SE1118,102.5999455
120,NS1136,69.33041286
121,NW198,140.798651
122,NW1107,122.5006502
123,SN1105,125.7168498
124,SE1123,93.61312485
125,NS1146,54.03134179
126,NW1110,118.2861824
127,SN1115,110.4226136
128,SE1124,93.01379728
129,NS1160,36.89692545
130,NW1113,114.3945251
131,SN1167,25.79297543
132,SE1128,86.70836806
133,NS1165,25.80669594
134,NW1125,5.957536459
135,SE1142,6.264928102
136,NS1172,5.966107607
137,NW1129,5.960466385
138,SE1145,6.270463467
139,NS1173,5.97250104
140,NW1131,5.948662996
141,SE1148,6.280078173
142,NS1175,5.984624624
143,NW1133,5.959538221
144,SE1151,6.281381369
145,NS1176,5.973829985
146,NS1177,5.977842331
147,NW1143,5.957309484
148,SE1155,6.290355682
149,ES0111,125.6969903
150,WN0116,116.1659968
151,ES0119,110.3959396
152,WN0132,87.3495698
153,ES0120,108.606499
154,WN0141,71.74423289
155,ES0135,81.29467297
156,WN0144,67.83430409
157,ES0157,6.288457632
158,WN0150,6.545609236
159,ES0161,6.284550905
160,WN0153,6.549679279
161,WN0179,6.557479858
162,WN0182,6.601322889
163,WN0187,6.617277861
164,WN0189,6.573936462
165,SW0102,174.9136879
166,NE099,178.5460284
167,NE0103,168.9447551
168,SW0117,145.2018459
169,SW0130,119.6947801
170,NE0106,167.4442291
171,SW0152,88.78534794
172,NE0114,155.7167754
173,SW0170,6.587985992
174,NE0137,6.581243277
175,NE0138,6.593641758
176,NE0147,6.574459076
177,NE0183,6.546165228
178,NE0193,6.557960749
179,NE0198,6.608716249
180,NS1178,56.3637073
181,NW1158,56.34024143
182,SN1188,38.0907259
183,SE1164,56.672436
184,NW1159,56.06020045
185,SE1168,56.38132477
186,SN1196,15.89686704
187,NS1203,6.018360853
188,NW1163,56.05050516
189,SE1194,33.29980969
190,SN1200,10.5026567
191,NW1181,56.04193211
192,SE1197,15.89960957
193,NW1195,17.35285139
194,SE1201,6.296926498
195,NS1206,6.008469343
196,NW1199,5.979023933
197,SN1208,6.300041437
198,SE1204,6.291050911
199,NW1205,5.966746807
200,SE1207,6.28115201
201,EN1190,44.99258876
202,EW1180,66.59092665
203,WE1191,45.87438726
204,WS1184,62.65280962
205,EN1192,43.49490905
206,EW1186,49.19292593
207,WS1185,58.46521473
208,EW1209,10.19450474
209,WS1215,6.594577789
210,WE1216,6.582948923
211,WN0210,17.94833899
212,ES0220,6.300235748
213,NW1211,22.16781831
214,SN1212,21.90469027
215,NS1213,17.68270278
216,NW1218,14.06484818
217,SN1221,8.975823879
218,SE1227,6.59761548
219,NW1230,5.983613491
220,EN1229,12.89549708
221,EW1219,30.00046182
222,WE1223,23.95864892
223,WS1226,18.57403946
224,WE1224,20.35075665
225,WS1231,14.98419619
226,WE1228,16.7739954
227,WS1232,7.19910717
228,WE1233,6.887322664
229,SW0202,53.6807034
230,NE0217,39.27661562
231,SW0214,41.36936402
232,NE0236,6.602735519
233,SW0222,31.78402376
234,SW0225,27.28423405
235,NS1235,13.19476104
236,NW1234,14.69280124
237,NS1238,9.003040314
238,SE1240,6.606026649
239,WE1237,21.5886929
240,WS1239,17.07958126
241,ES0241,20.40131497
242,ES0244,12.90298367
243,WN0249,6.642771006
244,ES0251,6.290094614
