,starttime,endtime,phaseDuration
0,1709754780.952865,1709754780.9528923,5
1,1709754786.0528443,1709754786.052869,5
2,1709754791.152895,1709754791.1529233,5
3,1709754796.1565428,1709754796.1598709,8
4,1709754804.2579966,1709754804.2597425,8
5,1709754812.2603414,1709754812.2662942,8
6,1709754820.4528165,1709754820.4554431,8
7,1709754828.5528736,1709754828.5568388,8
8,1709754836.556988,1709754836.560828,8
9,1709754844.7557676,1709754844.7584627,8
10,1709754852.8528423,1709754852.8554327,8
11,1709754860.9529057,1709754860.9572635,8
12,1709754869.056411,1709754869.0604897,8
13,1709754877.0544593,1709754877.057893,8
14,1709754885.1564233,1709754885.159139,8
15,1709754893.252924,1709754893.2569668,8
16,1709754901.352872,1709754901.3570185,8
17,1709754909.4529824,1709754909.4560866,8
18,1709754917.5545104,1709754917.559763,8
19,1709754925.655313,1709754925.6569874,8
20,1709754933.7665615,1709754933.7707968,8
21,1709754941.8558347,1709754941.858559,8
22,1709754949.9530413,1709754949.9556053,8
23,1709754958.0548992,1709754958.058629,8
24,1709754966.1528878,1709754966.1555886,8
25,1709754974.2533524,1709754974.257136,8
26,1709754982.3529098,1709754982.3568487,8
27,1709754990.4533737,1709754990.4571285,8
28,1709754998.5584,1709754998.561721,8
29,1709755006.6528728,1709755006.6562812,8
30,1709755014.6554174,1709755014.658636,8
31,1709755022.7558048,1709755022.761725,8
32,1709755030.8561673,1709755030.8611383,13
33,1709755043.856746,1709755043.8622663,25
34,1709755068.9544222,1709755068.9588203,25
35,1709755093.9578757,1709755093.9620376,25
36,1709755119.054685,1709755119.0584395,25
37,1709755144.062022,1709755144.06749,8
38,1709755152.0627797,1709755152.0660565,25
39,1709755177.1584558,1709755177.1608734,8
40,1709755185.2558517,1709755185.2586596,8
41,1709755193.3546352,1709755193.357552,9
42,1709755202.454238,1709755202.4592776,8
43,1709755210.5528345,1709755210.557347,8
44,1709755218.5583112,1709755218.5611622,8
45,1709755226.6591005,1709755226.6633482,8
46,1709755234.6651912,1709755234.6692207,8
47,1709755242.759615,1709755242.7640238,8
48,1709755250.8555858,1709755250.8583424,8
49,1709755258.8528342,1709755258.8567832,8
50,1709755266.9528205,1709755266.956134,8
51,1709755275.0528514,1709755275.056141,8
52,1709755282.9633973,1709755282.9671276,8
53,1709755291.1529758,1709755291.1572614,8
54,1709755299.1593726,1709755299.162651,8
55,1709755307.3576992,1709755307.3613763,8
56,1709755315.3563867,1709755315.3607354,8
57,1709755323.4620016,1709755323.4660642,8
58,1709755331.560847,1709755331.5651975,8
59,1709755339.6536474,1709755339.6552641,25
60,1709755364.5603604,1709755364.5667536,8
61,1709755372.7647014,1709755372.7677538,8
62,1709755380.856702,1709755380.8608503,8
63,1709755388.958837,1709755388.9649835,8
64,1709755396.9612083,1709755396.964738,8
65,1709755405.1559236,1709755405.1595845,25
66,1709755430.2545133,1709755430.2595038,8
67,1709755438.2566736,1709755438.2617486,8
68,1709755446.2603323,1709755446.264954,8
69,1709755454.4585521,1709755454.4612863,8
70,1709755462.362914,1709755462.3676,8
71,1709755470.5602465,1709755470.563404,8
72,1709755478.6555357,1709755478.6585548,8
73,1709755486.7599084,1709755486.7660584,8
74,1709755494.7686274,1709755494.772932,8
75,1709755502.8624597,1709755502.8655183,8
76,1709755510.95492,1709755510.9590354,8
77,1709755518.9570847,1709755518.9608717,8
78,1709755527.0528402,1709755527.055325,8
79,1709755535.064329,1709755535.0681095,8
80,1709755543.1557357,1709755543.1594532,8
81,1709755551.255035,1709755551.2596464,8
82,1709755559.2579658,1709755559.260698,8
83,1709755567.3662531,1709755567.369508,8
84,1709755575.4589212,1709755575.460932,8
85,1709755583.6594841,1709755583.6633663,8
86,1709755591.7607298,1709755591.7645845,8
87,1709755599.7613611,1709755599.7671528,8
88,1709755607.9528632,1709755607.9555223,8
89,1709755615.9591584,1709755615.9621415,8
90,1709755624.1540656,1709755624.1605806,8
91,1709755632.258534,1709755632.2677877,8
92,1709755640.2615156,1709755640.2645164,8
93,1709755648.4641588,1709755648.4694202,8
94,1709755656.5637395,1709755656.5671883,8
95,1709755664.5620584,1709755664.5646365,8
96,1709755672.762136,1709755672.7650614,8
97,1709755680.8593843,1709755680.8618526,8
98,1709755689.2104003,1709755689.2143965,8
99,1709755697.1870675,1709755697.1902633,8
100,1709755705.2528949,1709755705.2556832,8
101,1709755713.3528862,1709755713.3547103,8
102,1709755721.4529145,1709755721.455428,8
103,1709755729.5528684,1709755729.5548153,8
104,1709755737.6528995,1709755737.6550794,8
105,1709755745.7528958,1709755745.755965,8
106,1709755753.8528645,1709755753.855333,8
107,1709755762.2064896,1709755762.208266,8
108,1709755770.3528633,1709755770.354914,8
109,1709755778.4529085,1709755778.4553246,8
