,vehicleid,recievetime
0,EW1,1709754792.844004
1,EW1,1709754792.8594697
2,EW1,1709754792.867073
3,EW1,1709754792.8746357
4,EW1,1709754792.8876796
5,EW1,1709754792.8921878
6,EW1,1709754792.8968453
7,EW1,1709754792.9077785
8,EW1,1709754792.9213855
9,EW1,1709754792.931971
10,EW1,1709754792.9429615
11,EW1,1709754792.9595318
12,EW1,1709754792.9815116
13,EW1,1709754792.998236
14,EW1,1709754793.007503
15,EW1,1709754793.0257041
16,EW1,1709754793.0371206
17,EW1,1709754793.0425813
18,EW1,1709754793.058033
19,EW1,1709754793.0718968
20,EW1,1709754793.091477
21,EW1,1709754793.096488
22,EW1,1709754793.1015785
23,EW1,1709754793.1127026
24,EW1,1709754793.1245008
25,EW1,1709754793.133664
26,EW1,1709754793.1453729
27,EW1,1709754793.169749
28,EW1,1709754793.1754508
29,EW1,1709754793.1883376
30,EW1,1709754793.1975183
31,EW1,1709754793.2089305
32,EW1,1709754793.2211843
33,EW1,1709754793.2328868
34,EW1,1709754793.2523706
35,EW1,1709754793.2582617
36,EW1,1709754793.2673597
37,EW1,1709754793.2720096
38,EW1,1709754793.278964
39,EW1,1709754793.2876947
40,EW1,1709754793.3001847
41,EW1,1709754793.3069327
42,EW1,1709754793.3113222
43,EW1,1709754793.3199372
44,EW1,1709754793.3297238
45,EW1,1709754793.3404398
46,EW1,1709754793.3486295
47,EW1,1709754793.361661
48,EW1,1709754793.3790424
49,EW1,1709754793.3884022
50,EW1,1709754793.4044182
51,EW1,1709754793.4110804
52,EW1,1709754793.4339418
53,EW1,1709754793.447798
54,EW1,1709754793.4580286
55,EW1,1709754793.4646413
56,EW1,1709754793.4705093
57,EW1,1709754793.47923
58,EW1,1709754793.5020185
59,EW1,1709754793.5084448
60,EW1,1709754793.5132265
61,EW1,1709754793.5215015
62,EW1,1709754793.5341938
63,EW1,1709754793.543295
64,EW1,1709754793.5510223
65,EW1,1709754793.5588953
66,EW1,1709754793.5642555
67,EW1,1709754793.5718997
68,EW1,1709754793.577868
69,EW1,1709754793.5849783
70,EW1,1709754793.5908606
71,EW1,1709754793.5967665
72,EW1,1709754793.6042683
73,EW1,1709754793.6105556
74,EW1,1709754793.6219375
