,starttime,endtime
0,1709754780.3381965,1709754780.3382082
1,1709754780.364351,1709754780.3643577
2,1709754780.4653974,1709754780.4654043
3,1709754780.5629961,1709754780.563003
4,1709754780.6784194,1709754780.6784263
5,1709754780.7634244,1709754780.763432
6,1709754780.8696654,1709754780.8696723
7,1709754780.9649243,1709754780.9649324
8,1709754781.0597477,1709754781.0597525
9,1709754781.1619604,1709754781.1619682
10,1709754781.2590988,1709754781.259103
11,1709754781.3746006,1709754781.3746068
12,1709754781.4556417,1709754781.4556482
13,1709754781.5629232,1709754781.5629303
14,1709754781.6629002,1709754781.6629066
15,1709754781.7586958,1709754781.7587028
16,1709754781.8620913,1709754781.8621008
17,1709754781.960921,1709754781.9609275
18,1709754782.0578926,1709754782.0578997
19,1709754782.1601722,1709754782.1601796
20,1709754782.2585688,1709754782.2585745
21,1709754782.359777,1709754782.3597846
22,1709754782.463376,1709754782.463382
23,1709754782.5571635,1709754782.557169
24,1709754782.6562877,1709754782.6562934
25,1709754782.7642896,1709754782.7642956
26,1709754782.8612437,1709754782.8612483
27,1709754782.9634154,1709754782.9634197
28,1709754783.0590448,1709754783.0590491
29,1709754783.1619895,1709754783.161997
30,1709754783.273755,1709754783.2737627
31,1709754783.3566782,1709754783.3566856
32,1709754783.4578154,1709754783.457821
33,1709754783.565553,1709754783.5655603
34,1709754783.6625986,1709754783.6626053
35,1709754783.7623868,1709754783.7623937
36,1709754783.861547,1709754783.861554
37,1709754783.9648592,1709754783.9648662
38,1709754784.0665145,1709754784.066521
39,1709754784.1653914,1709754784.1653984
40,1709754784.2598221,1709754784.259827
41,1709754784.3581548,1709754784.3581624
42,1709754784.4588559,1709754784.4588604
43,1709754784.559675,1709754784.559683
44,1709754784.659354,1709754784.6593592
45,1709754784.7621095,1709754784.7621167
46,1709754784.860485,1709754784.8604918
47,1709754784.9664853,1709754784.9664927
48,1709754785.0608325,1709754785.0608385
49,1709754785.1614547,1709754785.1614616
50,1709754785.259017,1709754785.2590237
51,1709754785.3572514,1709754785.3572578
52,1709754785.4597964,1709754785.4598026
53,1709754785.5601914,1709754785.5601978
54,1709754785.6609442,1709754785.6609511
55,1709754785.7637222,1709754785.7637289
56,1709754785.8635294,1709754785.8635364
57,1709754785.9631686,1709754785.963179
58,1709754786.0704772,1709754786.0704837
59,1709754786.1599033,1709754786.1599104
60,1709754786.2648733,1709754786.2648804
61,1709754786.3617437,1709754786.3617523
62,1709754786.462885,1709754786.4628894
63,1709754786.5560856,1709754786.556093
64,1709754786.664068,1709754786.6640747
65,1709754786.7712445,1709754786.7712579
66,1709754786.8615522,1709754786.8615587
67,1709754786.9546087,1709754786.9546156
68,1709754787.5070472,1709754787.50706
69,1709754787.5126016,1709754787.5126076
70,1709754787.5684183,1709754787.568424
71,1709754787.6576958,1709754787.6577022
72,1709754787.7748826,1709754787.7748926
73,1709754787.8649359,1709754787.8649442
74,1709754787.9682992,1709754787.9683073
75,1709754788.0693064,1709754788.0693367
76,1709754788.1562924,1709754788.156316
77,1709754788.2597773,1709754788.2598047
78,1709754788.370032,1709754788.3700604
79,1709754788.4589565,1709754788.4589844
80,1709754788.5566468,1709754788.5566733
81,1709754788.6629548,1709754788.6629806
82,1709754788.7742214,1709754788.774248
83,1709754788.8696542,1709754788.8696828
84,1709754788.9797096,1709754788.979737
85,1709754789.0574102,1709754789.0574317
86,1709754789.1623702,1709754789.162398
87,1709754789.254701,1709754789.2547243
88,1709754789.3557477,1709754789.3557746
89,1709754789.4580078,1709754789.458026
90,1709754789.557102,1709754789.557129
91,1709754789.6586742,1709754789.6586995
92,1709754789.7565792,1709754789.7566025
93,1709754789.8546271,1709754789.85465
94,1709754789.9594653,1709754789.9594886
95,1709754790.057525,1709754790.0575418
96,1709754790.1612341,1709754790.1612558
97,1709754790.254255,1709754790.2542782
98,1709754790.354509,1709754790.354538
99,1709754790.4549413,1709754790.4549642
100,1709754790.554445,1709754790.5544713
101,1709754790.665433,1709754790.6654627
102,1709754790.763812,1709754790.76384
103,1709754790.859598,1709754790.859625
104,1709754790.9700332,1709754790.97006
105,1709754791.056404,1709754791.056431
106,1709754791.1742015,1709754791.1742275
107,1709754791.2593744,1709754791.259398
108,1709754791.3585303,1709754791.358558
109,1709754791.4639575,1709754791.4639785
110,1709754791.5658882,1709754791.565909
111,1709754791.6586554,1709754791.658681
112,1709754791.7574406,1709754791.757467
113,1709754791.8628104,1709754791.8628378
114,1709754791.9574232,1709754791.9574544
115,1709754792.0559711,1709754792.055999
116,1709754792.1559443,1709754792.1559718
117,1709754792.2623174,1709754792.2623703
118,1709754792.3638148,1709754792.363842
