,vehicleid,transtime
0,WS11,1709754796.0548759
1,WS11,1709754796.354507
2,WS11,1709754796.6632202
3,WS11,1709754796.9588687
4,SN10,1709754797.2361875
5,WS11,1709754797.2593505
6,EN12,1709754797.5223634
7,SN10,1709754797.5423164
8,WS11,1709754797.5653563
9,EN12,1709754797.824644
10,SN10,1709754797.8404772
11,WS11,1709754797.8651707
12,EN12,1709754798.1237323
13,SN10,1709754798.1422248
14,WS11,1709754798.1667836
15,EN12,1709754798.420365
16,SN10,1709754798.4394
17,WS11,1709754798.4615662
18,EN12,1709754798.7192132
19,SN10,1709754798.737039
20,WS11,1709754798.7628398
21,EN12,1709754799.0215976
22,SN10,1709754799.0463483
23,WS11,1709754799.0678406
24,EN12,1709754799.3222198
25,SN10,1709754799.3429143
26,WS11,1709754799.3664649
27,EN12,1709754799.6193395
28,SN10,1709754799.6379511
29,WS11,1709754799.6571183
30,EN12,1709754799.924861
31,SN10,1709754799.941695
32,WS11,1709754799.9606886
33,EN12,1709754800.2190824
34,SN10,1709754800.2463288
35,WS11,1709754800.2635307
36,EN12,1709754800.5193338
37,SN10,1709754800.5343766
38,WS11,1709754800.554744
39,EN12,1709754800.8204217
40,SN10,1709754800.8375847
41,WS11,1709754800.8565087
42,EN12,1709754801.126539
43,SN10,1709754801.144926
44,WS11,1709754801.1695344
45,EN12,1709754801.418291
46,SN10,1709754801.4379444
47,NS13,1709754801.4483557
48,WS11,1709754801.469351
49,EN12,1709754801.7196052
50,SN10,1709754801.738038
51,NS13,1709754801.7476873
52,WS11,1709754801.770375
53,EN12,1709754802.0175724
54,SN10,1709754802.0313277
55,NS13,1709754802.0403752
56,WS11,1709754802.059315
57,EN12,1709754802.3179667
58,SN10,1709754802.3350613
59,NS13,1709754802.3460338
60,WS11,1709754802.3597126
61,EN12,1709754802.6159878
62,SN10,1709754802.6315484
63,NS13,1709754802.6383233
64,WS11,1709754802.6525073
65,EN12,1709754802.9170141
66,SN10,1709754802.9354265
67,NS13,1709754802.9473417
68,WS11,1709754802.9632733
69,EN12,1709754803.2179947
70,SN10,1709754803.2369459
71,NS13,1709754803.2460816
72,WS11,1709754803.2603576
73,EN12,1709754803.5225308
74,SN10,1709754803.543282
75,NS13,1709754803.5570633
76,WS11,1709754803.5778427
77,EN12,1709754803.8190057
78,SN10,1709754803.835287
79,NS13,1709754803.8518224
80,WS11,1709754803.8684697
81,EN12,1709754804.1178222
82,SN10,1709754804.1342409
83,NS13,1709754804.1500313
84,WS11,1709754804.1692204
85,EN12,1709754804.4195848
86,SN10,1709754804.4412632
87,NS13,1709754804.4497147
88,WS11,1709754804.465003
89,EN12,1709754804.7228322
90,SN10,1709754804.7390594
91,NS13,1709754804.7472448
92,WS11,1709754804.7656898
93,EN12,1709754805.0170283
94,SN10,1709754805.0312076
95,NS13,1709754805.0389314
96,WS11,1709754805.0537994
97,EN12,1709754805.317789
98,SN10,1709754805.3411367
99,NS13,1709754805.3484504
100,WS11,1709754805.365285
101,EN12,1709754805.6174405
102,SN10,1709754805.6327937
103,NS13,1709754805.6429653
104,WS11,1709754805.6551762
105,EN12,1709754805.9168017
106,SN10,1709754805.9318938
107,NS13,1709754805.9388006
108,WS11,1709754805.9557445
109,EN12,1709754806.2179239
110,SN10,1709754806.233337
111,NS13,1709754806.2412302
112,WS11,1709754806.2564774
113,EN12,1709754806.5178194
114,SN10,1709754806.5334923
115,NS13,1709754806.5419965
116,WS11,1709754806.5577142
117,EN12,1709754806.8183012
118,SN10,1709754806.8407793
119,NS13,1709754806.8488653
120,WS11,1709754806.866933
121,EN12,1709754807.1168816
122,EN15,1709754807.1207228
123,SN10,1709754807.1376135
124,NS13,1709754807.1453264
125,WS11,1709754807.165576
126,EN12,1709754807.4173002
127,EN15,1709754807.4289844
128,SN10,1709754807.4465566
129,NS13,1709754807.4547467
130,WS11,1709754807.4682996
131,EN12,1709754807.723759
132,EN15,1709754807.7279322
133,SN10,1709754807.7435057
134,NS13,1709754807.7550826
135,WS11,1709754807.774334
136,EN12,1709754808.020649
137,EN15,1709754808.024294
138,SW04,1709754808.0344195
139,SN10,1709754808.0523026
140,NS13,1709754808.0610843
141,WS11,1709754808.078205
142,WN08,1709754808.0869043
143,EN12,1709754808.3204863
144,EN15,1709754808.3244667
145,SW04,1709754808.3337038
146,SN10,1709754808.3420167
147,NS13,1709754808.3496182
148,WS11,1709754808.3645184
149,WN08,1709754808.372401
150,EN12,1709754808.6179748
151,EN15,1709754808.629388
