,vehicleid,delaytime
0,SN110,6.304555416
1,NW111,6.010314465
2,NW112,6.008141994
3,SN122,6.30328083
4,SE123,6.303975582
5,ES05,30.60821319
6,WN09,29.12947559
7,ES016,17.69868183
8,WN014,25.58406019
9,ES018,12.90164304
10,ES020,12.9143405
11,WN046,6.610928774
12,EN117,40.20004177
13,EW12,63.6241715
14,WE10,67.56417346
15,WS14,58.27287149
16,EN121,35.09056997
17,EW131,19.19187331
18,WE11,67.54940176
19,WS16,57.96636271
20,EN133,17.69429564
21,EW147,7.49805522
22,WE17,57.94254398
23,WS124,31.22500706
24,EN145,9.291858673
25,WE136,16.50312591
26,WS132,22.20185304
27,WS134,6.553295374
28,WS137,6.576044559
29,WS142,6.594460011
30,EN150,6.292421103
31,EW155,6.297935247
32,WS158,6.637484312
33,NE03,81.95810175
34,SW08,76.81026816
35,NE015,69.63027811
36,SW013,73.78796268
37,NE029,47.40745115
38,SW019,61.77276945
39,NE030,46.50406837
40,NE039,39.90075803
41,NE043,6.562571526
42,NE049,6.562748671
43,NE056,6.566110134
44,NE066,6.570174217
45,NE067,6.607650518
46,NE068,6.591916084
47,NE071,6.63441062
48,SN140,61.50265884
49,SE141,61.52373767
50,NS125,73.84616208
51,NW126,73.87704754
52,SN148,56.07268763
53,SE144,57.29271078
54,NS127,73.27214098
55,NW135,63.41094637
56,SN159,30.90044236
57,SE153,37.51891923
58,NS128,72.92198372
59,NW169,12.02861381
60,SE154,37.51378322
61,SN163,28.17866492
62,NS138,63.89812756
63,NW176,6.005071163
64,SE161,30.2807138
65,SN165,6.286006451
66,NS151,5.976060152
67,SN172,6.297171831
68,NS157,5.971382141
69,NS164,5.953305721
70,NS180,5.981761694
71,SN183,6.286597013
72,NS184,6.010015249
73,NS186,5.987644672
74,SN189,6.287400246
75,SN191,6.325294256
76,ES052,70.19245315
77,ES062,53.09552264
78,ES090,10.78507543
79,EN179,51.60369539
80,EW174,55.21895695
81,WE177,53.06892586
82,WS160,80.08316183
83,EN193,29.39865994
84,EW188,38.41686249
85,WS170,63.31565666
86,WE181,53.07609463
87,EN1101,22.81106496
88,EW1106,16.22216153
89,WS173,59.1111412
90,WE187,41.11036205
91,EN1109,10.51343322
92,EW1111,9.310763121
93,WS178,55.77906394
94,WS182,6.581251144
95,WS197,6.563961983
96,WS1103,6.555902719
97,WS1104,6.549111366
98,WS1115,6.543026924
99,EN1119,6.289684534
100,EW1121,6.297800541
101,WE1122,6.621201277
102,EN1124,6.30250144
103,EW1125,6.284983158
104,SW085,62.39435434
105,NE075,80.67625213
106,NE092,56.1071198
107,SW094,53.68589568
108,NE098,49.48926997
109,NE0100,49.47687459
110,NE0126,10.77651072
111,NE0139,6.595205545
112,SN1105,65.69531536
113,SE1110,57.29449582
114,NS195,75.87285972
115,NW199,71.10602379
116,SN1107,63.58288145
117,NS196,73.4773128
118,NW1118,37.48490429
119,SN1108,59.70245528
120,NS1102,71.41437292
121,NW1123,35.38263941
122,SN1113,54.2649982
