,starttime,endtime,phaseDuration
0,1709767670.2156534,1709767670.21566,25
1,1709767695.317537,1709767695.317545,25
2,1709767720.416106,1709767720.4161122,25
3,1709767745.5155497,1709767745.515557,25
4,1709767770.6214328,1709767770.6214392,25
5,1709767795.616324,1709767795.6163318,25
6,1709767820.7216158,1709767820.7216227,25
7,1709767845.8193247,1709767845.8193321,25
8,1709767870.9170055,1709767870.917012,25
9,1709767895.9202123,1709767895.92022,25
10,1709767921.0227234,1709767921.0227308,25
11,1709767946.1182346,1709767946.118242,25
12,1709767971.2214828,1709767971.2214887,25
13,1709767996.3219655,1709767996.3219728,25
14,1709768021.319013,1709768021.3190227,25
15,1709768046.420016,1709768046.4200213,25
16,1709768071.4172728,1709768071.4172792,25
17,1709768096.522405,1709768096.5224118,25
18,1709768121.5169444,1709768121.5169513,25
19,1709768146.6186063,1709768146.6186152,25
20,1709768171.719869,1709768171.719875,25
21,1709768196.6235533,1709768196.6235614,25
22,1709768221.7237453,1709768221.7237508,25
23,1709768246.914061,1709768246.914069,25
24,1709768272.0170002,1709768272.0170043,25
25,1709768297.1168978,1709768297.1169057,25
26,1709768322.2199001,1709768322.219907,25
27,1709768347.2172632,1709768347.217269,25
28,1709768372.2257643,1709768372.2257717,25
29,1709768397.3197725,1709768397.3197794,25
30,1709768422.4182878,1709768422.4182944,25
31,1709768447.427852,1709768447.4278603,25
32,1709768472.616381,1709768472.6164236,25
33,1709768497.6176286,1709768497.6176345,25
34,1709768522.7249267,1709768522.724934,25
35,1709768547.821066,1709768547.8210745,25
36,1709768572.9141104,1709768572.9141183,25
37,1709768598.0141037,1709768598.014109,25
38,1709768623.1141744,1709768623.1141825,25
