,vehicleid,transtime
0,WE10,1709767683.6018755
1,WE10,1709767683.9152703
2,WE10,1709767684.1901875
3,WE10,1709767684.5020897
4,WE11,1709767684.5062077
5,WE10,1709767684.7925606
6,WE11,1709767684.7964396
7,WE10,1709767685.0984306
8,WE11,1709767685.1030376
9,WE10,1709767685.3995466
10,WE11,1709767685.4031837
11,WE10,1709767685.6935744
12,WE11,1709767685.697714
13,WE10,1709767685.996788
14,WE11,1709767686.0004685
15,WE10,1709767686.30065
16,WE11,1709767686.305001
17,WE10,1709767686.5947657
18,WE11,1709767686.5983572
19,WE10,1709767686.907024
20,WE11,1709767686.9093862
21,EW12,1709767687.1681342
22,WE10,1709767687.195488
23,WE11,1709767687.1976204
24,EW12,1709767687.4734936
25,WE10,1709767687.4983299
26,WE11,1709767687.5005271
27,EW12,1709767687.7803912
28,WE10,1709767687.806283
29,WE11,1709767687.8086045
30,EW12,1709767688.0727801
31,WE10,1709767688.1002357
32,WE11,1709767688.1027448
33,EW12,1709767688.3706398
34,WE10,1709767688.3998492
35,WE11,1709767688.4021645
36,EW12,1709767688.6688275
37,WE10,1709767688.6980686
38,WE11,1709767688.7007682
39,EW12,1709767688.976858
40,WE10,1709767689.004276
41,WE11,1709767689.006692
42,EW12,1709767689.2668014
43,WE10,1709767689.2967608
44,WE11,1709767689.299268
45,EW12,1709767689.5719419
46,WE10,1709767689.6002753
47,WE11,1709767689.603161
48,EW12,1709767689.8750715
49,WE10,1709767689.9036105
50,WE11,1709767689.9061284
51,EW12,1709767690.175962
52,WE10,1709767690.2156794
53,WE11,1709767690.2186081
54,EW12,1709767690.474811
55,WE10,1709767690.5028472
56,WE11,1709767690.5065398
57,EW12,1709767690.7771266
58,WE10,1709767690.806844
59,WE11,1709767690.8094234
60,EW12,1709767691.068026
61,WE10,1709767691.1003735
62,WE11,1709767691.1028516
63,EW12,1709767691.3715107
64,WE10,1709767691.4034998
65,WE11,1709767691.406189
66,EW12,1709767691.6661975
67,WE10,1709767691.6918468
68,WE11,1709767691.6933599
69,EW12,1709767691.9680657
70,WE10,1709767691.999108
71,WE11,1709767692.002257
72,EW12,1709767692.263536
73,WE10,1709767692.2917264
74,WE11,1709767692.2937152
75,EW12,1709767692.5667737
76,WE10,1709767692.5980263
77,WE11,1709767692.600866
78,EW12,1709767692.873721
79,WE10,1709767692.902733
80,WE11,1709767692.9043365
81,WS14,1709767692.910337
82,EW12,1709767693.1689441
83,NE03,1709767693.1920345
84,WE10,1709767693.2026348
85,WE11,1709767693.2052245
86,WS14,1709767693.2129357
87,EW12,1709767693.467804
88,NE03,1709767693.488591
89,WE10,1709767693.4975853
90,WE11,1709767693.499342
91,WS14,1709767693.5042386
92,EW12,1709767693.7694473
93,NE03,1709767693.7920341
94,WE10,1709767693.801266
95,WE11,1709767693.8026474
96,WS14,1709767693.808048
97,EW12,1709767694.0670228
98,NE03,1709767694.085814
99,WE10,1709767694.095434
100,WE11,1709767694.0986373
101,WS14,1709767694.1074586
102,EW12,1709767694.36928
103,NE03,1709767694.3902557
104,WE10,1709767694.402132
105,WE11,1709767694.4044805
106,WS14,1709767694.4138503
107,WS16,1709767694.4178827
108,EW12,1709767694.6693566
109,NE03,1709767694.6940403
110,WE10,1709767694.705096
111,WE11,1709767694.7086256
112,WS14,1709767694.7180996
113,WS16,1709767694.720762
114,ES05,1709767694.9614377
115,EW12,1709767694.9713743
116,NE03,1709767694.9970691
117,WE10,1709767695.008304
118,WE11,1709767695.0117593
119,WE17,1709767695.0178802
120,WS14,1709767695.0241299
121,WS16,1709767695.027497
122,ES05,1709767695.2676146
123,EW12,1709767695.2770302
124,NE03,1709767695.2954383
125,WE10,1709767695.307545
126,WE11,1709767695.3101964
127,WE17,1709767695.3176339
128,WS14,1709767695.3246186
129,WS16,1709767695.3281355
130,ES05,1709767695.5624425
131,EW12,1709767695.5704787
132,NE03,1709767695.59747
133,WE10,1709767695.618281
134,WE11,1709767695.6235552
135,WE17,1709767695.6279314
136,WS14,1709767695.6356015
137,WS16,1709767695.6390932
138,ES05,1709767695.8637276
139,EW12,1709767695.8753946
140,NE03,1709767695.8986742
141,WE10,1709767695.9134455
142,WE11,1709767695.9154317
143,WE17,1709767695.9193907
144,WS14,1709767695.9259336
145,WS16,1709767695.9301682
146,ES05,1709767696.161702
147,EW12,1709767696.1709964
