,vehicleid,delaytime
0,ES00,6.299622536
1,ES01,6.290913582
2,SW02,6.598536491
3,EW13,8.997550488
4,SE14,8.101104259
5,SW05,13.50239015
6,SE17,9.605329037
7,EN16,23.09937191
8,EW18,19.20706224
9,EN19,20.10131311
10,EN110,15.30304933
11,EN112,6.305132866
12,EW114,6.303115129
13,SN111,35.70731473
14,SE113,19.20941377
15,SN115,15.29905224
16,SE118,6.298684835
17,SN119,6.598448277
18,ES016,21.59997487
19,ES023,6.299689293
20,SW017,25.20994306
21,SW020,23.1346674
22,EN124,18.29767156
23,EW122,27.01407623
24,EN125,16.79471445
25,EN127,15.59629107
26,EN128,13.49509645
27,EN130,6.293148994
28,SE121,35.69967818
29,SN131,6.293492079
30,SE126,23.38943744
31,SW029,43.79055285
32,SW032,26.09233785
33,SW035,6.595272541
34,SW037,6.597329855
35,ES033,29.99946761
36,SN134,30.60158229
37,SN136,23.70080686
38,EW138,26.10506845
39,EW141,6.297478676
40,SW039,28.20549345
41,SW040,12.30569386
42,SN143,10.20051384
43,EW144,15.90304208
44,ES042,28.79964662
45,ES045,21.59839964
46,ES046,21.59636855
47,ES047,19.79711723
48,SN149,6.88800931
49,SN150,6.304271698
50,SE151,6.312433958
51,SN152,6.305956602
52,SN154,6.293658733
53,SN156,6.308858156
54,SN157,6.295960188
55,SE160,6.299528837
56,SE163,6.301063538
57,SE167,6.313716173
58,EN153,45.30530477
59,EN158,32.10065579
60,EN161,26.10703802
61,ES055,49.49661779
62,ES059,36.89542127
63,ES062,32.09139085
64,ES066,21.89566898
65,SE168,31.18681908
66,SE172,14.4050529
67,SW048,102.9013674
68,SW064,56.70420527
69,SW065,55.18892455
70,SW069,43.49660683
71,EW170,52.78958011
72,EN175,14.99507451
73,EW171,50.69594002
74,EN177,14.09996843
75,EW173,38.39545083
76,EW174,17.99223423
77,EW176,17.10674834
78,EW178,6.289958477
79,EN181,6.300941706
80,ES079,15.30202174
81,SE180,25.20048618
82,SN183,6.306874037
83,SN185,6.301852942
84,EN184,18.30549169
85,EN186,6.300728083
86,SW082,36.88737035
87,ES087,16.19983196
88,ES091,11.3975482
89,ES095,6.29454422
90,SN190,18.60610533
91,SE188,20.40540004
92,SN193,10.49517703
93,EW194,16.49359393
94,EN189,26.0984714
95,EN192,22.49127364
96,EN198,6.28912282
97,SW096,23.98442125
98,SW0100,11.39916468
99,SW0102,8.993853331
100,SW0103,8.989490509
101,SN199,18.59883046
102,SE197,22.19026875
103,SN1101,16.48719311
104,EN1104,19.4949019
105,EN1105,6.295442343
106,SN1106,6.300885677
107,EW1107,13.19334722
108,EW1109,8.097734451
109,EW1114,6.294883251
110,EW1116,6.295013428
111,SW0108,16.50648689
112,SW0111,13.49936485
113,SW0117,6.604016781
114,ES0110,26.40051389
115,ES0118,6.897340775
116,ES0120,6.300245285
117,EN1121,8.101680279
118,EW1124,6.594745159
119,SN1122,11.98634529
120,SE1112,42.89964294
121,SE1113,42.90062952
122,SE1115,41.70326591
123,SN1126,6.303477526
124,ES0123,20.69681621
125,ES0128,9.295634508
126,SW0119,40.49535894
127,SW0125,24.60000515
128,EN1129,18.00002384
129,EW1127,27.60508823
130,EW1131,6.29990077
131,EW1132,6.302747011
132,EN1133,6.301508188
133,SE1130,16.19566202
134,SN1134,6.299102068
135,SE1135,6.295880795
136,EN1136,10.19565272
137,EW1137,6.301071405
138,SN1138,14.98950005
139,SE1141,6.289112091
140,SE1142,6.290386677
141,ES0139,17.09975123
142,EN1140,20.99931884
143,SE1144,6.316443682
144,SN1145,6.305111408
145,SN1148,6.302293777
146,EN1146,10.21663976
147,EW1147,8.115408659
148,SW0143,24.30587554
149,SW0150,7.192128658
150,SN1149,20.1154058
151,SN1152,18.29114819
152,SE1157,6.585413694
153,SE1158,6.291704655
154,SE1159,6.28684783
155,EW1151,29.70017171
156,EN1155,17.70263171
157,EW1154,18.61115098
158,EN1160,6.293700218
159,EN1161,6.301296949
160,ES0153,31.49951982
161,ES0156,27.8968637
162,SW0162,6.91283083
163,EN1163,16.80346465
164,EW1167,6.599332333
165,SN1165,19.19944453
166,SE1166,16.50269127
167,SE1168,8.09957695
168,ES0164,27.90426636
169,ES0169,12.89700437
170,ES0172,6.30291605
171,ES0174,6.296319723
172,EN1170,21.29976559
173,EW1173,10.50116825
174,EN1175,6.307271242
175,SW0171,26.71112299
176,SW0177,10.20170975
177,EW1178,11.69839621
178,ES0176,27.29547024
179,ES0179,11.99275947
180,EW1180,10.19930291
181,EW1182,10.19178605
182,SN1181,16.19268417
183,SE1184,9.302045345
184,SN1185,6.302130461
185,ES0183,18.90470004
186,ES0186,8.105699539
187,ES0189,6.288601875
188,ES0192,6.296055317
189,ES0193,6.294430256
190,EN1190,11.40213966
191,EW1187,16.79570293
192,EW1196,6.299231291
193,SW0188,32.69773221
194,SW0191,28.50265527
195,SW0197,16.79433608
196,SW0199,7.506034136
197,SN1198,23.99679923
198,SE1195,35.99204397
199,EN1201,23.09615898
200,EW1202,21.89536977
201,EW1203,18.30802512
202,ES0194,58.78979921
203,ES0200,39.29075146
204,ES0204,31.49139905
205,ES0207,16.50379133
206,ES0209,11.39334249
207,ES0212,6.279037952
208,EN1211,17.69574618
209,EW1210,18.00226641
210,EW1213,7.797327995
211,SN1205,40.50327301
212,SE1208,32.11995482
213,SN1220,6.301127672
214,SE1221,6.293122292
215,EW1225,6.289224863
216,SW0206,57.88528943
217,SW0216,33.88342476
218,SW0218,25.78702545
219,SW0222,23.07805634
220,ES0214,44.09317875
221,ES0215,43.78391266
222,ES0217,40.48057628
223,ES0219,33.89023042
224,ES0223,30.88662338
225,ES0226,6.286092758
226,SN1224,36.57728815
227,ES0227,11.9991889
228,SE1230,13.5065968
229,SN1232,9.897132158
230,SN1234,6.294123173
231,ES0241,6.612074614
232,SW0228,42.29650688
233,SW0233,34.49254942
234,SW0237,18.3080132
235,EN1235,34.19008756
236,EW1229,49.7980454
237,EN1239,17.09370089
238,EW1231,45.2956934
239,EW1238,26.09491348
,,
,,18.59965378
