,starttime,endtime,phaseDuration
0,1709823986.1164541,1709823986.3178473,12
1,1709823998.117053,1709823998.1348763,7
2,1709824010.3149035,1709824010.3391752,7
3,1709824017.4148378,1709824017.4331284,7
4,1709824024.5148594,1709824024.5348892,10
5,1709824034.5214918,1709824034.5561783,12
6,1709824046.7148895,1709824046.7286403,12
7,1709824058.7215958,1709824058.7395375,12
8,1709824070.822739,1709824070.840925,8
9,1709824078.9149287,1709824078.9311545,7
10,1709824086.0148697,1709824086.0357604,12
11,1709824098.1148653,1709824098.1298966,12
12,1709824110.1159272,1709824110.1325457,7
13,1709824117.2151055,1709824117.2388768,11
14,1709824128.2171009,1709824128.2420268,12
15,1709824140.314888,1709824140.3357458,7
16,1709824147.4148808,1709824147.4337878,10
17,1709824157.5148528,1709824157.527297,7
18,1709824164.6148777,1709824164.6330848,7
19,1709824171.7149062,1709824171.731185,7
20,1709824178.8148441,1709824178.8330085,7
21,1709824185.914896,1709824185.933817,7
22,1709824192.9184427,1709824192.9346912,7
23,1709824200.0193727,1709824200.040807,7
24,1709824207.1148372,1709824207.130927,7
25,1709824214.2148628,1709824214.236994,7
26,1709824221.3148499,1709824221.3341763,10
27,1709824231.414855,1709824231.435428,7
28,1709824238.5148447,1709824238.5301337,7
29,1709824245.6149404,1709824245.635339,11
30,1709824256.6227627,1709824256.64242,7
31,1709824263.8252888,1709824263.8463242,8
32,1709824271.818609,1709824271.8377156,12
33,1709824283.9184988,1709824283.9374328,7
34,1709824291.0179975,1709824291.032839,7
35,1709824298.1150584,1709824298.1346908,12
36,1709824310.215065,1709824310.2354164,9
37,1709824319.314861,1709824319.333341,12
38,1709824331.3185995,1709824331.3405378,12
39,1709824343.4148378,1709824343.434722,7
40,1709824350.5185618,1709824350.5367308,7
41,1709824357.5216913,1709824357.5412896,7
42,1709824364.7150252,1709824364.7397645,7
43,1709824371.814859,1709824371.834951,12
44,1709824383.9149995,1709824383.9311213,7
45,1709824391.0149045,1709824391.0383308,12
46,1709824403.114863,1709824403.1361609,9
47,1709824417.316489,1709824417.3383067,12
48,1709824429.4148269,1709824429.437807,7
49,1709824436.5148933,1709824436.5316787,12
50,1709824448.6148677,1709824448.6345186,12
51,1709824460.7173054,1709824460.7353623,7
52,1709824467.719339,1709824467.7355282,12
53,1709824479.8222299,1709824479.8407617,7
54,1709824487.0217054,1709824487.0409262,10
55,1709824497.1156113,1709824497.1357155,7
56,1709824504.2149305,1709824504.239224,12
57,1709824516.3148758,1709824516.3340282,12
58,1709824528.3171945,1709824528.3325944,7
59,1709824535.5148442,1709824535.5302587,7
60,1709824542.615113,1709824542.6305082,7
61,1709824549.7148767,1709824549.7314951,7
62,1709824556.8162374,1709824556.8341537,7
63,1709824563.8148646,1709824563.8377087,11
64,1709824574.8219805,1709824574.844887,12
65,1709824587.0148785,1709824587.0371027,12
66,1709824599.115044,1709824599.1320002,7
67,1709824606.21487,1709824606.238543,12
68,1709824618.3149319,1709824618.3314192,7
69,1709824625.4149323,1709824625.436452,7
70,1709824632.5149288,1709824632.5306253,12
71,1709824644.6148837,1709824644.6367784,12
72,1709824656.714887,1709824656.7310717,7
73,1709824663.7200103,1709824663.73465,7
74,1709824670.8148599,1709824670.8369434,7
75,1709824677.9149623,1709824677.9334328,7
76,1709824685.0148833,1709824685.035192,7
77,1709824692.1148577,1709824692.1332624,7
78,1709824699.2148526,1709824699.2351398,7
79,1709824706.3149128,1709824706.3414285,7
80,1709824713.3228366,1709824713.3425357,12
81,1709824725.5204723,1709824725.5374575,7
82,1709824732.6163392,1709824732.6311843,7
83,1709824739.6228418,1709824739.640802,7
84,1709824746.8187644,1709824746.8388188,7
85,1709824753.8147235,1709824753.8340592,7
86,1709824760.919384,1709824760.9384322,12
87,1709824772.9224043,1709824772.9405503,12
88,1709824785.023174,1709824785.0422044,7
89,1709824792.1174893,1709824792.1326687,12
90,1709824804.2238424,1709824804.2415156,7
91,1709824811.214922,1709824811.2393017,11
92,1709824822.3148417,1709824822.3361204,7
93,1709824829.3149052,1709824829.3330731,7
94,1709824836.316698,1709824836.3365653,7
95,1709824843.3212516,1709824843.3254175,7
96,1709824850.416237,1709824850.4325101,12
97,1709824862.4292548,1709824862.4645236,7
98,1709824869.517399,1709824869.5391972,7
99,1709824876.5227668,1709824876.5368445,7
100,1709824883.7160463,1709824883.7372103,12
101,1709824895.8149102,1709824895.83032,12
