,vehicleid,recievetime
0,EW1,1709823982.9176192
1,EW1,1709823982.958175
2,EW1,1709823982.9629157
3,EW1,1709823982.9658644
4,EW1,1709823982.970619
5,EW1,1709823982.9751618
6,EW1,1709823982.9798372
7,EW1,1709823982.9890726
8,EW1,1709823982.9954302
9,EW1,1709823983.0000486
10,EW1,1709823983.005019
11,EW1,1709823983.0109878
12,EW1,1709823983.0251288
13,EW1,1709823983.0295563
14,EW1,1709823983.0340261
15,EW1,1709823983.0392587
16,EW1,1709823983.0440342
17,EW1,1709823983.053894
18,EW1,1709823983.0717072
19,EW1,1709823983.0769591
20,EW1,1709823983.0821316
21,EW1,1709823983.0900211
22,EW1,1709823983.0994186
23,EW1,1709823983.1078393
24,EW1,1709823983.1169398
25,EW1,1709823983.1266103
26,EW1,1709823983.131254
27,EW1,1709823983.144414
28,EW1,1709823983.1514132
29,EW1,1709823983.1617115
30,EW1,1709823983.1712272
31,EW1,1709823983.1812692
32,EW1,1709823983.1875467
33,EW1,1709823983.196277
34,EW1,1709823983.2029042
35,EW1,1709823983.2094142
36,EW1,1709823983.2159214
37,EW1,1709823983.2314787
38,EW1,1709823983.238379
39,EW1,1709823983.2429838
40,EW1,1709823983.24714
41,EW1,1709823983.250219
42,EW1,1709823983.2601986
43,EW1,1709823983.2688797
44,EW1,1709823983.2772467
45,EW1,1709823983.28403
46,EW1,1709823983.308459
47,EW1,1709823983.3168612
48,EW1,1709823983.3242364
49,EW1,1709823983.3312025
50,EW1,1709823983.3423808
51,EW1,1709823983.3468893
52,EW1,1709823983.3549957
53,EW1,1709823983.3648834
54,EW1,1709823983.3699055
55,EW1,1709823983.379262
56,EW1,1709823983.3901148
57,EW1,1709823983.398441
58,EW1,1709823983.4056413
59,EW1,1709823983.4102771
60,EW1,1709823983.4165545
61,EW1,1709823983.424019
62,EW1,1709823983.4306796
63,EW1,1709823983.438973
64,EW1,1709823983.453294
65,EW1,1709823983.4604359
66,EW1,1709823983.4693637
67,EW1,1709823983.478672
68,EW1,1709823983.4953055
69,EW1,1709823983.5081282
70,EW1,1709823983.513551
71,EW1,1709823983.5193205
72,EW1,1709823983.5317237
73,EW1,1709823983.5378864
74,EW1,1709823983.5540907
75,EW1,1709823983.559113
76,EW1,1709823983.5705657
77,EW1,1709823983.5868688
78,EW1,1709823983.5928388
79,EW1,1709823983.6104753
80,EW1,1709823983.641882
81,EW1,1709823983.646939
82,EW1,1709823983.6543162
