,starttime,endtime
0,1709823968.8786168,1709823968.8786554
1,1709823968.9211667,1709823968.9211853
2,1709823969.0693786,1709823969.0694063
3,1709823969.125698,1709823969.1257222
4,1709823969.225731,1709823969.225755
5,1709823969.3261015,1709823969.3261223
6,1709823969.4262474,1709823969.4262652
7,1709823969.523193,1709823969.523212
8,1709823969.6228144,1709823969.622832
9,1709823969.7232404,1709823969.7232592
10,1709823969.823623,1709823969.8236396
11,1709823969.9276686,1709823969.9276893
12,1709823970.0212984,1709823970.0213141
13,1709823970.1198401,1709823970.1198604
14,1709823970.227076,1709823970.227095
15,1709823970.3160996,1709823970.3161182
16,1709823970.4270136,1709823970.4270275
17,1709823970.5171015,1709823970.517119
18,1709823970.617141,1709823970.617159
19,1709823970.7177424,1709823970.718008
20,1709823970.8279152,1709823970.8279335
21,1709823970.9250536,1709823970.9251006
22,1709823971.0241895,1709823971.024211
23,1709823971.1209989,1709823971.1210124
24,1709823971.2216883,1709823971.2217052
25,1709823971.321155,1709823971.3211713
26,1709823971.4216545,1709823971.4216676
27,1709823971.5256941,1709823971.5257113
28,1709823971.6247478,1709823971.6247654
29,1709823971.7263286,1709823971.7263503
30,1709823971.8261476,1709823971.8261633
31,1709823971.926433,1709823971.9264507
32,1709823972.0281484,1709823972.0281641
33,1709823972.1229696,1709823972.1229877
34,1709823972.2258396,1709823972.2258613
35,1709823972.3232727,1709823972.3232927
36,1709823972.4248328,1709823972.4248514
37,1709823972.5177858,1709823972.5178053
38,1709823972.6291883,1709823972.6292095
39,1709823972.7263072,1709823972.7263255
40,1709823972.826455,1709823972.8264728
41,1709823972.9279578,1709823972.9279652
42,1709823973.0249739,1709823973.0249805
43,1709823973.1255093,1709823973.1255162
44,1709823973.2240636,1709823973.22407
45,1709823973.3222163,1709823973.322221
46,1709823973.4194224,1709823973.419431
47,1709823973.517057,1709823973.5170648
48,1709823973.621354,1709823973.6213613
49,1709823973.7176714,1709823973.7176793
50,1709823973.8192563,1709823973.8192637
51,1709823973.9169087,1709823973.9169152
52,1709823974.0234568,1709823974.0234632
53,1709823974.1256893,1709823974.1256967
54,1709823974.2265096,1709823974.2265167
55,1709823974.3162038,1709823974.3162086
56,1709823974.427162,1709823974.4271688
57,1709823974.5225976,1709823974.5226042
58,1709823974.624617,1709823974.6246247
59,1709823974.7240944,1709823974.7241008
60,1709823974.8206012,1709823974.8206062
61,1709823974.9214694,1709823974.9214756
62,1709823975.024479,1709823975.0244849
63,1709823975.1257985,1709823975.125803
64,1709823975.2295148,1709823975.229521
65,1709823975.3160787,1709823975.3160853
66,1709823975.4244897,1709823975.424497
67,1709823975.5222538,1709823975.5222611
68,1709823975.627903,1709823975.6279092
69,1709823975.7278879,1709823975.7278948
70,1709823975.8221874,1709823975.8221939
71,1709823975.9308672,1709823975.9308743
72,1709823976.0194259,1709823976.0194335
73,1709823976.1239123,1709823976.123918
74,1709823976.2185924,1709823976.2186
75,1709823976.322236,1709823976.3222446
76,1709823976.4219887,1709823976.4219944
77,1709823976.528891,1709823976.5288982
78,1709823976.628101,1709823976.6281075
79,1709823976.7275136,1709823976.727521
80,1709823977.2404666,1709823977.2404742
81,1709823977.2453744,1709823977.2453797
82,1709823977.3175364,1709823977.317543
83,1709823977.4194946,1709823977.4195013
84,1709823977.52736,1709823977.5273793
85,1709823977.6181989,1709823977.6182058
86,1709823977.7233708,1709823977.7233777
87,1709823977.8175626,1709823977.817571
88,1709823977.9169095,1709823977.9169154
89,1709823978.0263221,1709823978.0263295
90,1709823978.1175883,1709823978.117596
91,1709823978.2266233,1709823978.2266293
92,1709823978.322454,1709823978.3224607
93,1709823978.4175081,1709823978.4175155
94,1709823978.5206435,1709823978.5206501
95,1709823978.617772,1709823978.6177788
96,1709823978.7207983,1709823978.7208045
97,1709823978.81797,1709823978.8179772
98,1709823978.9158237,1709823978.91583
99,1709823979.02704,1709823979.0270474
100,1709823979.1200204,1709823979.120026
101,1709823979.2290263,1709823979.2290328
102,1709823979.3226197,1709823979.3226266
103,1709823979.415877,1709823979.4158826
104,1709823979.5185003,1709823979.518506
105,1709823979.6169422,1709823979.616949
106,1709823979.717187,1709823979.717193
107,1709823979.8261096,1709823979.8261168
108,1709823979.9240217,1709823979.9240274
109,1709823980.0249548,1709823980.0249593
110,1709823980.124079,1709823980.124085
111,1709823980.222827,1709823980.2228346
112,1709823980.3252273,1709823980.3252337
113,1709823980.4194558,1709823980.4194624
114,1709823980.5166693,1709823980.5166745
115,1709823980.6168573,1709823980.6168637
116,1709823980.7195272,1709823980.7195337
117,1709823980.8223584,1709823980.8223627
118,1709823980.917796,1709823980.9178002
119,1709823981.0178905,1709823981.0178974
120,1709823981.1203,1709823981.1203074
121,1709823981.227573,1709823981.2275796
122,1709823981.3263023,1709823981.3263097
123,1709823981.426498,1709823981.426506
124,1709823981.5165102,1709823981.5165167
125,1709823981.6158981,1709823981.6159046
126,1709823981.716255,1709823981.7162611
127,1709823981.8285625,1709823981.8285694
128,1709823981.9253297,1709823981.925337
129,1709823982.0254803,1709823982.0254862
130,1709823982.1221375,1709823982.122145
131,1709823982.2260966,1709823982.2261043
132,1709823982.315785,1709823982.3157907
133,1709823982.4199674,1709823982.4199736
134,1709823982.5222483,1709823982.5222557
135,1709823982.6166742,1709823982.6166801
136,1709823982.7210627,1709823982.7210703
137,1709823982.8172228,1709823982.817229
138,1709823982.9240453,1709823982.924053
139,1709823983.031124,1709823983.0311296
140,1709823983.1237397,1709823983.1237454
141,1709823983.2166216,1709823983.2166271
142,1709823983.3212965,1709823983.3213003
143,1709823983.422659,1709823983.422665
144,1709823983.5271144,1709823983.5271204
145,1709823983.6308227,1709823983.6308305
146,1709823983.7159948,1709823983.7160006
147,1709823983.8304074,1709823983.8304145
148,1709823983.9275749,1709823983.9275808
149,1709823984.02483,1709823984.0248363
150,1709823984.1327832,1709823984.1327896
151,1709823984.2267134,1709823984.2267191
152,1709823984.317776,1709823984.317782
153,1709823984.428804,1709823984.4288106
154,1709823984.5271335,1709823984.5271397
155,1709823984.6185782,1709823984.6185818
156,1709823984.7197196,1709823984.719726
157,1709823984.81987,1709823984.819876
158,1709823984.9216893,1709823984.9216986
159,1709823985.032794,1709823985.0327995
160,1709823985.1292453,1709823985.129251
161,1709823985.2204664,1709823985.2204723
162,1709823985.3209302,1709823985.3209376
163,1709823985.4357197,1709823985.4357252
164,1709823985.5185807,1709823985.5185862
165,1709823985.6210463,1709823985.6210518
166,1709823985.720991,1709823985.7209973
167,1709823985.823237,1709823985.8232424
168,1709823985.9237125,1709823985.9237192
169,1709823986.0325112,1709823986.032518
170,1709823986.3219767,1709823986.3219817
171,1709823986.327677,1709823986.3276823
172,1709823986.4214573,1709823986.4214656
173,1709823986.5329292,1709823986.532935
174,1709823986.6293337,1709823986.6293395
175,1709823986.7201228,1709823986.7201288
176,1709823986.82018,1709823986.820186
177,1709823986.929602,1709823986.929607
178,1709823987.0220063,1709823987.0220122
179,1709823987.1208518,1709823987.1208591
180,1709823987.2212555,1709823987.221261
181,1709823987.3232245,1709823987.323231
182,1709823987.4321122,1709823987.4321957
183,1709823987.5202894,1709823987.52037
184,1709823987.6284692,1709823987.6285489
185,1709823987.7328374,1709823987.7329204
186,1709823987.8230505,1709823987.8231509
187,1709823987.9161878,1709823987.9162672
188,1709823988.0196776,1709823988.0198333
189,1709823988.119257,1709823988.119321
190,1709823988.218802,1709823988.2188804
191,1709823988.3163805,1709823988.3164673
192,1709823988.4175744,1709823988.4185457
193,1709823988.5235312,1709823988.5236175
194,1709823988.6203961,1709823988.620444
195,1709823988.7242608,1709823988.7243092
196,1709823988.8230572,1709823988.8231397
197,1709823988.9244297,1709823988.9245174
198,1709823989.018411,1709823989.018451
199,1709823989.1223247,1709823989.1223943
200,1709823989.2310302,1709823989.2310808
201,1709823989.3273602,1709823989.327429
202,1709823989.4201643,1709823989.420223
203,1709823989.526631,1709823989.526678
204,1709823989.6203642,1709823989.6204355
205,1709823989.727162,1709823989.7272503
206,1709823989.8251257,1709823989.8251846
207,1709823989.916383,1709823989.9165876
208,1709823990.0182827,1709823990.0183396
209,1709823990.1269648,1709823990.1270554
210,1709823990.2312753,1709823990.2313561
211,1709823990.3196583,1709823990.3197427
212,1709823990.4215014,1709823990.4215496
213,1709823990.516364,1709823990.516415
214,1709823990.6234713,1709823990.6235204
215,1709823990.7280087,1709823990.7280672
216,1709823990.8167634,1709823990.8168275
217,1709823990.920034,1709823990.9200857
218,1709823991.0230274,1709823991.023113
219,1709823991.1274402,1709823991.127522
220,1709823991.2172396,1709823991.2173343
221,1709823991.3192418,1709823991.3193145
