,vehicleid,transtime
0,ES00,1709823991.0392919
1,ES00,1709823991.3410811
2,ES00,1709823991.640133
3,ES00,1709823991.940278
4,ES00,1709823992.241602
5,ES00,1709823992.540887
6,ES00,1709823992.8401306
7,ES00,1709823993.1408758
8,ES00,1709823993.4459753
9,ES01,1709823993.4531403
10,ES00,1709823993.740317
11,ES01,1709823993.7438788
12,ES00,1709823994.0382698
13,ES01,1709823994.0415723
14,ES00,1709823994.3386886
15,ES01,1709823994.3409452
16,ES00,1709823994.6462288
17,ES01,1709823994.6491706
18,ES00,1709823994.9400353
19,ES01,1709823994.9434536
20,ES00,1709823995.2379801
21,ES01,1709823995.240966
22,ES00,1709823995.5404944
23,ES01,1709823995.549545
24,ES00,1709823995.8395174
25,ES01,1709823995.8426576
26,ES00,1709823996.1383665
27,ES01,1709823996.1438544
28,ES00,1709823996.4390864
29,ES01,1709823996.4423683
30,ES00,1709823996.7395248
31,ES01,1709823996.7429433
32,ES00,1709823997.0500507
33,ES01,1709823997.054911
34,ES01,1709823997.3405423
35,ES01,1709823997.6389832
36,ES01,1709823997.9415376
37,ES01,1709823998.2413878
38,ES01,1709823998.5426495
39,ES01,1709823998.84161
40,ES01,1709823999.1459868
41,ES01,1709823999.4404547
42,EW13,1709824006.3487122
43,SW02,1709824006.356721
44,EW13,1709824006.6464183
45,SW02,1709824006.653101
46,EW13,1709824006.9497597
47,SW02,1709824006.957465
48,EW13,1709824007.2502112
49,SW02,1709824007.2571936
50,EW13,1709824007.5556817
51,SW02,1709824007.5621223
52,EW13,1709824007.8526745
53,SW02,1709824007.8591716
54,EW13,1709824008.14669
55,SW02,1709824008.1536567
56,EW13,1709824008.4490623
57,SW02,1709824008.4578333
58,EW13,1709824008.751204
59,SW02,1709824008.7585723
60,EW13,1709824009.0509715
61,SW02,1709824009.0572486
62,EW13,1709824009.346793
63,SW02,1709824009.3525388
64,EW13,1709824009.6462593
65,SW02,1709824009.6514857
66,EW13,1709824009.947224
67,SW02,1709824009.953858
68,EW13,1709824010.2478743
69,SW02,1709824010.2538369
70,EW13,1709824010.5468376
71,SW02,1709824010.552818
72,EW13,1709824010.845775
73,SW02,1709824010.8527408
74,EW13,1709824011.1478424
75,SW02,1709824011.1541889
76,EW13,1709824011.446212
77,SW02,1709824011.4506104
78,EW13,1709824011.7489262
79,SW02,1709824011.754294
80,EW13,1709824012.0456328
81,SW02,1709824012.0532634
82,EW13,1709824012.3452897
83,SW02,1709824012.351833
84,EW13,1709824012.6528866
85,SW02,1709824012.6583827
86,EW13,1709824012.949211
87,EW13,1709824013.2503905
88,EW13,1709824013.5483603
89,EW13,1709824013.8480659
90,EW13,1709824014.1475544
91,EW13,1709824014.4481783
92,SE14,1709824014.4622314
93,EW13,1709824014.7477767
94,SE14,1709824014.7610161
95,EW13,1709824015.0493512
96,SE14,1709824015.0631015
97,SE14,1709824015.3593028
98,SE14,1709824015.6569269
99,SE14,1709824015.9585557
100,SE14,1709824016.2598643
101,SW05,1709824016.5531645
102,SE14,1709824016.5619037
103,SW05,1709824016.8525696
104,SE14,1709824016.8625479
105,SW05,1709824017.1656868
106,SE14,1709824017.1746535
107,SW05,1709824017.453461
108,SE14,1709824017.4611452
109,SW05,1709824017.7542953
110,SE14,1709824017.7622955
111,SW05,1709824018.0572467
112,SE14,1709824018.0665298
113,SW05,1709824018.3624794
114,SE14,1709824018.3680944
115,SW05,1709824018.6516783
116,SE14,1709824018.6581798
117,SW05,1709824018.9513538
118,SE14,1709824018.9580905
119,SW05,1709824019.2541904
120,SE14,1709824019.2611477
121,SW05,1709824019.554955
122,SE14,1709824019.5626261
123,SW05,1709824019.853568
124,SE14,1709824019.8607392
