,vehicleid,delaytime
0,SW00,20.99509549
1,NE02,17.41015816
2,NE04,15.02460241
3,SN13,20.69985604
4,SE16,18.59106874
5,NS11,24.31850934
6,SN15,19.80650997
7,SE110,7.202497005
8,NS17,16.20821881
9,NS18,9.887456894
10,SE113,6.292470455
11,SW09,14.08674836
12,NE011,9.270646572
13,SW012,8.693036556
14,NW114,12.28668141
15,SE115,6.301643372
16,SW016,6.599852324
17,NE018,6.602960825
18,NS119,6.901082277
19,NW117,10.8065269
20,SN121,6.296037436
21,SE122,6.305880308
22,NE020,10.82147741
23,SW025,6.590883255
24,SW027,6.602728128
25,NE029,6.599110126
26,SN123,21.59344316
27,SE124,21.59882689
28,NS131,11.70688438
29,NW128,15.59687996
30,SN126,21.5947628
31,NS133,10.79946375
32,NW130,13.19647717
33,SN134,9.600687504
34,NW132,12.58005381
35,SW035,15.59636927
36,NE037,10.79140019
37,NE038,6.894040823
38,SE136,20.69712639
39,SE139,6.304752827
40,NW140,6.28735137
41,NW142,5.989794254
42,NW143,6.006088257
43,SW041,33.89819002
44,SW044,24.59371161
45,SW045,20.09069753
46,NE049,6.604977369
47,SN146,25.81042409
48,NS147,18.01457
49,NW148,14.11604428
50,NW151,5.999413252
51,NS152,6.001598358
52,SE153,6.300305605
53,SW050,11.39840174
54,NE054,6.605770111
55,SE156,7.500623226
56,NW155,7.197338104
57,NW157,5.994652271
58,SW058,9.899939299
59,SW059,6.595840454
60,NE061,6.59796834
61,NW160,9.90311861
62,NS162,5.999027967
63,SN163,6.306347847
64,SW064,13.7989552
65,NS165,14.1040051
66,NW166,6.002522469
67,SN167,6.296209574
68,SE168,6.294144869
69,SE169,6.287294388
70,SE171,6.296997547
71,NE072,10.80045581
72,SW070,12.29426742
73,NE073,6.596964359
74,SN177,7.199042559
75,SE176,9.893541574
76,NS174,22.50199056
77,SW075,29.99592733
78,NE078,11.11561537
79,SW079,9.596931696
80,SN181,11.10368276
81,SE180,13.21137977
82,NS182,8.999916077
83,SN183,6.304916859
84,SW085,8.101475477
