,starttime,endtime,phaseDuration
0,1709771271.776276,1709771271.9710307,12
1,1709771283.8754082,1709771283.8989727,7
2,1709771290.97837,1709771290.9985895,8
3,1709771299.0739267,1709771299.090557,7
4,1709771306.173923,1709771306.1946306,7
5,1709771313.273957,1709771313.2979374,7
6,1709771320.3740005,1709771320.3951747,7
7,1709771327.4744697,1709771327.49878,10
8,1709771337.4741,1709771337.4972837,7
9,1709771344.4805667,1709771344.4993677,12
10,1709771356.6740353,1709771356.6935925,11
11,1709771367.7739716,1709771367.7914546,7
12,1709771374.7790349,1709771374.7966928,7
13,1709771381.9739456,1709771381.9935486,7
14,1709771389.073953,1709771389.0964417,7
15,1709771396.1739733,1709771396.196478,7
16,1709771403.2786043,1709771403.3012521,12
17,1709771415.2739785,1709771415.2955883,11
18,1709771426.3738987,1709771426.3922756,7
19,1709771433.473971,1709771433.4978619,12
20,1709771445.476111,1709771445.4986107,10
21,1709771455.6739554,1709771455.6920323,7
22,1709771462.6760561,1709771462.6957035,7
23,1709771469.8739681,1709771469.8923328,7
24,1709771476.8739173,1709771476.8878763,7
25,1709771483.9739687,1709771483.9916763,12
26,1709771496.0739343,1709771496.0940888,7
27,1709771503.173933,1709771503.194244,12
28,1709771515.176801,1709771515.1959727,7
29,1709771522.280204,1709771522.305939,11
30,1709771533.2766156,1709771533.2942333,7
31,1709771540.4742563,1709771540.5026147,7
32,1709771547.573964,1709771547.5897124,7
33,1709771554.6739895,1709771554.695278,7
34,1709771561.7739792,1709771561.7937937,12
35,1709771573.873969,1709771573.8937454,7
36,1709771580.9787183,1709771581.0001724,12
37,1709771593.0755699,1709771593.092782,12
38,1709771610.2739701,1709771610.291245,7
39,1709771617.3739583,1709771617.3938408,7
40,1709771624.473909,1709771624.4915721,12
41,1709771636.5739675,1709771636.5937386,7
42,1709771648.6762254,1709771648.6972208,12
43,1709771660.7777374,1709771660.7989287,7
44,1709771667.8749547,1709771667.8970075,9
45,1709771676.97393,1709771676.99284,7
46,1709771684.0739527,1709771684.0904665,7
47,1709771691.17396,1709771691.1920223,7
48,1709771698.1739364,1709771698.191472,12
49,1709771710.273928,1709771710.2961748,7
50,1709771717.2750425,1709771717.297148,12
51,1709771729.3823326,1709771729.3997138,7
52,1709771736.473948,1709771736.4946527,12
53,1709771748.5739439,1709771748.5930104,12
54,1709771760.6739814,1709771760.6937315,11
55,1709771771.7739096,1709771771.7937114,7
56,1709771778.7833552,1709771778.8057945,7
57,1709771785.8800616,1709771785.9172647,12
58,1709771797.879535,1709771797.8978312,7
59,1709771805.0739028,1709771805.1023185,7
60,1709771812.1739097,1709771812.1900194,7
61,1709771819.2739506,1709771819.2948828,10
62,1709771829.373997,1709771829.3913877,7
63,1709771836.4740057,1709771836.4965577,7
64,1709771843.573991,1709771843.592888,7
65,1709771850.5783162,1709771850.5968983,12
66,1709771862.6785595,1709771862.6976318,7
67,1709771869.7745037,1709771869.794962,12
68,1709771881.87393,1709771881.8902586,7
69,1709771899.173944,1709771899.1952162,7
70,1709771906.277055,1709771906.2983592,7
71,1709771913.2739732,1709771913.2916574,7
72,1709771920.373999,1709771920.3939426,7
73,1709771932.3810043,1709771932.399919,12
74,1709771944.5739458,1709771944.591453,7
75,1709771951.6739,1709771951.694772,7
76,1709771958.7740705,1709771958.7936954,7
77,1709771965.8799357,1709771965.9092495,12
78,1709771977.9741576,1709771977.995505,7
79,1709771985.073927,1709771985.0941892,7
80,1709771991.9846354,1709771992.0047534,7
81,1709771999.1781912,1709771999.194395,12
82,1709772011.2739348,1709772011.2917042,7
83,1709772018.3739748,1709772018.3938565,7
84,1709772030.3780181,1709772030.4018598,7
85,1709772042.6739194,1709772042.6951063,12
86,1709772054.7740068,1709772054.7949958,7
87,1709772061.7811422,1709772061.803468,7
88,1709772068.8740854,1709772068.8990736,12
89,1709772080.9739318,1709772080.998455,7
90,1709772088.0740297,1709772088.0943599,7
91,1709772095.1739361,1709772095.1937654,9
92,1709772104.1762724,1709772104.1937761,7
93,1709772111.1814258,1709772111.1992362,7
94,1709772118.2769594,1709772118.293639,7
95,1709772125.4739397,1709772125.492898,7
96,1709772132.5810368,1709772132.599526,7
97,1709772139.5739238,1709772139.6002376,12
98,1709772151.6808105,1709772151.698424,7
99,1709772158.6740665,1709772158.6872613,7
100,1709772165.7739356,1709772165.7908826,7
101,1709772172.8739686,1709772172.8905504,7
102,1709772179.9738917,1709772179.9859276,7
103,1709772187.0740366,1709772187.0983431,7
104,1709772194.1738741,1709772194.182704,7
