,vehicleid,recievetime
0,EW1,1709771267.1339312
1,EW1,1709771267.1408777
2,EW1,1709771267.1512573
3,EW1,1709771267.1585464
4,EW1,1709771267.1869287
5,EW1,1709771267.1925077
6,EW1,1709771267.2188
7,EW1,1709771267.224461
8,EW1,1709771267.2296202
9,EW1,1709771267.2387285
10,EW1,1709771267.2454343
11,EW1,1709771267.2576246
12,EW1,1709771267.2657094
13,EW1,1709771267.2798185
14,EW1,1709771267.2900305
15,EW1,1709771267.298846
16,EW1,1709771267.3146005
17,EW1,1709771267.3373861
18,EW1,1709771267.3454778
19,EW1,1709771267.3525152
20,EW1,1709771267.3616734
21,EW1,1709771267.3735783
22,EW1,1709771267.3837054
23,EW1,1709771267.4128878
24,EW1,1709771267.4191496
25,EW1,1709771267.4245641
26,EW1,1709771267.4397442
27,EW1,1709771267.4458325
28,EW1,1709771267.4612863
29,EW1,1709771267.4747386
30,EW1,1709771267.4863842
31,EW1,1709771267.4922097
32,EW1,1709771267.496736
33,EW1,1709771267.5022838
34,EW1,1709771267.5178714
35,EW1,1709771267.5217502
36,EW1,1709771267.526918
37,EW1,1709771267.532759
38,EW1,1709771267.5390687
39,EW1,1709771267.545659
40,EW1,1709771267.5504935
41,EW1,1709771267.5550494
42,EW1,1709771267.5596256
43,EW1,1709771267.5724103
44,EW1,1709771267.5783963
45,EW1,1709771267.5855174
46,EW1,1709771267.5960162
47,EW1,1709771267.6042488
48,EW1,1709771267.6124735
49,EW1,1709771267.6244743
50,EW1,1709771267.6328244
51,EW1,1709771267.6469467
52,EW1,1709771267.6623385
53,EW1,1709771267.6717355
54,EW1,1709771267.6794627
55,EW1,1709771267.6845868
56,EW1,1709771267.696401
57,EW1,1709771267.700903
58,EW1,1709771267.7066586
59,EW1,1709771267.720476
60,EW1,1709771267.7281058
61,EW1,1709771267.73253
62,EW1,1709771267.7455757
63,EW1,1709771267.7492054
64,EW1,1709771267.7532685
65,EW1,1709771267.7675538
66,EW1,1709771267.777726
67,EW1,1709771267.784396
68,EW1,1709771267.7895675
69,EW1,1709771267.7942493
70,EW1,1709771267.799005
71,EW1,1709771267.803568
72,EW1,1709771267.80955
73,EW1,1709771267.8331943
74,EW1,1709771267.847836
75,EW1,1709771267.8637574
76,EW1,1709771267.873669
77,EW1,1709771267.9011564
78,EW1,1709771267.9140954
79,EW1,1709771267.939497
80,EW1,1709771267.94557
81,EW1,1709771267.9512572
82,EW1,1709771267.9565315
83,EW1,1709771267.9609377
84,EW1,1709771267.964619
85,EW1,1709771267.9681442
86,EW1,1709771267.9715345
87,EW1,1709771267.9758675
88,EW1,1709771267.983264
89,EW1,1709771267.9907749
90,EW1,1709771267.9965694
91,EW1,1709771268.002591
92,EW1,1709771268.0091417
93,EW1,1709771268.016819
94,EW1,1709771268.02178
95,EW1,1709771268.0278547
96,EW1,1709771268.0336711
97,EW1,1709771268.0449858
98,EW1,1709771268.0496094
99,EW1,1709771268.0565593
100,EW1,1709771268.0635889
101,EW1,1709771268.0701005
102,EW1,1709771268.0788648
103,EW1,1709771268.0899122
104,EW1,1709771268.1009192
105,EW1,1709771268.1103365
106,EW1,1709771268.1248317
107,EW1,1709771268.1326306
108,EW1,1709771268.1461136
109,EW1,1709771268.1532865
110,EW1,1709771268.1604185
111,EW1,1709771268.1664088
112,EW1,1709771268.1851652
113,EW1,1709771268.1903417
114,EW1,1709771268.196925
115,EW1,1709771268.210473
116,EW1,1709771268.2154644
117,EW1,1709771268.2238302
118,EW1,1709771268.2331522
119,EW1,1709771268.251155
120,EW1,1709771268.2581494
121,EW1,1709771268.2704546
122,EW1,1709771268.2792645
123,EW1,1709771268.2865841
124,EW1,1709771268.2928412
125,EW1,1709771268.2982361
126,EW1,1709771268.3078341
127,EW1,1709771268.3173225
128,EW1,1709771268.3276794
129,EW1,1709771268.3347213
130,EW1,1709771268.3430126
131,EW1,1709771268.350529
132,EW1,1709771268.378686
133,EW1,1709771268.392146
134,EW1,1709771268.4150205
135,SW00,1709771268.4196413
136,EW1,1709771268.4360833
137,EW1,1709771268.4417396
138,EW1,1709771268.4468038
139,EW1,1709771268.4574268
140,EW1,1709771268.4735718
141,EW1,1709771268.490938
142,EW1,1709771268.4971836
143,EW1,1709771268.5068436
144,EW1,1709771268.5151322
145,EW1,1709771268.5274694
146,EW1,1709771268.534748
147,EW1,1709771268.5422313
148,EW1,1709771268.5499268
149,EW1,1709771268.556613
150,EW1,1709771268.5627127
151,EW1,1709771268.5696995
152,EW1,1709771268.5820348
153,EW1,1709771268.5992832
154,EW1,1709771268.6042817
155,EW1,1709771268.6108458
156,EW1,1709771268.6167326
157,EW1,1709771268.6276572
158,EW1,1709771268.6345754
159,EW1,1709771268.642064
160,EW1,1709771268.6489453
161,EW1,1709771268.665374
162,EW1,1709771268.6706436
163,EW1,1709771268.6784139
164,EW1,1709771268.688
165,EW1,1709771268.6974316
166,EW1,1709771268.7091281
167,SW00,1709771268.72097
168,EW1,1709771268.7256422
169,EW1,1709771268.7301662
170,EW1,1709771268.7358835
171,EW1,1709771268.750483
172,EW1,1709771268.7566915
173,EW1,1709771268.7646954
174,EW1,1709771268.773478
175,EW1,1709771268.7812173
176,EW1,1709771268.8084016
177,EW1,1709771268.8178365
178,EW1,1709771268.8286147
179,EW1,1709771268.8552396
180,EW1,1709771268.8599699
181,EW1,1709771268.8652055
182,EW1,1709771268.8732393
183,EW1,1709771268.88091
184,EW1,1709771268.8916101
185,EW1,1709771268.9201005
186,EW1,1709771268.9257362
187,EW1,1709771268.929982
188,EW1,1709771268.938582
189,EW1,1709771268.9466467
190,EW1,1709771268.9535353
191,EW1,1709771268.9665368
192,EW1,1709771268.9752586
193,EW1,1709771268.983069
194,EW1,1709771268.9915864
195,EW1,1709771268.9980679
196,EW1,1709771269.0050428
197,SW00,1709771269.0121007
198,EW1,1709771269.0310333
199,EW1,1709771269.0385869
200,EW1,1709771269.0485315
201,EW1,1709771269.0547698
202,EW1,1709771269.0753307
203,EW1,1709771269.0911152
204,EW1,1709771269.0969963
205,EW1,1709771269.1039286
206,EW1,1709771269.1264105
207,EW1,1709771269.1324935
208,EW1,1709771269.1423438
209,EW1,1709771269.1485522
210,EW1,1709771269.1723952
211,EW1,1709771269.177646
212,EW1,1709771269.1809356
213,EW1,1709771269.1872087
214,EW1,1709771269.1973512
215,EW1,1709771269.2040277
216,EW1,1709771269.2088974
217,EW1,1709771269.2136798
218,EW1,1709771269.218909
219,EW1,1709771269.2238882
220,EW1,1709771269.2502816
221,EW1,1709771269.2589495
222,EW1,1709771269.2689068
223,EW1,1709771269.273709
224,EW1,1709771269.2894576
225,EW1,1709771269.294253
226,EW1,1709771269.3005502
227,EW1,1709771269.3063827
228,EW1,1709771269.3117392
229,SW00,1709771269.3169208
230,EW1,1709771269.3284273
231,EW1,1709771269.3340755
232,EW1,1709771269.3499944
233,EW1,1709771269.3554468
234,EW1,1709771269.3619597
235,EW1,1709771269.3744361
236,EW1,1709771269.3790774
237,EW1,1709771269.383605
238,EW1,1709771269.4121034
239,EW1,1709771269.418265
240,EW1,1709771269.4249299
241,EW1,1709771269.4313216
242,EW1,1709771269.438214
243,EW1,1709771269.4452016
244,EW1,1709771269.454307
245,EW1,1709771269.462138
246,EW1,1709771269.4770293
247,EW1,1709771269.4872303
248,EW1,1709771269.493913
249,EW1,1709771269.502289
250,EW1,1709771269.5111349
251,EW1,1709771269.5165308
252,EW1,1709771269.52621
253,EW1,1709771269.539277
254,EW1,1709771269.5482993
255,EW1,1709771269.5571516
256,EW1,1709771269.5665803
257,EW1,1709771269.579477
258,EW1,1709771269.586565
259,EW1,1709771269.5966313
260,EW1,1709771269.6033897
261,EW1,1709771269.609503
262,SW00,1709771269.614729
263,EW1,1709771269.6201205
264,EW1,1709771269.6328316
265,EW1,1709771269.637537
266,EW1,1709771269.6420012
267,EW1,1709771269.6471162
268,EW1,1709771269.652006
269,EW1,1709771269.6566937
