,vehicleid,transtime
0,SW00,1709771268.4171207
1,SW00,1709771268.714763
2,SW00,1709771269.0115807
3,SW00,1709771269.3138397
4,SW00,1709771269.6134307
5,SW00,1709771269.9386504
6,SW00,1709771270.2145221
7,SW00,1709771270.5136478
8,SW00,1709771270.821961
9,SW00,1709771271.1178038
10,SW00,1709771271.4133866
11,SW00,1709771271.7105727
12,NS11,1709771271.725156
13,SW00,1709771272.0109384
14,NS11,1709771272.024081
15,NE02,1709771272.0380726
16,SW00,1709771272.31252
17,NS11,1709771272.3340867
18,NE02,1709771272.3422127
19,SW00,1709771272.6123567
20,NS11,1709771272.6319768
21,NE02,1709771272.6389105
22,SW00,1709771272.9107833
23,NS11,1709771272.927401
24,NE02,1709771272.9352562
25,SW00,1709771273.2114825
26,NS11,1709771273.2352817
27,NE02,1709771273.2437873
28,SW00,1709771273.513002
29,NS11,1709771273.5300727
30,NE02,1709771273.5388598
31,SW00,1709771273.811275
32,NS11,1709771273.8334453
33,NE02,1709771273.8425264
34,SW00,1709771274.1129682
35,NS11,1709771274.1292338
36,NE02,1709771274.1371803
37,SW00,1709771274.414836
38,NS11,1709771274.4385195
39,NE02,1709771274.448889
40,SW00,1709771274.7121344
41,NS11,1709771274.7254226
42,NE02,1709771274.7373238
43,SW00,1709771275.014522
44,NS11,1709771275.0345793
45,NE02,1709771275.0424025
46,SW00,1709771275.312583
47,SN13,1709771275.3207104
48,NS11,1709771275.3331077
49,NE02,1709771275.3408418
50,NE04,1709771275.345359
51,SW00,1709771275.6201968
52,SN13,1709771275.6266274
53,NS11,1709771275.637444
54,NE02,1709771275.6459634
55,NE04,1709771275.6507852
56,SW00,1709771275.909249
57,SN13,1709771275.9172602
58,NS11,1709771275.9318807
59,NE02,1709771275.939862
60,NE04,1709771275.9423306
61,SW00,1709771276.2127638
62,SN13,1709771276.2204447
63,NS11,1709771276.236334
64,NE02,1709771276.2446604
65,NE04,1709771276.248586
66,SW00,1709771276.5205827
67,SN13,1709771276.5268507
68,NS11,1709771276.5350351
69,NE02,1709771276.5471232
70,NE04,1709771276.5511668
71,SW00,1709771276.8113472
72,SN13,1709771276.8176346
73,NS11,1709771276.8323817
74,NE02,1709771276.8484883
75,NE04,1709771276.8524528
76,SW00,1709771277.1116533
77,SN13,1709771277.1188734
78,SN15,1709771277.1227596
79,NS11,1709771277.1358147
80,NE02,1709771277.144745
81,NE04,1709771277.1483798
82,SW00,1709771277.4209514
83,SN13,1709771277.4289482
84,SN15,1709771277.4326973
85,SE16,1709771277.4386008
86,NS11,1709771277.4431849
87,NE02,1709771277.4596436
88,NE04,1709771277.464022
89,SW00,1709771277.7125823
90,SN13,1709771277.7226596
91,SN15,1709771277.726252
92,SE16,1709771277.7333474
93,NS11,1709771277.7383544
94,NE02,1709771277.7459514
95,NE04,1709771277.7485883
96,SW00,1709771278.0216682
97,SN13,1709771278.0294945
98,SN15,1709771278.0337477
99,SE16,1709771278.0406034
100,NS11,1709771278.0477834
101,NE02,1709771278.063405
102,NE04,1709771278.066391
103,SW00,1709771278.313343
104,SN13,1709771278.3222792
105,SN15,1709771278.3261786
106,SE16,1709771278.3335354
107,NS11,1709771278.3452735
108,NE02,1709771278.359676
109,NE04,1709771278.3626535
110,SW00,1709771278.6147258
111,SN13,1709771278.6222098
112,SN15,1709771278.6320648
113,SE16,1709771278.639481
114,NS11,1709771278.6448598
115,NE02,1709771278.6503706
116,NE04,1709771278.6533985
117,SW00,1709771278.9158187
118,SN13,1709771278.9230878
119,SN15,1709771278.927329
120,SE16,1709771278.9336789
121,NS11,1709771278.9398713
122,NE02,1709771278.9489784
123,NE04,1709771278.9542224
124,SW00,1709771279.2161272
125,SN13,1709771279.2231739
126,SN15,1709771279.227191
127,SE16,1709771279.2353425
128,NS11,1709771279.24165
129,NE02,1709771279.250034
130,NE04,1709771279.2525687
131,SW00,1709771279.5185244
132,SN13,1709771279.5253377
133,SN15,1709771279.527623
134,SE16,1709771279.534078
135,NS11,1709771279.539742
136,NE02,1709771279.5484672
137,NE04,1709771279.5509665
138,SW00,1709771279.815074
139,SN13,1709771279.8238595
140,SN15,1709771279.82688
141,SE16,1709771279.8332665
142,NS11,1709771279.8396342
143,NE02,1709771279.8474529
144,NE04,1709771279.8497856
145,SW00,1709771280.113802
146,SN13,1709771280.1207142
147,SN15,1709771280.1232908
148,SE16,1709771280.1301827
149,NS11,1709771280.1365724
150,NE02,1709771280.1440456
151,NE04,1709771280.14628
152,SW00,1709771280.4113781
153,SN13,1709771280.4181473
154,SN15,1709771280.4204183
155,SE16,1709771280.428775
156,NS11,1709771280.4396899
157,NE02,1709771280.4510157
158,NE04,1709771280.4535198
159,SW00,1709771280.7109923
160,SN13,1709771280.718085
161,SN15,1709771280.720539
162,SE16,1709771280.7263489
163,NS11,1709771280.733369
164,NS17,1709771280.7374604
165,NE02,1709771280.7465227
166,NE04,1709771280.7489882
167,SW00,1709771281.0120993
168,SN13,1709771281.0190742
169,SN15,1709771281.0213625
170,SE16,1709771281.0263698
171,NS11,1709771281.0328076
172,NS17,1709771281.0370708
173,NE02,1709771281.0455503
174,NE04,1709771281.048125
175,SW00,1709771281.3131456
176,SN13,1709771281.3200698
177,SN15,1709771281.3223214
178,SE16,1709771281.3276474
179,NS11,1709771281.339163
180,NS17,1709771281.343173
181,NE02,1709771281.351154
182,NE04,1709771281.3594959
183,SW00,1709771281.6188166
184,SN13,1709771281.6305525
185,SN15,1709771281.6333444
186,SE16,1709771281.6408477
187,NS11,1709771281.6512249
188,NS17,1709771281.655751
189,NE02,1709771281.664721
190,NE04,1709771281.6670282
191,SW00,1709771281.9128878
192,SN13,1709771281.9199557
193,SN15,1709771281.9233196
194,SE16,1709771281.9335485
195,NS11,1709771281.9435072
196,NS17,1709771281.9500995
197,NE02,1709771281.9564993
198,NE04,1709771281.9585934
199,SW00,1709771282.213768
200,SN13,1709771282.2209723
201,SN15,1709771282.224283
202,SE16,1709771282.2298772
203,NS11,1709771282.237161
204,NS17,1709771282.2431998
205,NE02,1709771282.2526248
206,NE04,1709771282.256438
207,SW00,1709771282.514376
208,SN13,1709771282.5230694
209,SN15,1709771282.5304823
210,SE16,1709771282.5381737
211,NS11,1709771282.5444188
212,NS17,1709771282.5482168
213,NE02,1709771282.5549076
214,NE04,1709771282.557542
215,SW00,1709771282.8125904
216,SN13,1709771282.8193617
217,SN15,1709771282.8218887
218,SE16,1709771282.8269653
219,NS11,1709771282.8327382
220,NS17,1709771282.835178
221,NE02,1709771282.8435104
222,NE04,1709771282.8464587
223,SW00,1709771283.1164026
224,SN13,1709771283.1243114
225,SN15,1709771283.1271124
226,SE16,1709771283.1325803
227,NS11,1709771283.1396816
228,NS17,1709771283.1441076
229,NE02,1709771283.1542275
230,NE04,1709771283.157047
231,SW00,1709771283.415379
232,SN13,1709771283.4241598
233,SN15,1709771283.4267616
234,SE16,1709771283.4323506
235,NS11,1709771283.43953
236,NS17,1709771283.4431057
237,NE02,1709771283.4596112
238,NE04,1709771283.4637032
239,SW00,1709771283.7119622
240,SN13,1709771283.7182233
241,SN15,1709771283.7206736
242,SE16,1709771283.726714
243,NS11,1709771283.7336762
244,NS17,1709771283.7414525
245,NE02,1709771283.7503061
246,NE04,1709771283.752662
247,SW00,1709771284.0188863
248,SN13,1709771284.0272217
249,SN15,1709771284.029695
250,SE16,1709771284.0348277
251,NS11,1709771284.042883
252,NS17,1709771284.045695
253,NE02,1709771284.0604422
254,NE04,1709771284.0631633
255,SW00,1709771284.3173385
256,SN13,1709771284.326006
257,SN15,1709771284.3283126
258,SE16,1709771284.3328373
