,vehicleid,delaytime
0,SW01,10.80370307
1,NS15,6.009628296
2,NW10,21.01261878
3,SE16,6.299902916
4,NW12,17.71248436
5,NW13,10.20210409
6,NW14,10.19261193
7,SE17,6.300921202
8,NS18,5.988241434
9,SN19,6.313548326
10,NS110,6.00703454
11,SE112,6.277148962
12,SW011,13.79293466
13,NE014,6.594004869
14,SN113,14.4018116
15,SN115,9.905466318
16,NS117,6.006046295
17,SN119,6.30608201
18,SE120,6.296336412
19,SW016,10.20051026
20,NE018,10.20323157
21,SW021,6.601143122
22,SW022,6.598005295
23,NW123,6.001999617
24,SE125,6.304121494
25,SW024,19.79592395
26,SW026,17.98281622
27,SW032,6.595465183
28,SN127,16.19273496
29,SE128,16.19143414
30,NS129,13.48603678
31,NW130,10.49644089
32,SN134,9.589359999
33,SE131,11.6915524
34,NS133,9.289571285
35,NE035,14.37158036
36,NE036,13.17418242
37,NW137,14.0945065
38,NW138,10.18716359
39,NE040,12.59862304
40,SW039,15.00250053
41,NW141,13.19569206
42,SN143,6.301108599
43,NE042,13.51322341
44,NS144,14.11012173
45,SN146,8.700783968
46,NW147,6.001316309
47,NS145,11.99968314
48,SE148,6.295701981
49,NW149,5.995282412
50,NS150,6.002305508
51,SN151,6.301618099
52,NW152,6.008777142
53,SN153,6.306195498
54,NS154,5.996254444
55,NW155,5.990455627
56,SN156,7.499426842
57,SN157,7.497903585
58,SW058,6.595604658
59,SN159,10.49331856
60,NS160,7.496526718
61,NW161,6.90994072
62,SE164,6.295871019
63,NS165,5.995001554
64,SW062,11.9995513
65,NE063,12.90213227
66,NE066,8.093507528
67,NE067,8.089473486
68,NW168,11.69987679
69,NW169,5.995657682
70,NE070,7.203731298
71,NE072,6.592928171
72,SE173,9.903251648
73,NS171,12.60598445
74,NS175,6.001527786
75,NS176,6.002347708
76,SE179,6.302068949
77,NE074,20.71480608
78,NE077,16.80703926
79,NE078,12.30478835
80,SN180,22.49859905
81,SE181,19.50661182
82,SN184,8.696112156
