,starttime,endtime,phaseDuration
0,1709770217.2313802,1709770217.2314093,5
1,1709770222.3319657,1709770222.3320525,5
2,1709770227.4313917,1709770227.4314156,5
3,1709770232.4316492,1709770232.434095,8
4,1709770240.5362666,1709770240.5382776,8
5,1709770248.5318806,1709770248.537681,8
6,1709770256.6317978,1709770256.6357353,8
7,1709770264.7317767,1709770264.7399764,8
8,1709770272.831376,1709770272.835199,8
9,1709770280.9313629,1709770280.9351542,8
10,1709770289.0314355,1709770289.0341427,8
11,1709770297.1316094,1709770297.1375325,8
12,1709770305.1351104,1709770305.1381261,8
13,1709770313.2320907,1709770313.235114,8
14,1709770321.2380576,1709770321.2436314,8
15,1709770329.3313842,1709770329.3341784,8
16,1709770337.4313145,1709770337.435552,8
17,1709770345.531378,1709770345.5349653,8
18,1709770353.6313756,1709770353.6350393,8
19,1709770361.731892,1709770361.7359219,8
20,1709770369.8350384,1709770369.8391778,8
21,1709770377.9313648,1709770377.9372177,8
22,1709770386.031366,1709770386.0365686,8
23,1709770394.1313477,1709770394.1372054,8
24,1709770402.2312927,1709770402.2313163,5
25,1709770407.3313212,1709770407.3366268,8
26,1709770415.4342134,1709770415.436987,8
27,1709770423.5313568,1709770423.5362158,8
28,1709770431.63135,1709770431.6340427,8
29,1709770439.7312624,1709770439.7332618,8
30,1709770447.8312953,1709770447.8364959,8
31,1709770455.8335154,1709770455.8396752,8
32,1709770463.931342,1709770463.9357407,8
33,1709770472.031315,1709770472.0352113,8
34,1709770480.131292,1709770480.1338997,8
35,1709770488.2313929,1709770488.2342823,8
36,1709770496.336175,1709770496.3389614,8
37,1709770504.4313571,1709770504.4359195,8
38,1709770512.5314424,1709770512.5346372,8
39,1709770520.631371,1709770520.6354003,8
40,1709770528.7317061,1709770528.7352924,8
41,1709770536.8313205,1709770536.8361194,8
42,1709770544.9313693,1709770544.9366322,13
43,1709770557.9342072,1709770557.9371526,8
44,1709770566.0313532,1709770566.037842,8
45,1709770574.1313434,1709770574.1353018,8
46,1709770582.2313533,1709770582.2343626,8
47,1709770590.3322086,1709770590.3361144,8
48,1709770598.4314167,1709770598.4358175,8
49,1709770606.531348,1709770606.534947,8
50,1709770614.6313462,1709770614.6313767,5
51,1709770619.636474,1709770619.6397252,8
52,1709770627.8313372,1709770627.8346891,8
53,1709770635.9313974,1709770635.935354,8
54,1709770644.0314803,1709770644.03669,8
55,1709770652.1313188,1709770652.134067,8
56,1709770660.2313695,1709770660.235609,8
57,1709770668.3313165,1709770668.3343465,8
58,1709770676.4313486,1709770676.4351828,8
59,1709770684.531333,1709770684.5345757,8
60,1709770692.6313655,1709770692.6345973,8
61,1709770700.7313974,1709770700.7349045,8
62,1709770708.831276,1709770708.8313022,5
63,1709770713.9313877,1709770713.9363835,8
64,1709770721.9327765,1709770721.936353,8
65,1709770729.9336593,1709770729.9376988,8
66,1709770738.031367,1709770738.0350401,8
67,1709770746.0381842,1709770746.042447,8
68,1709770754.1313984,1709770754.1336892,8
69,1709770762.2312925,1709770762.2351668,8
70,1709770770.33136,1709770770.336311,8
71,1709770778.431358,1709770778.436777,8
72,1709770786.5313387,1709770786.5347025,8
73,1709770794.6314113,1709770794.6371574,8
74,1709770802.7325354,1709770802.7356882,8
75,1709770810.7319293,1709770810.736738,8
76,1709770818.8313508,1709770818.8313837,5
77,1709770823.93138,1709770823.9341297,8
78,1709770832.0313575,1709770832.0313838,5
79,1709770837.1314144,1709770837.1353233,8
80,1709770845.2313516,1709770845.2356603,8
81,1709770853.3313441,1709770853.3340216,8
82,1709770861.4313304,1709770861.434923,8
83,1709770869.5337799,1709770869.5371523,8
84,1709770877.5345573,1709770877.5374255,8
85,1709770885.6313708,1709770885.6358438,8
86,1709770893.731374,1709770893.7338784,8
87,1709770901.7315307,1709770901.7366838,8
88,1709770909.8313587,1709770909.8313892,5
89,1709770914.9313693,1709770914.937248,8
90,1709770923.0313745,1709770923.0340767,8
91,1709770931.1314104,1709770931.1370068,8
92,1709770939.2371304,1709770939.241388,8
93,1709770947.240157,1709770947.2443595,8
94,1709770955.2375839,1709770955.2395535,8
95,1709770963.3363998,1709770963.3383026,8
96,1709770971.5313368,1709770971.535195,8
97,1709770979.631334,1709770979.633719,8
98,1709770987.7313285,1709770987.7352276,8
99,1709770995.8313913,1709770995.8364708,8
100,1709771003.8351939,1709771003.837692,8
101,1709771011.931338,1709771011.9336941,8
102,1709771020.0318966,1709771020.0377054,8
103,1709771028.1314023,1709771028.1343858,8
104,1709771036.1363697,1709771036.1391919,8
105,1709771044.3313296,1709771044.3313613,5
106,1709771049.4313455,1709771049.4342957,8
107,1709771057.5314217,1709771057.5414133,8
108,1709771065.6313477,1709771065.6336968,8
109,1709771073.731351,1709771073.7346315,8
110,1709771081.7366505,1709771081.739438,8
111,1709771089.8313634,1709771089.8352766,8
112,1709771097.833508,1709771097.836188,8
113,1709771105.9313447,1709771105.934571,8
114,1709771114.031375,1709771114.0359578,8
115,1709771122.1341147,1709771122.137436,8
116,1709771130.267078,1709771130.2713006,8
117,1709771138.2686744,1709771138.2720704,8
118,1709771146.331403,1709771146.335353,8
119,1709771154.4313881,1709771154.43626,8
