,vehicleid,recievetime
0,EW1,1709770228.3152435
1,EW1,1709770228.3221447
2,EW1,1709770228.3320673
3,EW1,1709770228.3428023
4,EW1,1709770228.347915
5,EW1,1709770228.3548977
6,EW1,1709770228.3633108
7,EW1,1709770228.3709054
8,EW1,1709770228.3758729
9,EW1,1709770228.3808868
10,EW1,1709770228.3862123
11,EW1,1709770228.3915565
12,EW1,1709770228.3971715
13,EW1,1709770228.4058633
14,EW1,1709770228.4176133
15,EW1,1709770228.4322534
16,EW1,1709770228.4394286
17,EW1,1709770228.4490924
18,EW1,1709770228.4608808
19,EW1,1709770228.4845908
20,EW1,1709770228.4892037
21,EW1,1709770228.4968255
22,EW1,1709770228.5033138
23,EW1,1709770228.5112765
24,EW1,1709770228.516854
25,EW1,1709770228.5263104
26,EW1,1709770228.5373058
27,EW1,1709770228.5463467
28,EW1,1709770228.5528154
29,EW1,1709770228.564192
30,EW1,1709770228.5719144
31,EW1,1709770228.5971859
32,EW1,1709770228.6023061
33,EW1,1709770228.607688
34,EW1,1709770228.6137428
35,EW1,1709770228.622005
36,EW1,1709770228.634915
37,EW1,1709770228.640696
38,EW1,1709770228.6465871
39,EW1,1709770228.6623962
40,EW1,1709770228.6699452
41,EW1,1709770228.681564
42,EW1,1709770228.6951287
43,EW1,1709770228.7011263
44,EW1,1709770228.706891
45,EW1,1709770228.7139628
46,EW1,1709770228.7245328
47,EW1,1709770228.7365632
48,EW1,1709770228.7494178
49,EW1,1709770228.770715
50,EW1,1709770228.774294
51,EW1,1709770228.7801838
52,EW1,1709770228.7844896
53,EW1,1709770228.78828
54,EW1,1709770228.802155
55,EW1,1709770228.806579
56,EW1,1709770228.8131278
57,EW1,1709770228.818057
58,EW1,1709770228.8319972
59,EW1,1709770228.8428488
60,EW1,1709770228.8483186
61,EW1,1709770228.8559742
62,EW1,1709770228.8652008
63,EW1,1709770228.8736537
64,EW1,1709770228.8898458
65,EW1,1709770228.8951924
66,EW1,1709770228.9051094
67,EW1,1709770228.9118352
68,EW1,1709770228.9181137
69,EW1,1709770228.9261596
70,EW1,1709770228.937985
71,EW1,1709770228.9435816
72,EW1,1709770228.9499955
73,EW1,1709770228.954746
74,EW1,1709770228.9617274
75,EW1,1709770228.9665668
76,EW1,1709770228.972855
77,EW1,1709770228.978348
78,EW1,1709770228.9895985
79,EW1,1709770229.0033064
80,EW1,1709770229.008341
81,EW1,1709770229.0133536
82,EW1,1709770229.0188522
83,EW1,1709770229.0366375
84,EW1,1709770229.0480971
85,EW1,1709770229.0580363
86,EW1,1709770229.0699546
87,EW1,1709770229.0824049
88,EW1,1709770229.0942507
89,EW1,1709770229.118525
90,EW1,1709770229.1297987
91,EW1,1709770229.1381295
92,EW1,1709770229.1469312
93,EW1,1709770229.1549437
94,EW1,1709770229.1719246
95,EW1,1709770229.1807222
96,EW1,1709770229.188164
97,EW1,1709770229.194893
98,EW1,1709770229.2046328
99,EW1,1709770229.2154157
100,EW1,1709770229.2216008
101,EW1,1709770229.2288375
102,EW1,1709770229.2364612
103,EW1,1709770229.2483895
104,EW1,1709770229.2562525
105,EW1,1709770229.267885
106,EW1,1709770229.2814863
107,EW1,1709770229.2875502
108,EW1,1709770229.296387
109,EW1,1709770229.3115988
110,EW1,1709770229.3228698
111,EW1,1709770229.3302958
112,EW1,1709770229.3376346
113,EW1,1709770229.3428383
114,EW1,1709770229.3492143
115,EW1,1709770229.3537295
116,EW1,1709770229.3736048
117,EW1,1709770229.3820834
118,EW1,1709770229.3901396
119,EW1,1709770229.398248
120,EW1,1709770229.40876
121,EW1,1709770229.4244425
122,EW1,1709770229.436502
123,EW1,1709770229.4452329
124,EW1,1709770229.4663184
125,EW1,1709770229.4711015
126,EW1,1709770229.477264
127,EW1,1709770229.4910996
128,EW1,1709770229.5051339
129,EW1,1709770229.5118883
130,EW1,1709770229.517284
131,EW1,1709770229.5284925
132,EW1,1709770229.5411646
133,EW1,1709770229.5696259
134,EW1,1709770229.5804162
135,EW1,1709770229.6028576
136,EW1,1709770229.607664
137,EW1,1709770229.612108
138,EW1,1709770229.6312578
139,EW1,1709770229.6375751
140,EW1,1709770229.6544352
141,EW1,1709770229.6596735
142,EW1,1709770229.6689947
143,EW1,1709770229.681673
144,EW1,1709770229.6958332
145,EW1,1709770229.7112405
146,EW1,1709770229.721266
147,EW1,1709770229.7291894
148,EW1,1709770229.735264
149,EW1,1709770229.7546895
150,EW1,1709770229.7602496
151,EW1,1709770229.765259
152,EW1,1709770229.7702696
153,EW1,1709770229.7760699
154,EW1,1709770229.7817256
155,EW1,1709770229.7964404
156,EW1,1709770229.801405
157,EW1,1709770229.808318
158,EW1,1709770229.8145523
159,EW1,1709770229.8202012
160,EW1,1709770229.825175
161,EW1,1709770229.8304737
162,EW1,1709770229.8357294
163,EW1,1709770229.8405292
164,EW1,1709770229.846267
165,EW1,1709770229.8659477
166,EW1,1709770229.880472
167,EW1,1709770229.8951485
168,EW1,1709770229.9049118
169,EW1,1709770229.916667
170,EW1,1709770229.922968
171,EW1,1709770229.929698
172,EW1,1709770229.9361706
173,EW1,1709770229.9434159
174,EW1,1709770229.9501734
175,EW1,1709770229.9572814
176,EW1,1709770229.974647
177,EW1,1709770229.9839852
178,EW1,1709770229.9988127
179,EW1,1709770230.0115416
180,EW1,1709770230.019528
181,EW1,1709770230.0282226
182,EW1,1709770230.0451612
183,EW1,1709770230.0534804
184,EW1,1709770230.0600026
185,EW1,1709770230.0649352
