,vehicleid,transtime
0,NW10,1709770232.8721547
1,NW10,1709770233.1731782
2,NW10,1709770233.472286
3,NW10,1709770233.7758358
4,NW10,1709770234.0579574
5,NW10,1709770234.36044
6,NW10,1709770234.6644843
7,NW10,1709770234.9638605
8,SW01,1709770235.245056
9,NW10,1709770235.2631714
10,SW01,1709770235.558829
11,NW10,1709770235.584246
12,SW01,1709770235.849114
13,NW10,1709770235.8774233
14,SW01,1709770236.1461425
15,NW10,1709770236.1738048
16,SW01,1709770236.4644716
17,NW10,1709770236.4903708
18,SW01,1709770236.7511292
19,NW10,1709770236.7686608
20,SW01,1709770237.0452976
21,NW10,1709770237.06401
22,NW12,1709770237.069958
23,SW01,1709770237.345019
24,NW10,1709770237.3629203
25,NW12,1709770237.36667
26,SW01,1709770237.6439846
27,NW10,1709770237.6660311
28,NW12,1709770237.671203
29,SW01,1709770237.9460354
30,NW10,1709770237.968082
31,NW12,1709770237.972176
32,SW01,1709770238.2508984
33,NW10,1709770238.272872
34,NW12,1709770238.2766757
35,SW01,1709770238.5485826
36,NW10,1709770238.5727057
37,NW12,1709770238.5776582
38,SW01,1709770238.8515382
39,NW10,1709770238.8762703
40,NW12,1709770238.8812194
41,SW01,1709770239.147354
42,NW10,1709770239.1793323
43,NW12,1709770239.1852782
44,SW01,1709770239.4458616
45,NW10,1709770239.4685283
46,NW12,1709770239.4711666
47,SW01,1709770239.748229
48,NW10,1709770239.7699306
49,NW12,1709770239.7726965
50,SW01,1709770240.0508282
51,NW10,1709770240.075997
52,NW12,1709770240.0782504
53,SW01,1709770240.3549335
54,NW10,1709770240.3842692
55,NW12,1709770240.3872237
56,SW01,1709770240.6426508
57,NW10,1709770240.6659272
58,NW12,1709770240.6702087
59,SW01,1709770240.9421551
60,NW10,1709770240.9658432
61,NW12,1709770240.9693468
62,SW01,1709770241.2422538
63,NW10,1709770241.2726865
64,NW12,1709770241.2758048
65,SW01,1709770241.5425203
66,NW10,1709770241.5667887
67,NW12,1709770241.569301
68,SW01,1709770241.8453562
69,NW10,1709770241.8694768
70,NW12,1709770241.871869
71,SW01,1709770242.144074
72,NW10,1709770242.1665034
73,NW12,1709770242.1688218
74,SW01,1709770242.4470618
75,NW10,1709770242.471845
76,NW12,1709770242.4752648
77,SW01,1709770242.7426968
78,NW10,1709770242.7687066
79,NW12,1709770242.7709973
80,SW01,1709770243.0511234
81,NW10,1709770243.076198
82,NW12,1709770243.0789886
83,SW01,1709770243.3425162
84,NW10,1709770243.3684483
85,NW12,1709770243.3707514
86,SW01,1709770243.6448505
87,NW10,1709770243.6698928
88,NW12,1709770243.672442
89,SW01,1709770243.9452124
90,NW10,1709770243.9701009
91,NW12,1709770243.9725962
92,SW01,1709770244.2458022
93,NW10,1709770244.267053
94,NW12,1709770244.2700408
95,SW01,1709770244.5522883
96,NW10,1709770244.5877652
