,vehicleid,delaytime
0,NE00,6.60350275
1,SN12,11.70411968
2,SE14,6.609259605
3,NW11,12.32308364
4,SN13,10.79466105
5,SE15,6.294137478
6,SE16,6.288506746
7,SE19,6.293885231
8,NW110,5.994638681
9,NW111,5.983060598
10,SE112,6.297392368
11,SN114,6.300607204
12,SE115,6.297767162
13,SW019,50.39982557
14,NE07,75.00883579
15,NE08,74.70528793
16,SW024,37.49803734
17,NE013,64.81929684
18,SW034,8.39461422
19,NE016,58.51320386
20,SW035,8.394727945
21,NE017,58.20889354
22,NE027,6.57700038
23,NE029,6.579914331
24,SW036,6.590041399
25,SN120,73.49831748
26,SE125,58.80904841
27,SE126,58.5155313
28,NS118,76.52197146
29,NW128,43.5255487
30,SN138,11.09566402
31,SE137,12.29967356
32,NS121,69.6051867
33,NW130,41.41014814
34,SN139,11.09216666
35,NS122,68.39803123
36,NW131,40.49645782
37,SN140,7.197459698
38,NS123,68.40779424
39,NW133,36.26994371
40,NS132,5.974493265
41,NS141,5.964859247
42,NW142,5.948220491
43,NS145,6.007348537
44,SE146,6.300587416
45,SW056,22.80107737
46,NE043,74.3858819
47,NE044,68.11242461
48,NE047,58.50952816
49,NE048,55.21062446
50,NE049,6.601788282
51,SW063,6.612197876
52,NE050,6.605725765
53,NE052,6.598760128
54,NE054,6.66719985
55,NE064,6.642121792
56,NE065,6.616933823
57,SN153,62.40508056
58,SE151,68.42554259
59,NS162,30.02585649
60,NW155,48.65662861
61,SN157,44.10166049
62,SE158,39.01178956
63,SN159,39.60189056
64,SE161,33.0070281
65,NS171,6.008351088
66,SN160,35.10225487
67,SE167,23.69220686
68,NW172,5.968801498
69,SN166,6.287213802
70,SE168,6.272551298
71,SE169,6.26964879
72,SN175,6.304409742
73,NS176,6.00743413
74,SW073,75.89695668
75,NE070,80.69757318
76,NE074,73.4898715
77,SW082,35.39402652
78,NE077,63.60002089
79,SW087,23.69129086
80,NE079,58.50657654
81,NE096,6.593152523
82,SN190,39.89111114
83,SE178,81.29614019
84,NS181,62.14704919
85,NW180,77.13689613
86,NS183,59.11029983
87,SN195,21.60365272
88,SE184,56.71226811
89,NW194,22.52991748
90,NS191,36.30322027
91,SN198,8.691976786
92,SE185,49.79686666
93,NW197,16.20195818
94,SE186,49.78589129
95,SE188,49.78441453
96,NW199,8.988524914
97,SE189,49.79266381
98,NW1100,5.930467606
99,SE192,6.264807701
100,NW1101,5.956604004
101,SE193,6.268574238
102,NW1102,5.950982094
103,NW1104,6.002586126
104,NS1106,6.002705097
105,NS1107,5.997528553
106,SW0103,73.19859862
107,NE0108,51.91083503
108,NE0111,36.62265897
109,SW0105,66.89667845
110,SW0109,42.89208531
111,NE0112,32.13367748
112,SW0114,24.29299116
113,SW0117,6.590532303
114,SW0123,6.603513002
115,SN1113,54.00090599
116,SE1110,61.22482753
117,NS1119,30.03660464
118,NW1116,32.73589635
119,SN1115,37.19146466
120,SE1121,22.49999237
121,NW1120,30.01118517
122,SE1122,22.49481654
123,SN1118,32.97955346
124,NW1125,17.4012866
125,SE1128,9.896880627
126,SN1124,19.79014492
127,NW1127,11.68971992
128,SE1130,6.284390211
129,SN1126,6.28239727
130,SE1131,6.278289557
131,NW1132,6.002882004
132,SN1133,6.304372072
133,SN1135,6.298060179
134,NW1136,5.997527599
135,NS1137,6.020538092
136,SE1138,6.295620203
137,SE1139,6.301803112
138,SW0129,78.29520798
139,NE0134,70.51061296
140,NE0143,51.58750367
141,SW0144,50.10118985
142,SW0145,41.39555478
143,NE0146,39.02267551
144,SW0149,30.00080419
145,NE0152,16.50643253
146,SW0150,6.594018936
147,NE0157,6.611851931
148,SN1140,79.77574706
149,SE1141,77.37833238
150,NS1148,53.1056571
151,NW1155,27.28006721
152,SE1142,77.07434201
153,NW1156,20.39174366
154,SE1147,56.9893868
155,SE1151,44.98155212
156,SE1153,36.87507939
157,SE1154,6.276037931
158,NS1158,6.006466866
159,SN1159,6.301857948
160,NS1160,6.001859903
161,SW0162,51.89776373
162,NE0167,24.32893777
163,SW0170,10.49995112
164,SW0171,10.19576883
165,SW0172,6.592833757
166,SW0173,6.584066629
167,SW0176,6.598983288
168,SN1164,68.70172668
169,SE1163,68.70976901
170,NS1161,78.92382002
171,SE1165,68.69305325
172,NS1166,65.10316372
173,SN1169,45.0051291
174,SE1168,47.39093399
175,NS1175,21.58698773
176,SE1174,23.38659
177,SN1177,6.295811653
