,starttime,endtime,phaseDuration
0,1709769151.6077878,1709769151.6077938,25
1,1709769176.7072382,1709769176.7072444,25
2,1709769201.7096355,1709769201.7096412,25
3,1709769226.9056454,1709769226.9056516,25
4,1709769251.9119167,1709769251.9119234,25
5,1709769276.914102,1709769276.9141097,25
6,1709769302.0107458,1709769302.0107527,25
7,1709769327.1056254,1709769327.105634,25
8,1709769352.1095915,1709769352.1095972,25
9,1709769377.1127646,1709769377.1127715,25
10,1709769402.2058926,1709769402.2058983,25
11,1709769427.3079808,1709769427.3079877,25
12,1709769452.316029,1709769452.316034,25
13,1709769477.5080895,1709769477.5080967,25
14,1709769502.5064964,1709769502.5065029,25
15,1709769527.6084251,1709769527.6084304,25
16,1709769552.7056947,1709769552.7057009,25
17,1709769577.8086371,1709769577.8086448,25
18,1709769602.8160284,1709769602.8160336,25
19,1709769627.914275,1709769627.9142826,25
20,1709769653.0078895,1709769653.0078943,25
21,1709769678.1056614,1709769678.1056678,25
22,1709769703.1113183,1709769703.111324,25
23,1709769728.309467,1709769728.3094747,25
24,1709769753.4060702,1709769753.4060757,25
25,1709769778.5118437,1709769778.5118504,25
26,1709769803.5116193,1709769803.5116258,25
27,1709769828.60748,1709769828.607488,25
28,1709769853.6124237,1709769853.6124275,25
29,1709769878.715126,1709769878.7151308,25
30,1709769903.8129017,1709769903.81291,25
31,1709769928.808469,1709769928.8084762,25
32,1709769953.9066365,1709769953.9066405,25
33,1709769978.9100065,1709769978.9100137,25
34,1709770004.005651,1709770004.0056577,25
35,1709770029.0149736,1709770029.014981,25
36,1709770054.2057064,1709770054.2057834,25
