,vehicleid,recievetime
0,EW1,1709769163.546338
1,EW1,1709769163.5612826
2,EW1,1709769163.567286
3,EW1,1709769163.5749269
4,EW1,1709769163.5836923
5,EW1,1709769163.6015377
6,EW1,1709769163.606465
7,EW1,1709769163.6146793
8,EW1,1709769163.623513
9,EW1,1709769163.6358407
10,EW1,1709769163.6402898
11,EW1,1709769163.645138
12,EW1,1709769163.6512978
13,EW1,1709769163.656958
14,EW1,1709769163.6746626
15,EW1,1709769163.6861877
16,EW1,1709769163.696591
17,EW1,1709769163.7065113
18,EW1,1709769163.7215116
19,EW1,1709769163.727393
20,EW1,1709769163.7352505
21,EW1,1709769163.7472582
22,EW1,1709769163.7544265
23,EW1,1709769163.7657552
24,EW1,1709769163.7769978
25,EW1,1709769163.7869272
26,EW1,1709769163.7966666
27,EW1,1709769163.8107045
28,EW1,1709769163.822513
29,EW1,1709769163.833271
30,EW1,1709769163.8412519
31,EW1,1709769163.8467476
32,EW1,1709769163.8545253
33,EW1,1709769163.8612278
34,EW1,1709769163.8670166
35,EW1,1709769163.8736134
36,EW1,1709769163.8843355
37,EW1,1709769163.8923419
38,EW1,1709769163.9012253
39,EW1,1709769163.9146273
40,EW1,1709769163.9244676
41,EW1,1709769163.9437528
42,EW1,1709769163.9496088
43,EW1,1709769163.9547179
44,EW1,1709769163.9625998
45,EW1,1709769163.9780633
46,EW1,1709769163.984164
47,EW1,1709769163.9926643
48,EW1,1709769163.9984562
49,EW1,1709769164.0067945
50,EW1,1709769164.0129063
51,EW1,1709769164.0224655
52,EW1,1709769164.0290308
53,EW1,1709769164.0449464
54,EW1,1709769164.0526526
55,EW1,1709769164.068798
56,EW1,1709769164.0741527
57,EW1,1709769164.0801287
58,EW1,1709769164.0881674
59,EW1,1709769164.0937736
60,EW1,1709769164.1003819
61,EW1,1709769164.1158583
62,EW1,1709769164.1231256
63,EW1,1709769164.1294236
64,EW1,1709769164.1369176
65,EW1,1709769164.1450062
66,EW1,1709769164.1507816
67,EW1,1709769164.1573129
68,EW1,1709769164.1636226
69,EW1,1709769164.1759577
70,EW1,1709769164.1831684
71,EW1,1709769164.1917655
72,EW1,1709769164.2032392
73,EW1,1709769164.212398
74,EW1,1709769164.2173905
75,EW1,1709769164.22551
76,EW1,1709769164.2337062
77,EW1,1709769164.2459617
78,EW1,1709769164.2650619
79,EW1,1709769164.2710106
80,EW1,1709769164.2785904
81,EW1,1709769164.2853186
82,EW1,1709769164.2925777
83,EW1,1709769164.2968254
84,EW1,1709769164.3014157
85,EW1,1709769164.307026
86,EW1,1709769164.3214855
87,EW1,1709769164.3271773
88,EW1,1709769164.331885
89,EW1,1709769164.34123
90,EW1,1709769164.3467987
91,EW1,1709769164.3562403
92,EW1,1709769164.3649502
93,EW1,1709769164.3842843
94,EW1,1709769164.3894281
95,EW1,1709769164.3952014
96,EW1,1709769164.400754
97,EW1,1709769164.4066672
98,EW1,1709769164.4150004
99,EW1,1709769164.422002
100,EW1,1709769164.4308524
101,EW1,1709769164.4363458
102,EW1,1709769164.4431129
103,EW1,1709769164.4514859
104,EW1,1709769164.4610271
105,EW1,1709769164.4671428
106,EW1,1709769164.4742813
107,EW1,1709769164.490512
108,EW1,1709769164.4986854
109,EW1,1709769164.5060182
110,EW1,1709769164.5163195
111,EW1,1709769164.526234
112,EW1,1709769164.5326114
113,EW1,1709769164.5416937
114,EW1,1709769164.5485425
115,EW1,1709769164.5599692
116,EW1,1709769164.5669193
117,EW1,1709769164.5740414
118,EW1,1709769164.5792346
119,EW1,1709769164.5882566
120,NE00,1709769164.5917919
121,EW1,1709769164.600678
122,EW1,1709769164.6060066
123,EW1,1709769164.6119015
124,EW1,1709769164.6165543
125,EW1,1709769164.6270366
126,EW1,1709769164.634249
127,EW1,1709769164.643272
128,EW1,1709769164.6504512
129,EW1,1709769164.6575792
130,EW1,1709769164.663767
131,EW1,1709769164.6731544
132,EW1,1709769164.6830192
133,EW1,1709769164.6902754
134,EW1,1709769164.7001944
135,EW1,1709769164.7072494
136,EW1,1709769164.7142534
137,EW1,1709769164.722852
138,EW1,1709769164.7368193
139,EW1,1709769164.7421136
140,EW1,1709769164.7575727
141,EW1,1709769164.764149
142,EW1,1709769164.7751248
143,EW1,1709769164.7803671
144,EW1,1709769164.7862208
145,EW1,1709769164.7928388
146,EW1,1709769164.7991493
147,EW1,1709769164.8067353
148,EW1,1709769164.8195486
149,EW1,1709769164.8242157
150,EW1,1709769164.8287036
151,EW1,1709769164.8364348
152,EW1,1709769164.8442357
153,EW1,1709769164.8516471
154,EW1,1709769164.8600466
155,EW1,1709769164.866513
156,EW1,1709769164.8733392
157,EW1,1709769164.8840299
158,NE00,1709769164.8927147
159,EW1,1709769164.8992615
160,EW1,1709769164.9151192
161,EW1,1709769164.9221802
162,EW1,1709769164.9268749
163,EW1,1709769164.9316583
164,EW1,1709769164.9378538
165,EW1,1709769164.9467034
166,EW1,1709769164.958338
167,EW1,1709769164.9739327
168,EW1,1709769164.98084
169,EW1,1709769164.9859526
170,EW1,1709769164.9916394
171,EW1,1709769164.9970124
172,EW1,1709769165.0157468
173,EW1,1709769165.0207994
174,EW1,1709769165.028474
175,EW1,1709769165.0382855
176,EW1,1709769165.0499423
177,EW1,1709769165.0605881
178,EW1,1709769165.0709522
179,EW1,1709769165.0757546
180,EW1,1709769165.097952
181,EW1,1709769165.1086261
182,EW1,1709769165.1143985
183,EW1,1709769165.1205351
184,EW1,1709769165.125328
185,EW1,1709769165.130995
186,EW1,1709769165.1480198
187,EW1,1709769165.1529517
188,EW1,1709769165.1587467
189,EW1,1709769165.1650617
190,EW1,1709769165.1695173
191,EW1,1709769165.1807194
192,NE00,1709769165.1893556
193,EW1,1709769165.1943371
194,EW1,1709769165.199294
195,EW1,1709769165.2042243
196,EW1,1709769165.21659
197,EW1,1709769165.2324388
198,EW1,1709769165.2381825
199,EW1,1709769165.2441351
200,EW1,1709769165.2533152
201,EW1,1709769165.2593787
202,EW1,1709769165.266368
203,EW1,1709769165.2736566
204,EW1,1709769165.2843325
205,EW1,1709769165.2910287
206,EW1,1709769165.297435
207,EW1,1709769165.3040428
208,EW1,1709769165.3126745
209,EW1,1709769165.3189526
210,EW1,1709769165.327653
211,EW1,1709769165.3338284
212,EW1,1709769165.34042
213,EW1,1709769165.3471007
214,EW1,1709769165.3542566
215,EW1,1709769165.3774064
216,EW1,1709769165.3848522
217,EW1,1709769165.398238
218,EW1,1709769165.404093
219,EW1,1709769165.4150944
220,EW1,1709769165.4217682
221,EW1,1709769165.43064
222,EW1,1709769165.438663
223,EW1,1709769165.4463441
224,EW1,1709769165.4527774
225,EW1,1709769165.4587514
226,EW1,1709769165.4668543
227,EW1,1709769165.4889302
228,NE00,1709769165.493594
229,EW1,1709769165.498739
230,EW1,1709769165.504903
231,EW1,1709769165.5102246
232,EW1,1709769165.5179257
233,EW1,1709769165.5429091
234,EW1,1709769165.56136
235,EW1,1709769165.5679326
236,EW1,1709769165.5752301
237,EW1,1709769165.5818212
238,EW1,1709769165.5911982
239,EW1,1709769165.5979238
240,EW1,1709769165.6055093
241,EW1,1709769165.6124935
242,EW1,1709769165.623439
243,EW1,1709769165.6297634
244,EW1,1709769165.636911
245,EW1,1709769165.6455
246,EW1,1709769165.6523664
247,EW1,1709769165.6581485
248,EW1,1709769165.665106
249,EW1,1709769165.6896486
250,EW1,1709769165.6957626
251,EW1,1709769165.7063084
252,EW1,1709769165.7192266
253,EW1,1709769165.7265759
254,EW1,1709769165.7375493
255,EW1,1709769165.7449424
256,EW1,1709769165.763677
257,EW1,1709769165.7761822
258,SN1,1709769165.7908688
259,EW1,1709769165.8030682
260,NE00,1709769165.8077917
261,SN1,1709769165.812246
262,EW1,1709769165.8166223
263,SN1,1709769165.8242764
264,EW1,1709769165.8300529
265,SN1,1709769165.837798
266,EW1,1709769165.8451123
267,SN1,1709769165.850577
268,EW1,1709769165.855895
269,SN1,1709769165.8613634
270,EW1,1709769165.8655186
271,SN1,1709769165.870117
272,EW1,1709769165.8753643
273,SN1,1709769165.878675
274,EW1,1709769165.8830574
275,SN1,1709769165.8889883
276,EW1,1709769165.8991995
277,EW1,1709769165.9052343
278,SN1,1709769165.910272
279,EW1,1709769165.9163556
280,SN1,1709769165.9209752
281,SN1,1709769165.9298363
282,EW1,1709769165.9339924
283,EW1,1709769165.9397495
284,SN1,1709769165.9445314
285,SN1,1709769165.94916
286,EW1,1709769165.9543157
287,SN1,1709769165.961287
288,EW1,1709769165.9693155
289,SN1,1709769165.9781778
290,EW1,1709769165.982832
291,EW1,1709769165.988348
292,SN1,1709769165.9946918
293,SN1,1709769165.9995153
294,EW1,1709769166.0045958
295,SN1,1709769166.0093727
296,EW1,1709769166.0141351
297,SN1,1709769166.0193827
298,EW1,1709769166.023795
299,SN1,1709769166.0288334
300,EW1,1709769166.0345018
301,SN1,1709769166.0419285
302,EW1,1709769166.0466366
303,SN1,1709769166.0512702
304,EW1,1709769166.0559063
305,SN1,1709769166.0610304
306,EW1,1709769166.0661032
307,SN1,1709769166.0713775
308,EW1,1709769166.0762243
309,SN1,1709769166.0808594
310,EW1,1709769166.0875518
311,EW1,1709769166.0938783
312,SN1,1709769166.0999348
313,NE00,1709769166.1044104
314,EW1,1709769166.1098275
315,SN1,1709769166.1190794
316,EW1,1709769166.1241515
317,EW1,1709769166.1290703
318,SN1,1709769166.1337652
319,EW1,1709769166.1393209
320,SN1,1709769166.1428576
321,SN1,1709769166.1466255
322,EW1,1709769166.1504512
