,vehicleid,transtime
0,NE00,1709769164.5908911
1,NE00,1709769164.8939567
2,NE00,1709769165.1888602
3,NE00,1709769165.4920175
4,NE00,1709769165.793257
5,NE00,1709769166.0907605
6,NE00,1709769166.3970387
7,NE00,1709769166.6984918
8,NE00,1709769166.9949205
9,NE00,1709769167.289595
10,NE00,1709769167.5958083
11,NE00,1709769167.8898704
12,NE00,1709769168.1914012
13,NE00,1709769168.4886687
14,NE00,1709769168.7986069
15,NE00,1709769169.0935411
16,NE00,1709769169.3930078
17,NE00,1709769169.6927176
18,NW11,1709769169.7026656
19,NE00,1709769169.9897323
20,NW11,1709769169.996198
21,SN12,1709769170.2776213
22,NE00,1709769170.298213
23,NW11,1709769170.3056402
24,SN12,1709769170.580283
25,NE00,1709769170.597843
26,NW11,1709769170.6041532
27,SN12,1709769170.8940825
28,NE00,1709769170.9109635
29,NW11,1709769170.9230576
30,SN12,1709769171.1775706
31,NW11,1709769171.200565
32,SN12,1709769171.482569
33,NW11,1709769171.5067909
34,SN12,1709769171.7769535
35,NW11,1709769171.8047578
36,SN12,1709769172.0793998
37,SN13,1709769172.0861526
38,NW11,1709769172.112569
39,SN12,1709769172.3868387
40,SN13,1709769172.3912172
41,NW11,1709769172.415716
42,SN12,1709769172.683805
43,SN13,1709769172.6872222
44,NW11,1709769172.7074249
45,SN12,1709769172.9824615
46,SN13,1709769172.985631
47,NW11,1709769173.010166
48,SN12,1709769173.2754464
49,SN13,1709769173.279266
50,NW11,1709769173.3001394
51,SN12,1709769173.5824547
52,SN13,1709769173.587063
53,NW11,1709769173.6094258
54,SN12,1709769173.8776312
55,SN13,1709769173.8824525
56,NW11,1709769173.902743
57,SN12,1709769174.1759455
58,SN13,1709769174.1812627
59,NW11,1709769174.2030795
60,SN12,1709769174.4768941
61,SN13,1709769174.479569
62,NW11,1709769174.5040033
63,SN12,1709769174.7754748
64,SN13,1709769174.7786586
65,NW11,1709769174.8034785
66,SN12,1709769175.0784562
67,SN13,1709769175.08091
68,NW11,1709769175.100606
69,SN12,1709769175.3762383
70,SN13,1709769175.3785715
71,SE14,1709769175.384299
72,NW11,1709769175.4046679
73,SN12,1709769175.6817243
74,SN13,1709769175.684518
75,SE14,1709769175.6933043
76,NW11,1709769175.721104
77,SN12,1709769175.9783602
78,SN13,1709769175.9825523
79,SE14,1709769175.9895298
80,NW11,1709769176.0069196
81,SN12,1709769176.2780774
82,SN13,1709769176.281497
83,SE14,1709769176.2884464
84,NW11,1709769176.3030124
85,SN12,1709769176.5746193
86,SN13,1709769176.5772083
87,SE14,1709769176.5869954
88,NW11,1709769176.6059077
89,SN12,1709769176.8768516
90,SN13,1709769176.8801224
91,SE14,1709769176.886708
92,NW11,1709769176.9052646
93,SN12,1709769177.1782649
94,SN13,1709769177.1810932
95,SE14,1709769177.1882732
96,NW11,1709769177.2049527
97,SN12,1709769177.4789507
98,SN13,1709769177.480913
99,SE14,1709769177.4855726
100,NW11,1709769177.5063457
101,SN12,1709769177.7758434
102,SN13,1709769177.7782211
103,SE14,1709769177.7848306
104,NW11,1709769177.8031468
105,SN12,1709769178.0726087
106,SN13,1709769178.07692
107,SE14,1709769178.0839746
108,NW11,1709769178.1014214
109,SN12,1709769178.3818727
110,SN13,1709769178.3842297
111,SE14,1709769178.3904822
112,NW11,1709769178.4106014
113,SN12,1709769178.6771014
114,SN13,1709769178.68096
115,SE14,1709769178.686431
116,NW11,1709769178.7068841
117,SN12,1709769178.9754548
118,SN13,1709769178.9791079
119,SE14,1709769178.98806
120,NW11,1709769179.0060105
121,SN12,1709769179.2767835
122,SN13,1709769179.2801862
123,SE14,1709769179.2863915
124,NW11,1709769179.305732
125,SN12,1709769179.579356
126,SN13,1709769179.5830536
127,SE14,1709769179.590005
128,NW11,1709769179.6094532
129,SN12,1709769179.8740394
130,SN13,1709769179.877663
131,SE14,1709769179.885229
132,NW11,1709769179.9086356
133,SN12,1709769180.175015
134,SN13,1709769180.1785018
135,SE14,1709769180.1846983
136,NW11,1709769180.2037473
137,SN12,1709769180.4741533
138,SN13,1709769180.4777877
139,SE14,1709769180.4856298
140,SE15,1709769180.4894266
141,NW11,1709769180.5105166
142,SN12,1709769180.777419
