,vehicleid,delaytime
0,SW01,8.108435154
1,EN10,19.20636392
2,EW13,8.115090132
3,EN15,6.294893503
4,EN18,6.299664259
5,ES02,17.40237427
6,ES04,16.19574881
7,ES06,12.58797836
8,ES09,6.294230223
9,SN17,18.29256105
10,EN112,9.304074049
11,EW111,15.2996366
12,EN113,6.297160625
13,EN114,6.296383858
14,SW010,23.69288301
15,ES015,6.899295568
16,EN116,14.09057331
17,EN117,10.79424024
18,EW119,6.595211744
19,EN121,6.295818567
20,EW123,6.296505928
21,SE120,27.90701628
22,SW018,41.39245844
23,SN128,7.518679857
24,SE126,9.31867981
25,SW027,14.71159863
26,EN124,36.90162253
27,EW129,21.9137485
28,EN130,19.49013352
29,EW131,13.51219034
30,EN133,6.885121822
31,EN134,6.893957615
32,EN135,6.894628286
33,SW036,7.773575783
34,SN138,9.300793171
35,ES022,78.89591479
36,ES025,66.29754758
37,ES032,42.29506779
38,ES042,15.89447355
39,ES047,6.292097092
40,SE141,20.69945645
41,SN146,12.58831286
42,SE145,16.48412061
43,SN150,6.298443794
44,EN140,33.2958777
45,EW137,45.90550494
46,EN144,25.80220318
47,EW139,38.70591521
48,EW143,30.58250928
49,EW148,18.28138876
50,EW149,16.50543451
51,EW151,6.279482365
52,ES052,19.19716454
53,SN155,6.306147575
54,SE153,20.0990324
55,SE154,15.59273052
56,SE156,6.296555281
57,SW057,8.703321695
58,SN163,6.303499937
59,SE161,14.39115453
60,SE162,12.91458464
61,SN164,6.306660175
62,EN160,22.80147815
63,EW158,23.09613776
64,EW159,22.79949474
65,EW165,11.10274673
66,ES066,12.59982419
67,SN168,14.10322237
68,SE173,6.602078438
69,SN171,10.18996191
70,SN172,8.107504845
71,SN175,6.285285711
72,SW074,9.898568153
73,SW076,8.392339706
74,SE178,10.18689561
75,SE179,10.1654191
76,EN167,42.59218836
77,EW169,37.80291319
78,EN170,35.09844565
79,EW177,21.59967065
80,SE180,6.901803017
81,EN183,6.903560877
82,EW184,6.298020601
83,ES081,19.19440198
84,ES082,16.50432754
85,SE186,6.898558617
86,EN189,11.69791055
87,EW185,36.29324031
88,EW187,19.49341321
89,SN188,22.79935002
90,SE190,17.69534993
91,EN191,9.302994967
92,EN192,6.30185461
93,SE194,7.20739007
94,SE197,6.321346521
95,SW093,18.90517402
96,EW195,22.20741582
97,EW196,20.1023252
98,EN1103,6.593589544
99,ES098,29.99917412
100,ES099,30.01161814
101,SN1100,35.09110117
102,SN1101,35.09187675
103,SE1102,28.49578452
104,SE1104,26.07468629
105,SN1105,15.28189468
106,EN1106,9.600776911
107,EW1108,6.305582047
108,EN1110,6.295748711
109,SE1107,13.52011967
110,SW0109,19.20234656
111,SW0112,10.80252743
112,SN1115,9.598439932
113,SN1116,9.29660058
114,SN1117,8.093142509
115,SE1120,6.299090385
116,SE1121,6.296462297
117,EW1114,19.20596004
118,EN1111,29.38638258
119,EW1119,13.79923415
120,EN1113,24.60167098
121,SW0118,21.60117435
122,ES0122,21.89510775
123,SE1125,14.71374416
124,ES0132,17.09746552
125,SE1135,10.50846863
126,SE1136,8.10199976
127,SN1137,6.314272881
128,SW0128,42.00489378
129,SW0129,41.70306349
130,SW0130,40.80136752
131,SW0133,24.89829993
132,SN1141,9.289388895
133,SN1142,6.29748559
134,SE1143,6.306091309
135,EN1126,70.49951792
136,EW1123,75.30941582
137,EN1127,70.20071578
138,EW1124,74.71410966
139,EN1131,60.8964138
140,EW1139,32.39864588
141,EN1134,48.6036129
142,EW1144,16.20000196
143,EW1146,6.269764185
144,SN1145,14.39003086
145,SE1147,6.903397083
146,SN1151,6.312895298
147,ES0138,47.69985008
148,ES0140,46.19699621
