,starttime,endtime,phaseDuration
0,1709776844.7259812,1709776844.7260137,5
1,1709776849.8262513,1709776849.8262806,5
2,1709776854.9262788,1709776854.9300048,8
3,1709776862.9302356,1709776862.9334977,8
4,1709776871.02602,1709776871.030873,8
5,1709776879.1261995,1709776879.1294382,8
6,1709776887.1259863,1709776887.1301217,8
7,1709776895.131361,1709776895.1353047,8
8,1709776903.3260193,1709776903.328693,8
9,1709776911.4267893,1709776911.4268162,5
10,1709776916.525992,1709776916.5288925,8
11,1709776924.5326242,1709776924.5369232,25
12,1709776949.6280735,1709776949.631908,8
13,1709776957.7259881,1709776957.7290287,8
14,1709776965.7260094,1709776965.7285955,8
15,1709776973.8260033,1709776973.8312657,8
16,1709776981.833205,1709776981.838451,8
17,1709776990.0259645,1709776990.0284007,8
18,1709776998.1265616,1709776998.1311445,9
19,1709777007.2258658,1709777007.2291818,8
20,1709777015.2259505,1709777015.2279387,8
21,1709777023.23383,1709777023.237946,8
22,1709777031.4260275,1709777031.4330258,8
23,1709777039.5259778,1709777039.5293655,8
24,1709777047.6260016,1709777047.6299026,8
25,1709777055.629116,1709777055.6320758,8
26,1709777063.8260167,1709777063.8304627,8
27,1709777071.9266334,1709777071.932044,8
28,1709777080.025999,1709777080.0292516,8
29,1709777088.133194,1709777088.1368783,8
30,1709777096.1308622,1709777096.1348093,8
31,1709777104.2306209,1709777104.2345512,8
32,1709777112.426248,1709777112.4297283,8
33,1709777120.5259917,1709777120.5288982,8
34,1709777128.6260166,1709777128.6298387,8
35,1709777136.7260263,1709777136.7322001,8
36,1709777144.825977,1709777144.828489,8
37,1709777152.830584,1709777152.835299,8
38,1709777160.9271414,1709777160.9310546,8
39,1709777169.0275981,1709777169.030329,8
40,1709777177.1260018,1709777177.1332145,8
41,1709777185.2261174,1709777185.229647,8
42,1709777193.3259995,1709777193.3299983,12
43,1709777205.4259627,1709777205.4285166,8
44,1709777213.4385548,1709777213.4431949,8
45,1709777221.6341946,1709777221.6384323,8
46,1709777229.536734,1709777229.5404296,8
47,1709777237.7309017,1709777237.7393098,8
48,1709777245.8279495,1709777245.8324041,8
49,1709777253.9259858,1709777253.930218,8
50,1709777262.0333319,1709777262.0400488,8
51,1709777270.1259742,1709777270.1283476,8
52,1709777278.236429,1709777278.2404273,8
53,1709777286.3336759,1709777286.3394547,8
54,1709777294.4260204,1709777294.4287493,8
55,1709777302.4286826,1709777302.4314198,8
56,1709777310.5264456,1709777310.5316389,8
57,1709777318.5298467,1709777318.5341399,8
58,1709777326.6315577,1709777326.6337087,8
59,1709777334.8259869,1709777334.8296714,8
60,1709777342.9260519,1709777342.9289126,8
61,1709777350.9260304,1709777350.9298384,8
62,1709777359.0260158,1709777359.029858,8
63,1709777367.0313802,1709777367.0349162,8
64,1709777375.2265368,1709777375.2309859,8
65,1709777383.3319602,1709777383.333555,8
66,1709777391.4325511,1709777391.437361,8
67,1709777399.5260148,1709777399.5305367,8
68,1709777407.5322597,1709777407.5361798,8
69,1709777415.6310823,1709777415.635823,8
70,1709777423.8259993,1709777423.8299313,8
71,1709777431.9260013,1709777431.930183,8
72,1709777439.9326658,1709777439.9368544,8
73,1709777448.0352476,1709777448.037804,8
74,1709777456.2259684,1709777456.22806,8
75,1709777464.233531,1709777464.2380493,8
76,1709777472.3277373,1709777472.3302267,8
77,1709777480.4314575,1709777480.4385529,8
78,1709777488.5296352,1709777488.5338302,8
79,1709777496.6339614,1709777496.636583,8
80,1709777504.734122,1709777504.7366261,8
81,1709777512.8309815,1709777512.8354504,8
82,1709777520.8302248,1709777520.835949,8
83,1709777528.9259558,1709777528.928642,8
84,1709777536.9286728,1709777536.930986,8
85,1709777545.0262907,1709777545.0297527,8
86,1709777553.0321565,1709777553.0372198,8
87,1709777561.2260013,1709777561.2303257,8
88,1709777569.3259897,1709777569.3260186,5
89,1709777574.3288727,1709777574.3327734,12
90,1709777586.525986,1709777586.528469,25
91,1709777611.6321855,1709777611.6377406,8
92,1709777619.6287055,1709777619.633366,8
93,1709777627.6277943,1709777627.6334436,8
94,1709777635.6333182,1709777635.6358883,8
95,1709777643.7260225,1709777643.7303321,8
96,1709777651.8259952,1709777651.829181,8
97,1709777659.9260044,1709777659.9305305,8
98,1709777668.0259814,1709777668.0298831,8
99,1709777676.1308782,1709777676.1340024,8
100,1709777684.1259923,1709777684.1296353,8
101,1709777692.132136,1709777692.1355412,8
102,1709777700.2260695,1709777700.2306447,8
103,1709777708.2260196,1709777708.2290106,8
104,1709777716.3260224,1709777716.3301673,8
105,1709777724.4260263,1709777724.4360034,8
106,1709777732.5259967,1709777732.5278113,8
107,1709777740.6259978,1709777740.6289551,8
108,1709777748.8738034,1709777748.876906,8
109,1709777756.883693,1709777756.887,8
110,1709777764.9259975,1709777764.9281473,8
