,vehicleid,recievetime
0,EW1,1709776854.527187
1,EW1,1709776854.5323365
2,EW1,1709776854.5366154
3,EW1,1709776854.5415902
4,EW1,1709776854.552229
5,EW1,1709776854.5672884
6,EW1,1709776854.574862
7,EW1,1709776854.5850322
8,EW1,1709776854.6120982
9,EW1,1709776854.6246266
10,EW1,1709776854.6396544
11,EW1,1709776854.6520476
12,EW1,1709776854.6590817
13,EW1,1709776854.689989
14,EW1,1709776854.698292
15,EW1,1709776854.707932
16,EW1,1709776854.713547
17,EW1,1709776854.7190428
18,EW1,1709776854.7373
19,EW1,1709776854.7492995
20,EW1,1709776854.7566438
21,EW1,1709776854.7648354
22,EW1,1709776854.7786534
23,EW1,1709776854.7873929
24,EW1,1709776854.7967627
25,EW1,1709776854.8050108
26,EW1,1709776854.8127327
27,EW1,1709776854.8339295
28,EW1,1709776854.8426645
29,EW1,1709776854.8518772
30,EW1,1709776854.8801053
31,EW1,1709776854.8872163
32,EW1,1709776854.9019127
33,EW1,1709776854.9135108
34,EW1,1709776854.9204023
35,EW1,1709776854.9332414
36,EW1,1709776854.9380102
37,EW1,1709776854.9427876
38,EW1,1709776854.94763
39,EW1,1709776854.9602325
40,EW1,1709776854.9666882
41,EW1,1709776854.9731843
42,EW1,1709776854.9932091
43,EW1,1709776854.998728
44,EW1,1709776855.0062602
45,EW1,1709776855.0241942
46,EW1,1709776855.03553
47,EW1,1709776855.0461464
48,EW1,1709776855.0506563
49,EW1,1709776855.0576525
50,EW1,1709776855.0642445
51,EW1,1709776855.0712376
52,EW1,1709776855.0778832
53,EW1,1709776855.0849135
54,EW1,1709776855.0921533
55,EW1,1709776855.1019368
56,EW1,1709776855.112299
57,EW1,1709776855.1212392
58,EW1,1709776855.130754
59,EW1,1709776855.151647
60,EW1,1709776855.157881
61,EW1,1709776855.1669562
62,EW1,1709776855.171638
63,EW1,1709776855.1769867
64,EW1,1709776855.1827345
65,EW1,1709776855.2128663
66,EW1,1709776855.2213354
67,EW1,1709776855.2304368
68,EW1,1709776855.252433
69,EW1,1709776855.2659223
70,EW1,1709776855.282608
71,EW1,1709776855.2926269
72,EW1,1709776855.300265
73,EW1,1709776855.3087368
74,EW1,1709776855.3229668
75,EW1,1709776855.334539
76,EW1,1709776855.3474615
77,EW1,1709776855.360084
78,EW1,1709776855.3799634
79,EW1,1709776855.3845282
80,EW1,1709776855.3890932
81,EW1,1709776855.3967333
82,EW1,1709776855.401898
83,EW1,1709776855.4106176
84,EW1,1709776855.4285026
85,EW1,1709776855.4358225
86,EW1,1709776855.444957
87,EW1,1709776855.450162
88,EW1,1709776855.4547265
89,EW1,1709776855.4604056
90,EW1,1709776855.4654613
91,EW1,1709776855.474111
92,EW1,1709776855.487619
93,EW1,1709776855.4935493
94,EW1,1709776855.5001485
95,EW1,1709776855.5078776
96,EW1,1709776855.523013
97,EW1,1709776855.5282323
98,EW1,1709776855.5387766
99,EW1,1709776855.5458705
100,EW1,1709776855.5526452
101,EW1,1709776855.5625584
102,EW1,1709776855.5672677
103,EW1,1709776855.5871403
104,EW1,1709776855.6003697
105,EW1,1709776855.6082692
106,EW1,1709776855.61637
107,EW1,1709776855.6357908
108,EW1,1709776855.6530414
109,EW1,1709776855.6610725
110,EW1,1709776855.6683276
111,EW1,1709776855.674975
112,EW1,1709776855.6809416
113,EW1,1709776855.6909473
114,EW1,1709776855.6991882
115,EW1,1709776855.733096
116,EW1,1709776855.74068
117,EW1,1709776855.7537994
118,EW1,1709776855.7752547
119,EW1,1709776855.7805684
120,EW1,1709776855.7895014
121,EW1,1709776855.8006425
122,EW1,1709776855.8082006
123,EW1,1709776855.8160186
124,EW1,1709776855.8222628
125,EW1,1709776855.8301392
126,EW1,1709776855.8442345
127,EW1,1709776855.8495462
128,EW1,1709776855.8570175
129,EW1,1709776855.865227
130,EW1,1709776855.8714368
131,EW1,1709776855.8773792
132,EW1,1709776855.884256
133,EW1,1709776855.8955972
134,EW1,1709776855.903677
135,EW1,1709776855.911726
136,EW1,1709776855.9188392
137,EW1,1709776855.9257681
138,EW1,1709776855.931781
139,EW1,1709776855.938767
140,EW1,1709776855.9462016
141,EW1,1709776855.952567
142,EW1,1709776855.9569778
143,EW1,1709776855.9629333
144,EW1,1709776855.9732442
145,EW1,1709776855.9792097
146,EW1,1709776855.9862874
147,EW1,1709776855.9921508
148,EW1,1709776855.9985847
149,EW1,1709776856.0053809
150,EW1,1709776856.0122948
151,EW1,1709776856.0188901
152,EW1,1709776856.0408971
153,EW1,1709776856.0476503
154,EW1,1709776856.0523071
155,EW1,1709776856.0666714
156,EW1,1709776856.0862725
157,EW1,1709776856.0946305
158,EW1,1709776856.102525
159,EW1,1709776856.11135
160,EW1,1709776856.120204
161,EW1,1709776856.1297572
162,EW1,1709776856.1446743
163,EW1,1709776856.1587582
164,EW1,1709776856.1690204
165,EW1,1709776856.1820364
166,EW1,1709776856.1911047
167,EW1,1709776856.203388
168,EW1,1709776856.2140338
169,EW1,1709776856.2251337
170,EW1,1709776856.231005
171,EW1,1709776856.2382004
172,EW1,1709776856.2451553
173,EW1,1709776856.2508616
174,EW1,1709776856.2623649
175,EW1,1709776856.2676225
176,EW1,1709776856.2738085
177,EW1,1709776856.2814825
178,EW1,1709776856.289744
179,EW1,1709776856.3055518
180,EW1,1709776856.3103797
181,EW1,1709776856.3203285
182,EW1,1709776856.33066
183,EW1,1709776856.3487623
184,EW1,1709776856.3601642
185,EW1,1709776856.370056
186,EW1,1709776856.3792229
187,EW1,1709776856.3951688
188,EW1,1709776856.4029653
189,EW1,1709776856.4099164
190,EW1,1709776856.4161656
191,EW1,1709776856.4225025
192,EW1,1709776856.4284637
193,EW1,1709776856.4371688
194,EW1,1709776856.4448595
195,EW1,1709776856.4514446
196,EW1,1709776856.4578545
197,EW1,1709776856.4646423
198,EW1,1709776856.4711502
199,EW1,1709776856.4798472
200,EW1,1709776856.4945507
201,EW1,1709776856.50276
202,EW1,1709776856.5132942
203,EW1,1709776856.519112
204,EW1,1709776856.5249403
205,EW1,1709776856.5318832
206,EW1,1709776856.546385
207,EW1,1709776856.5537665
208,EW1,1709776856.5610065
209,EW1,1709776856.5670955
210,EW1,1709776856.5739436
211,EW1,1709776856.581719
212,EW1,1709776856.588571
213,EW1,1709776856.5968635
214,EW1,1709776856.6016116
215,EW1,1709776856.6072464
216,EW1,1709776856.6174958
217,EW1,1709776856.6258767
218,EW1,1709776856.6335523
219,EW1,1709776856.6545107
220,EW1,1709776856.6661334
221,EW1,1709776856.672587
222,EW1,1709776856.6879554
223,EW1,1709776856.6930401
224,EW1,1709776856.6977143
225,EW1,1709776856.7023137
226,EW1,1709776856.7096136
227,EW1,1709776856.7191918
228,EW1,1709776856.7285564
229,EW1,1709776856.7343411
230,EW1,1709776856.7582154
231,EW1,1709776856.7681062
232,EW1,1709776856.7804852
233,EW1,1709776856.784229
234,EW1,1709776856.7996154
235,EW1,1709776856.8152514
236,EW1,1709776856.8233037
237,EW1,1709776856.831559
238,EW1,1709776856.8528967
239,EW1,1709776856.8598375
240,EW1,1709776856.8660555
241,EW1,1709776856.869911
242,EW1,1709776856.8793826
243,EW1,1709776856.8902009
244,EW1,1709776856.8969474
245,EW1,1709776856.9021823
246,EW1,1709776856.9127162
247,EW1,1709776856.9198585
248,EW1,1709776856.928783
249,EW1,1709776856.9396498
250,EW1,1709776856.9477136
251,EW1,1709776856.960816
252,EW1,1709776856.969999
253,EW1,1709776856.9808438
254,EN10,1709776856.9857478
255,EW1,1709776857.004609
256,EW1,1709776857.0212004
257,EW1,1709776857.029432
258,EW1,1709776857.038483
259,EW1,1709776857.0584617
260,EW1,1709776857.0685647
261,EW1,1709776857.0778885
262,EW1,1709776857.0858996
263,EW1,1709776857.0931897
264,EW1,1709776857.1095269
265,EW1,1709776857.1168342
266,EW1,1709776857.1229603
267,EW1,1709776857.1291003
268,EW1,1709776857.1393147
269,EW1,1709776857.1616442
270,EW1,1709776857.1700623
271,EW1,1709776857.1767495
272,EW1,1709776857.1839545
273,EW1,1709776857.1893058
274,EW1,1709776857.2009163
275,EW1,1709776857.2132647
276,EW1,1709776857.226391
277,EW1,1709776857.2363782
278,EW1,1709776857.2447326
279,EW1,1709776857.2570262
280,EW1,1709776857.2669787
281,EW1,1709776857.274214
282,EW1,1709776857.2817192
283,EN10,1709776857.288811
284,EW1,1709776857.293465
285,EW1,1709776857.2999914
286,EW1,1709776857.3063564
287,EW1,1709776857.3241403
288,EW1,1709776857.3309307
289,EW1,1709776857.3457067
290,EW1,1709776857.3552651
291,EW1,1709776857.365196
292,EW1,1709776857.38919
293,EW1,1709776857.405376
294,EW1,1709776857.4173572
295,EW1,1709776857.422621
296,EW1,1709776857.428163
297,EW1,1709776857.43576
298,EW1,1709776857.4444609
299,EW1,1709776857.4549434
300,EW1,1709776857.4708543
301,EW1,1709776857.4760542
302,EW1,1709776857.4841075
303,SN1,1709776857.493432
304,EW1,1709776857.505625
305,SN1,1709776857.511261
306,EW1,1709776857.517112
307,EW1,1709776857.522986
308,SN1,1709776857.529511
309,SN1,1709776857.5347233
310,EW1,1709776857.5413713
311,SN1,1709776857.5466638
312,EW1,1709776857.5503888
313,SN1,1709776857.55671
314,EW1,1709776857.5646827
315,SN1,1709776857.5704453
316,EW1,1709776857.579335
317,EW1,1709776857.5835896
318,SN1,1709776857.5881786
319,EN10,1709776857.595617
320,SN1,1709776857.6003306
321,EW1,1709776857.6059809
322,SN1,1709776857.610583
323,SN1,1709776857.613678
324,EW1,1709776857.6178112
325,SN1,1709776857.62225
326,SN1,1709776857.6273658
327,EW1,1709776857.6318521
328,EW1,1709776857.6373782
329,SN1,1709776857.6425488
330,EW1,1709776857.653206
331,SN1,1709776857.658067
332,EW1,1709776857.6627853
333,EW1,1709776857.6677687
334,SN1,1709776857.672752
335,EW1,1709776857.6776528
336,SN1,1709776857.6825287
337,EW1,1709776857.687582
338,SN1,1709776857.6938164
339,SN1,1709776857.6983132
340,EW1,1709776857.70226
341,SN1,1709776857.7060611
342,SN1,1709776857.7111528
343,EW1,1709776857.7161195
344,EW1,1709776857.7214665
345,SN1,1709776857.7291446
346,EW1,1709776857.7341793
347,SN1,1709776857.7388756
348,EW1,1709776857.7441275
349,SN1,1709776857.7492225
350,EW1,1709776857.7538264
351,EW1,1709776857.7583644
352,SN1,1709776857.7627125
353,EW1,1709776857.767165
354,SN1,1709776857.7717226
355,EW1,1709776857.7764487
356,EW1,1709776857.7815623
357,SN1,1709776857.7866013
358,SN1,1709776857.7912922
359,EW1,1709776857.7964718
360,SN1,1709776857.8008056
361,EW1,1709776857.805655
362,SN1,1709776857.8103256
363,EW1,1709776857.81502
364,SN1,1709776857.8195171
365,EW1,1709776857.8264027
366,SN1,1709776857.8314095
367,EW1,1709776857.8366272
368,SN1,1709776857.8424706
369,EW1,1709776857.8470004
370,SN1,1709776857.8513443
371,EW1,1709776857.862084
372,SN1,1709776857.868463
373,EW1,1709776857.87338
374,SN1,1709776857.8783522
375,EW1,1709776857.8827047
376,EW1,1709776857.8886273
377,SN1,1709776857.8956873
378,EW1,1709776857.900797
379,SN1,1709776857.9055178
380,EN10,1709776857.9103398
381,SN1,1709776857.9144647
382,EW1,1709776857.9190538
383,EW1,1709776857.92564
384,SN1,1709776857.9307477
385,EW1,1709776857.9377353
386,SN1,1709776857.9466598
387,SN1,1709776857.951831
388,EW1,1709776857.9567435
389,EW1,1709776857.9618866
390,SN1,1709776857.966401
391,EW1,1709776857.9706109
392,SN1,1709776857.9772704
393,EW1,1709776857.9822311
394,SN1,1709776857.9870439
395,EW1,1709776857.9930618
396,SN1,1709776858.000374
397,SN1,1709776858.0073676
398,EW1,1709776858.0131657
399,SN1,1709776858.0180337
400,EW1,1709776858.0227575
401,EW1,1709776858.0334034
402,SN1,1709776858.0386233
403,EW1,1709776858.0440729
404,SN1,1709776858.0493603
405,EW1,1709776858.0539844
406,SN1,1709776858.0584564
407,EW1,1709776858.0626128
408,SN1,1709776858.067382
409,EW1,1709776858.0721183
410,SN1,1709776858.0771368
411,EW1,1709776858.0830925
412,SN1,1709776858.0878594
413,EW1,1709776858.0929677
414,SN1,1709776858.0978136
415,EW1,1709776858.1027727
416,SN1,1709776858.1091301
417,SN1,1709776858.1170542
418,EW1,1709776858.122467
419,SN1,1709776858.1289763
420,EW1,1709776858.1336806
421,SN1,1709776858.138149
422,EW1,1709776858.1439214
423,SN1,1709776858.148936
424,EW1,1709776858.1577427
425,EW1,1709776858.1635735
426,SN1,1709776858.1683617
427,SN1,1709776858.1737614
428,EW1,1709776858.1791303
429,EW1,1709776858.1832092
430,SN1,1709776858.1878715
431,SN1,1709776858.1923664
432,EW1,1709776858.1960096
433,EW1,1709776858.2003603
434,SN1,1709776858.2050495
435,EW1,1709776858.2099128
436,SN1,1709776858.2173378
437,SN1,1709776858.22398
438,EW1,1709776858.2311726
439,SN1,1709776858.23632
440,EW1,1709776858.2408187
441,EN10,1709776858.2452219
442,SN1,1709776858.2494981
443,EW1,1709776858.2543373
444,SN1,1709776858.2588718
445,EW1,1709776858.2640781
446,SN1,1709776858.2722642
447,EW1,1709776858.2774339
448,EW1,1709776858.2824311
449,SN1,1709776858.286878
450,SN1,1709776858.2915885
451,EW1,1709776858.2970629
452,SN1,1709776858.302259
453,EW1,1709776858.3070872
454,SN1,1709776858.31134
455,EW1,1709776858.316122
456,SN1,1709776858.321106
457,EW1,1709776858.32763
458,SN1,1709776858.336296
459,EW1,1709776858.341306
460,EW1,1709776858.3462965
461,SN1,1709776858.3510244
462,EW1,1709776858.3574927
463,SN1,1709776858.3626523
464,SN1,1709776858.3705647
465,EW1,1709776858.3767126
466,SN1,1709776858.3812678
467,EW1,1709776858.3854423
468,SN1,1709776858.3905773
469,EW1,1709776858.3956738
470,SN1,1709776858.4000528
471,EW1,1709776858.4043753
472,SN1,1709776858.4098322
473,EW1,1709776858.4154387
474,SN1,1709776858.4269927
475,EW1,1709776858.4315917
476,SN1,1709776858.4361742
477,EW1,1709776858.4419115
478,SN1,1709776858.4463685
479,EW1,1709776858.4522936
480,SN1,1709776858.4620495
481,EW1,1709776858.4695935
482,SN1,1709776858.4741254
483,EW1,1709776858.4790459
484,EW1,1709776858.483431
485,SN1,1709776858.4886165
486,SN1,1709776858.4932818
487,EW1,1709776858.4977176
488,SN1,1709776858.5026338
489,EW1,1709776858.5085092
490,EN10,1709776858.5123584
491,SN1,1709776858.5163722
492,EW1,1709776858.520679
493,EW1,1709776858.525029
494,SN1,1709776858.5291488
495,SN1,1709776858.5342207
496,EW1,1709776858.5431607
497,EW1,1709776858.5479143
498,SN1,1709776858.5523133
499,EW1,1709776858.5575097
500,SN1,1709776858.5620036
501,EW1,1709776858.5660615
502,SN1,1709776858.569504
503,SN1,1709776858.5780997
504,EW1,1709776858.5845783
505,EW1,1709776858.5896156
506,SN1,1709776858.594176
507,SN1,1709776858.5988595
508,EW1,1709776858.603132
509,EW1,1709776858.607387
510,SN1,1709776858.6146443
511,SN1,1709776858.6195133
512,EW1,1709776858.6246383
513,SN1,1709776858.6302807
514,EW1,1709776858.6350617
515,SN1,1709776858.639661
516,EW1,1709776858.6442173
517,EW1,1709776858.6482627
518,SN1,1709776858.6522305
519,SN1,1709776858.6565561
520,EW1,1709776858.6608505
521,SN1,1709776858.6654592
522,EW1,1709776858.6724162
523,SN1,1709776858.6782806
524,EW1,1709776858.6851325
525,SN1,1709776858.6942759
526,SN1,1709776858.6989198
527,EW1,1709776858.703469
528,SN1,1709776858.708972
529,EW1,1709776858.7133427
530,EW1,1709776858.717681
531,SN1,1709776858.72233
532,EW1,1709776858.727537
533,SN1,1709776858.7321014
534,EW1,1709776858.7365556
535,SN1,1709776858.741227
536,EW1,1709776858.7490878
537,SN1,1709776858.756518
538,EW1,1709776858.7613244
539,SN1,1709776858.7663333
540,EW1,1709776858.7705235
541,SN1,1709776858.775264
542,EW1,1709776858.7798424
543,EW1,1709776858.7843323
544,SN1,1709776858.7884107
545,EW1,1709776858.7931285
546,SN1,1709776858.7976582
547,EW1,1709776858.8027883
548,SN1,1709776858.8081777
549,EW1,1709776858.8133998
550,SN1,1709776858.8196716
551,SN1,1709776858.8248048
