,vehicleid,transtime
0,EN10,1709776856.9854422
1,EN10,1709776857.285887
2,EN10,1709776857.59525
3,EN10,1709776857.884175
4,EN10,1709776858.186051
5,EN10,1709776858.4850094
6,EN10,1709776858.784656
7,EN10,1709776859.0859938
8,EN10,1709776859.391608
9,EN10,1709776859.6879187
10,EN10,1709776859.999746
11,EN10,1709776860.2910016
12,SW01,1709776860.3029268
13,EN10,1709776860.5909386
14,SW01,1709776860.6030543
15,EN10,1709776860.8977427
16,SW01,1709776860.911372
17,EN10,1709776861.1839905
18,SW01,1709776861.19988
19,EN10,1709776861.4859223
20,SW01,1709776861.5095026
21,EN10,1709776861.7881227
22,SW01,1709776861.8106632
23,EN10,1709776862.0981112
24,SW01,1709776862.1125114
25,EN10,1709776862.3927138
26,SW01,1709776862.413354
27,EN10,1709776862.7110083
28,SW01,1709776862.7256534
29,EN10,1709776862.9873772
30,SW01,1709776863.0049064
31,EN10,1709776863.2887952
32,SW01,1709776863.3086913
33,EN10,1709776863.591172
34,SW01,1709776863.6108222
35,EN10,1709776863.893657
36,SW01,1709776863.906044
37,EN10,1709776864.1824522
38,SW01,1709776864.1961315
39,EN10,1709776864.48724
40,SW01,1709776864.5039303
41,EN10,1709776864.7890532
42,SW01,1709776864.8022943
43,EN10,1709776865.0846114
44,SW01,1709776865.1047406
45,EN10,1709776865.3855827
46,SW01,1709776865.3997848
47,EN10,1709776865.6986654
48,SW01,1709776865.7190893
49,EN10,1709776865.9880576
50,SW01,1709776866.010165
51,EN10,1709776866.2876391
52,SW01,1709776866.3054585
53,EN10,1709776866.588966
54,SW01,1709776866.6093574
55,ES02,1709776866.8793168
56,EN10,1709776866.891367
57,SW01,1709776866.9091353
58,ES02,1709776867.1797862
59,EN10,1709776867.1899502
60,SW01,1709776867.207395
61,ES02,1709776867.4792786
62,EN10,1709776867.494264
63,SW01,1709776867.5109992
64,ES02,1709776867.7784827
65,EN10,1709776867.7857685
66,SW01,1709776867.7987711
67,ES02,1709776868.078312
68,EN10,1709776868.084074
69,EW13,1709776868.0917733
70,SW01,1709776868.0966692
71,ES02,1709776868.387533
72,EN10,1709776868.3955548
73,EW13,1709776868.4049435
74,ES02,1709776868.6788242
75,EN10,1709776868.6877418
76,EW13,1709776868.6994557
77,ES02,1709776868.980558
78,ES04,1709776868.9870226
79,EN10,1709776868.9951413
80,EW13,1709776869.0144446
81,ES02,1709776869.2821512
82,ES04,1709776869.2873733
83,EN10,1709776869.2946277
84,EW13,1709776869.3070977
85,ES02,1709776869.5889387
86,ES04,1709776869.5943704
87,EN10,1709776869.603058
88,EW13,1709776869.6146038
89,ES02,1709776869.8797712
