,vehicleid,delaytime
0,SN12,6.298518181
1,SE14,6.302751064
2,SN19,6.296766996
3,SN111,6.301071405
4,ES07,22.19976282
5,ES08,21.59705997
6,EN13,53.39777851
7,EW10,56.10229087
8,EN112,29.70186615
9,EW110,42.91293979
10,EN117,6.296571016
11,EW118,6.300093174
12,SW01,79.5022819
13,SW05,77.98604059
14,SW06,73.48961592
15,SW014,47.98965883
16,SW015,6.593590498
17,SW020,6.583199024
18,SN121,37.49503803
19,SE113,75.5825038
20,SN122,29.09225941
21,SE116,50.69115567
22,SE119,42.27850199
23,SE123,29.68072557
24,SE124,6.288126469
25,SE125,6.294517994
26,SN128,6.307364941
27,SE129,6.304543972
28,SE131,6.29528451
29,SN133,6.307590961
30,ES027,21.89957166
31,ES038,6.299718142
32,ES040,6.297355175
33,EN130,42.60652328
34,EW126,66.62522721
35,EN132,39.30411172
36,EW135,32.12078547
37,EN141,17.09634495
38,EW137,28.79681301
39,EW143,13.19318652
40,EW144,13.19505978
41,EN148,6.29412055
42,EN149,6.275785446
43,EN151,6.298828125
44,EN153,6.287879229
45,EW152,6.277606964
46,SW034,57.90588737
47,SW039,45.88669229
48,SW042,40.7879715
49,SW046,31.47189689
50,SW054,6.577174902
51,SW056,6.586674452
52,SW057,6.597135305
53,SW058,6.587592602
54,SN136,79.79428768
55,SE147,52.17492342
56,SE150,44.97532058
57,SE155,30.86998463
58,SE165,6.312001944
59,SN167,6.300570965
60,ES045,81.30575085
61,ES063,22.49827433
62,EN159,59.99904442
63,EW162,46.20597816
64,EN160,58.20233464
65,EW173,15.0079782
66,EN161,55.18354964
67,EN164,48.59486055
68,EN170,28.7893219
69,SW066,61.2058413
70,SW071,50.09019446
71,SW079,16.49966264
72,SW080,14.7013154
73,SN168,80.10386181
74,SE172,65.40916705
75,SN169,77.70349884
76,SE175,61.80997801
77,SN174,65.09029055
78,SE177,48.60695291
79,SN185,21.28969073
80,SE178,47.09779263
81,SE189,6.308530092
82,SN192,6.299242973
83,ES076,74.99817324
84,ES081,60.29850578
85,ES083,56.99217844
86,ES084,54.89571905
