,starttime,endtime,phaseDuration
0,1709801224.465767,1709801224.4657905,25
1,1709801249.5709584,1709801249.5709634,25
2,1709801274.5690873,1709801274.5690923,25
3,1709801299.6700785,1709801299.670092,25
4,1709801324.865709,1709801324.8657146,25
5,1709801349.965755,1709801349.9657614,25
6,1709801374.9681866,1709801374.9681923,25
7,1709801400.071011,1709801400.0710175,25
8,1709801425.2680316,1709801425.2680364,25
9,1709801450.3657475,1709801450.365754,25
10,1709801475.3700035,1709801475.3700085,25
11,1709801500.5684118,1709801500.568418,25
12,1709801525.6657536,1709801525.6657596,25
13,1709801550.767387,1709801550.7674074,25
14,1709801575.8689294,1709801575.8689332,25
15,1709801600.96887,1709801600.9688761,25
16,1709801626.06837,1709801626.0683749,25
17,1709801651.17384,1709801651.1738462,25
18,1709801676.1676555,1709801676.167661,25
19,1709801701.2683024,1709801701.2683089,25
20,1709801726.2659204,1709801726.2659256,25
21,1709801751.375032,1709801751.3750377,25
22,1709801776.4675763,1709801776.4675817,25
23,1709801801.5733662,1709801801.573372,25
24,1709801826.6657453,1709801826.6657505,25
25,1709801851.671027,1709801851.671031,25
26,1709801876.7674427,1709801876.7674477,25
27,1709801901.8657277,1709801901.865735,25
28,1709801926.8809016,1709801926.8809066,25
29,1709801952.0690327,1709801952.06904,25
30,1709801977.1709442,1709801977.170948,25
31,1709802002.2759218,1709802002.2759285,25
32,1709802027.3691192,1709802027.369125,25
33,1709802052.3780496,1709802052.3780565,25
34,1709802077.465698,1709802077.465702,25
35,1709802102.4747224,1709802102.4747288,25
36,1709802127.7664227,1709802127.7664285,25
37,1709802152.792268,1709802152.7922754,25
38,1709802177.9657865,1709802177.9657917,25
