,vehicleid,recievetime
0,EW1,1709801237.4430785
1,EW1,1709801237.491407
2,EW1,1709801237.4958627
3,EW1,1709801237.4993973
4,EW1,1709801237.5034723
5,EW1,1709801237.5085125
6,EW1,1709801237.5132327
7,EW1,1709801237.5174556
8,EW1,1709801237.5215714
9,EW1,1709801237.5259645
10,EW1,1709801237.5301528
11,EW1,1709801237.5344296
12,EW1,1709801237.5405712
13,EW1,1709801237.5447783
14,EW1,1709801237.5490792
15,EW1,1709801237.5532022
16,EW1,1709801237.56765
17,EW1,1709801237.571968
18,EW1,1709801237.576535
19,EW1,1709801237.5807354
20,EW1,1709801237.5882766
21,EW1,1709801237.6118674
22,EW1,1709801237.6184874
23,EW1,1709801237.6339674
24,EW1,1709801237.644804
25,EW1,1709801237.659646
26,EW1,1709801237.664394
27,EW1,1709801237.6711946
28,EW1,1709801237.6755798
29,EW1,1709801237.6795697
30,EW1,1709801237.683971
31,EW1,1709801237.6887538
32,EW1,1709801237.6928513
33,EW1,1709801237.6988964
34,EW1,1709801237.7115042
35,EW1,1709801237.7222648
36,EW1,1709801237.7278523
37,EW1,1709801237.7334118
38,EW1,1709801237.7490017
39,EW1,1709801237.7564633
40,EW1,1709801237.7629814
41,EW1,1709801237.779906
42,EW1,1709801237.7856028
43,EW1,1709801237.793702
44,EW1,1709801237.7993035
45,EW1,1709801237.8173537
46,EW1,1709801237.8286054
47,EW1,1709801237.845038
48,EW1,1709801237.8499076
49,EW1,1709801237.8562207
50,EW1,1709801237.8619857
51,EW1,1709801237.868032
52,EW1,1709801237.8747056
53,EW1,1709801237.8811255
54,EW1,1709801237.8853416
55,EW1,1709801237.890127
56,EW1,1709801237.894151
57,EW1,1709801237.9012964
58,EW1,1709801237.9078867
59,EW1,1709801237.9151888
60,EW1,1709801237.9206307
61,EW1,1709801237.926561
62,EW1,1709801237.932279
63,EW1,1709801237.937793
64,EW1,1709801237.9474974
65,EW1,1709801237.953654
66,EW1,1709801237.957835
67,EW1,1709801237.9626245
68,EW1,1709801237.9675348
69,EW1,1709801237.975513
70,EW1,1709801237.9821134
71,EW1,1709801237.9858367
72,EW1,1709801237.9902892
73,EW1,1709801237.9943988
74,EW1,1709801237.9984486
75,EW1,1709801238.009784
76,EW1,1709801238.015515
77,EW1,1709801238.0324
78,EW1,1709801238.0375183
79,EW1,1709801238.0422711
80,EW1,1709801238.0483577
81,EW1,1709801238.053293
82,EW1,1709801238.0573246
83,EW1,1709801238.0610921
84,EW1,1709801238.0719614
85,EW1,1709801238.0764287
86,EW1,1709801238.082434
87,EW1,1709801238.0868483
88,EW1,1709801238.0909748
89,EW1,1709801238.094959
90,EW1,1709801238.099051
91,EW1,1709801238.1072173
92,EW1,1709801238.1124487
93,EW1,1709801238.119224
94,EW1,1709801238.1236532
95,EW1,1709801238.1321344
96,EW1,1709801238.1513183
97,EW1,1709801238.1557846
98,EW1,1709801238.1593683
99,EW1,1709801238.1622016
100,EW1,1709801238.165175
101,EW1,1709801238.1713464
102,EW1,1709801238.1764402
103,EW1,1709801238.1931179
104,EW1,1709801238.1974263
105,EW1,1709801238.2015748
106,EW1,1709801238.2065294
