,vehicleid,transtime
0,EW10,1709801248.8748448
1,EW10,1709801249.1724467
2,EW10,1709801249.473086
3,EW10,1709801249.7716985
4,EW10,1709801250.0762084
5,EW10,1709801250.3704262
6,EW10,1709801250.6734939
7,EW10,1709801250.9727757
8,SW01,1709801250.9784906
9,EW10,1709801251.2864199
10,SW01,1709801251.292995
11,EN13,1709801251.5702791
12,EW10,1709801251.5773964
13,SW01,1709801251.58365
14,SN12,1709801251.5923886
15,EN13,1709801251.8670173
16,EW10,1709801251.8729382
17,SW01,1709801251.8802497
18,SN12,1709801251.8883715
19,EN13,1709801252.167111
20,EW10,1709801252.172044
21,SW01,1709801252.1800795
22,SN12,1709801252.1879451
23,SE14,1709801252.1932635
24,EN13,1709801252.4682426
25,EW10,1709801252.474987
26,SW01,1709801252.4870434
27,SN12,1709801252.495109
28,SE14,1709801252.5019968
29,EN13,1709801252.770035
30,EW10,1709801252.7758753
31,SW01,1709801252.7825873
32,SN12,1709801252.7899125
33,SE14,1709801252.7961423
34,EN13,1709801253.070293
35,EW10,1709801253.0784755
36,SW01,1709801253.085697
37,SN12,1709801253.0942934
38,SE14,1709801253.1006074
39,EN13,1709801253.3693254
40,EW10,1709801253.3752434
41,SW01,1709801253.3835568
42,SN12,1709801253.392352
43,SE14,1709801253.3989167
44,EN13,1709801253.6684988
45,EW10,1709801253.674646
46,SW01,1709801253.6818297
47,SW05,1709801253.6851609
48,SN12,1709801253.6926396
49,SE14,1709801253.7012186
50,EN13,1709801253.9734657
51,EW10,1709801253.9788573
52,SW01,1709801253.9858067
53,SW05,1709801253.9887273
54,SN12,1709801253.995047
55,SE14,1709801254.0022795
56,EN13,1709801254.2699265
57,EW10,1709801254.2751946
58,SW01,1709801254.28073
59,SW05,1709801254.2837644
60,SN12,1709801254.2903624
61,SE14,1709801254.2983992
62,EN13,1709801254.5678556
63,EW10,1709801254.5720181
64,SW01,1709801254.5770872
65,SW05,1709801254.58
66,SN12,1709801254.5847945
67,SE14,1709801254.590603
68,EN13,1709801254.8725417
69,EW10,1709801254.877304
70,SW01,1709801254.883351
