,vehicleid,delaytime,,
0,SE11,6.311474562,,
1,WN03,6.631022215,,
2,ES06,6.301033974,,
3,SW00,19.5079987,,
4,SW017,6.591118574,,
5,SW019,6.584246635,,
6,NE021,6.590243578,,
7,SW020,6.576647043,,
8,NE023,6.597215414,,
9,NE029,6.593976498,,
10,EW110,30.90613961,,
11,WE12,37.83273506,,
12,WS18,32.72588539,,
13,WS19,32.73834062,,
14,WE17,33.90957832,,
15,WE113,32.11342525,,
16,WE131,12.29047537,,
17,WS140,6.637444735,,
18,SN111,42.30332088,,
19,SE15,43.82856154,,
20,NS14,44.72840333,,
21,NW114,39.64420485,,
22,SN112,42.00297189,,
23,NS126,24.61168838,,
24,NW127,24.30545783,,
25,SN116,37.19084907,,
26,SE146,6.318538904,,
27,NS139,10.5247283,,
28,NW135,13.54247332,,
29,SN124,29.99152231,,
30,NW145,6.616951704,,
31,NS147,5.981595993,,
32,SN128,6.303545713,,
33,SN142,6.274903297,,
34,NS150,5.98570323,,
35,ES015,46.79738069,,
36,ES018,44.10952806,,
37,WN025,37.5289259,,
38,ES022,39.90532923,,
39,WN030,32.68289876,,
40,ES051,12.60452175,,
41,WN032,29.42790961,,
42,WN033,29.42745185,,
43,WN037,24.93289399,,
44,WN038,24.93639374,,
45,WN043,6.563260794,,
46,WN048,6.576163769,,
47,WN053,6.566504717,,
48,SW052,17.7200017,,
49,NE034,34.8270402,,
50,NE036,34.22272301,,
51,NE056,16.82374835,,
52,EN141,34.50635076,,
53,EW154,23.41238952,,
54,WE144,34.52073097,,
55,WS149,32.14482903,,
56,EN158,20.71164346,,
57,EW159,19.21247435,,
58,EW160,19.18066263,,
59,WE166,16.18938732,,
60,WS162,19.16103697,,
61,EN161,19.78258324,,
62,WE167,16.19196177,,
63,EW164,16.50844717,,
64,WS173,12.62129426,,
65,WE171,13.2134614,,
66,EW168,15.59961557,,
67,WS175,10.78504729,,
68,WS177,10.7702601,,
69,EW179,6.299990416,,
70,SN157,28.49052882,,
71,SE163,23.40517879,,
72,NS174,15.29450679,,
73,NW155,28.19737363,,
74,SN165,22.20537043,,
75,SE169,19.80643988,,
76,NS176,13.51069403,,
77,NW172,16.51507807,,
78,NS178,13.50946403,,
79,SE170,18.2917695,,
80,NW182,7.196784496,,
81,SE180,11.08006358,,
82,SE185,6.287156582,,
83,SN190,6.291733503,,
84,SE192,6.294477224,,
85,SN195,6.297936201,,
86,NS196,5.992347002,,
87,ES081,22.19352722,,
88,WN088,18.58678246,,
89,ES087,18.59354615,,
90,WN094,15.5505178,,
91,ES093,15.28914738,,
92,WN0104,7.191802979,,
93,ES099,8.994151354,,
94,EN183,39.29344153,,
95,EW1102,24.59754729,,
96,WE1112,8.0983181,,
97,WS197,31.48108196,,
98,EN186,37.78063917,,
99,EW1109,14.99867463,,
100,WS1100,27.59607029,,
101,EN1105,21.58464503,,
102,EN1107,19.18547773,,
103,EN1115,8.99532795,,
104,EN1117,6.287485838,,
105,EN1120,6.280569553,,
106,EW1123,6.292897224,,
107,WE1127,6.624801159,,
108,EN1130,6.289102077,,
109,WE1134,6.610523224,,
110,WE1135,6.619378805,,
111,EN1136,6.312002897,,
112,SW084,63.88600421,,
113,NE089,61.22285461,,
114,NE0103,50.7309835,,
115,SW091,59.69375229,,
116,SW098,53.69050145,,
117,NE0122,27.63808465,,
118,SW0106,45.87841511,,
119,NE0124,27.04121947,,
120,SW0114,6.588926554,,
121,SW0116,6.596987486,,
122,SW0128,6.580557823,,
123,SW0129,6.574679136,,
124,SW0146,6.587913275,,
125,EN1147,10.19958973,,
126,EW1151,8.702306032,,
127,WE1148,10.48833942,,
128,WS1141,15.0095737,,
129,WE1152,10.46624923,,
130,WS1144,14.38588977,,
131,EW1160,6.290511131,,
132,ES0126,38.10374641,,
133,WN0119,49.25152469,,
134,ES0145,18.88785815,,
135,WN0132,33.35021663,,
136,ES0154,15.29128337,,
137,WN0138,27.04094601,,
138,ES0159,11.0916841,,
139,WN0143,24.92387342,,
140,ES0161,6.290309191,,
141,WN0167,6.601870298,,
142,WN0181,6.588511705,,
143,ES0182,6.295447588,,
144,SN1111,63.00456667,,
145,SE1101,79.8021636,,
146,NS1113,60.93588758,,
147,NW1108,70.85945129,,
148,NS1118,60.35782981,,
149,NW1110,68.18125677,,
150,SN1121,57.89632559,,
151,SE1125,51.3345964,,
152,NS1142,33.302984,,
153,NW1131,44.46820474,,
154,SN1139,35.10730481,,
155,SE1140,34.49939895,,
156,NS1149,29.41307616,,
157,NW1133,42.37441468,,
158,SN1169,20.10533786,,
159,SE1155,25.8062079,,
160,SN1172,20.09677482,,
161,NS1158,5.989513397,,
162,NW1137,6.010067463,,
163,SE1163,6.269765854,,
164,SE1166,6.28757143,,
165,NS1165,5.984917402,,
166,NW1150,5.981823206,,
167,SE1179,6.268610716,,
168,NS1170,5.963685751,,
169,NW1156,5.964338541,,
170,SE1190,6.274578094,,
171,NS1180,5.958712101,,
172,NW1175,5.950863838,,
173,NS1188,5.972824097,,
174,NW1187,5.969170094,,
175,NS1192,5.958981752,,
176,NS1194,5.952731133,,
177,SN1196,6.28703022,,
178,NS1197,5.980104923,,
179,NS1198,5.995044708,,
