,starttime,endtime,phaseDuration
0,1709836747.976565,1709836748.1632054,11
1,1709836759.0746775,1709836759.092552,7
2,1709836766.0756285,1709836766.0953689,11
3,1709836777.177975,1709836777.1987083,12
4,1709836789.271573,1709836789.294139,10
5,1709836799.3750002,1709836799.39612,11
6,1709836810.386195,1709836810.4035609,7
7,1709836817.5770192,1709836817.5969105,7
8,1709836824.678997,1709836824.6991725,7
9,1709836831.5772793,1709836831.5946531,7
10,1709836838.771625,1709836838.7904983,7
11,1709836845.8787763,1709836845.8953156,12
12,1709836857.8746147,1709836857.8964887,7
13,1709836864.973741,1709836864.9934201,12
14,1709836876.972072,1709836876.9925556,7
15,1709836883.9786906,1709836883.9977407,10
16,1709836894.0778399,1709836894.0964968,7
17,1709836901.0811946,1709836901.0997877,12
18,1709836913.181422,1709836913.2188108,7
19,1709836920.2734582,1709836920.2969048,7
20,1709836927.3756058,1709836927.3974972,12
21,1709836939.476388,1709836939.4969635,7
22,1709836946.4715056,1709836946.4899685,11
23,1709836957.5713334,1709836957.59065,7
24,1709836964.674868,1709836964.6886873,12
25,1709836976.7716465,1709836976.7892382,10
26,1709836986.8773313,1709836986.8969057,12
27,1709836998.9784305,1709836998.9978213,12
28,1709837011.0748837,1709837011.092216,12
29,1709837023.0761824,1709837023.096393,12
30,1709837035.177249,1709837035.198567,7
31,1709837042.2747643,1709837042.2939723,7
32,1709837049.2778606,1709837049.2931159,7
33,1709837056.3780067,1709837056.3970027,7
34,1709837063.4847903,1709837063.5073564,7
35,1709837070.6799936,1709837070.6957722,12
36,1709837082.776801,1709837082.797484,7
37,1709837089.7749681,1709837089.7915552,7
38,1709837096.8743958,1709837096.8967416,7
39,1709837103.8775156,1709837103.8993676,7
40,1709837110.9776952,1709837110.9944901,7
41,1709837117.977891,1709837117.997188,7
42,1709837125.0783699,1709837125.0979457,7
43,1709837132.1755466,1709837132.1940186,7
44,1709837139.2769878,1709837139.2934978,7
45,1709837146.3734362,1709837146.393728,7
46,1709837153.3800821,1709837153.4088724,7
47,1709837160.474264,1709837160.4882884,7
48,1709837167.573736,1709837167.5953133,12
49,1709837179.6766376,1709837179.6954584,12
50,1709837191.7792208,1709837191.7971978,7
51,1709837198.7795835,1709837198.7950964,7
52,1709837205.8751278,1709837205.8947384,7
53,1709837212.974681,1709837212.9914982,7
54,1709837220.0734303,1709837220.0968328,7
55,1709837227.0792623,1709837227.096305,7
56,1709837234.176488,1709837234.1970544,7
57,1709837241.2735534,1709837241.2977984,7
58,1709837248.2771766,1709837248.290032,8
59,1709837256.3773785,1709837256.3955834,7
60,1709837263.4746811,1709837263.4943995,12
61,1709837275.476139,1709837275.4957523,7
62,1709837282.5774484,1709837282.6026342,12
63,1709837294.5804858,1709837294.59847,7
64,1709837301.6721253,1709837301.6908085,12
65,1709837313.7749672,1709837313.7933862,7
66,1709837320.7740474,1709837320.795408,7
67,1709837327.7802033,1709837327.8014867,12
68,1709837339.7802532,1709837339.8061984,9
69,1709837348.8765347,1709837348.8997886,7
70,1709837355.8812864,1709837355.9003835,12
71,1709837368.0730932,1709837368.0920932,12
72,1709837380.0775406,1709837380.097379,7
73,1709837387.1784837,1709837387.1978633,12
74,1709837399.2751763,1709837399.295183,7
75,1709837406.2719896,1709837406.2930484,12
76,1709837418.2792594,1709837418.2994833,12
77,1709837430.3730237,1709837430.392598,7
78,1709837437.3741274,1709837437.3917642,7
79,1709837444.4720309,1709837444.4898157,7
80,1709837451.571614,1709837451.5883768,7
81,1709837458.6833136,1709837458.704913,7
82,1709837465.772047,1709837465.792777,7
83,1709837472.7908235,1709837472.81535,12
84,1709837484.7832005,1709837484.8043404,12
85,1709837496.879022,1709837496.896063,7
86,1709837503.9753697,1709837503.9930487,7
87,1709837510.980028,1709837511.0011835,12
88,1709837523.0792103,1709837523.0988958,7
89,1709837530.0986662,1709837530.1189673,7
90,1709837537.1757178,1709837537.206482,12
91,1709837549.377786,1709837549.3981168,7
92,1709837556.380596,1709837556.4035497,7
93,1709837563.48015,1709837563.4964807,7
94,1709837570.4717956,1709837570.4921932,7
95,1709837577.5723927,1709837577.592698,7
96,1709837584.6811314,1709837584.6868088,7
97,1709837591.6791146,1709837591.6972969,7
98,1709837598.683437,1709837598.6901252,7
99,1709837605.7855616,1709837605.7903304,7
100,1709837612.877591,1709837612.882342,7
101,1709837619.891146,1709837619.9013493,7
102,1709837627.0808454,1709837627.0862455,7
103,1709837634.1787229,1709837634.185057,7
104,1709837641.1724565,1709837641.1909423,7
105,1709837648.1725502,1709837648.1772864,7
106,1709837655.2715156,1709837655.2759838,7
107,1709837662.3718028,1709837662.3790438,7
108,1709837669.4715881,1709837669.4765146,7
109,1709837676.5715125,1709837676.5759313,7
