,vehicleid,transtime
0,SW00,1709836744.9484856
1,WE12,1709836744.976904
2,SW00,1709836745.2465491
3,WE12,1709836745.2752743
4,SW00,1709836745.5470886
5,SE11,1709836745.5601354
6,WE12,1709836745.5803587
7,SW00,1709836745.8590176
8,SE11,1709836745.870062
9,WE12,1709836745.886616
10,SW00,1709836746.144519
11,SE11,1709836746.1546378
12,WE12,1709836746.1690588
13,SW00,1709836746.4489412
14,SE11,1709836746.4605174
15,WE12,1709836746.4771016
16,SW00,1709836746.7471282
17,SE11,1709836746.7604802
18,WE12,1709836746.779043
19,SW00,1709836747.0458744
20,SE11,1709836747.0618773
21,WE12,1709836747.0787587
22,WN03,1709836747.0926595
23,SW00,1709836747.3509943
24,SE11,1709836747.3682594
25,WE12,1709836747.389794
26,WN03,1709836747.4030924
27,SW00,1709836747.6464338
28,SE11,1709836747.6591163
29,WE12,1709836747.6757832
30,WN03,1709836747.6916726
31,SW00,1709836747.9485197
32,SE11,1709836747.9616868
33,WE12,1709836747.9811358
34,WN03,1709836747.9976645
35,SW00,1709836748.247631
36,SE11,1709836748.2623985
37,WE12,1709836748.2856562
38,WN03,1709836748.2970319
39,SW00,1709836748.5439653
40,SE11,1709836748.5591855
41,WE12,1709836748.5766857
42,WN03,1709836748.589489
43,SW00,1709836748.8470688
44,SE11,1709836748.8591197
45,WE12,1709836748.87249
46,WN03,1709836748.8861349
47,SW00,1709836749.1549766
48,SE11,1709836749.1686847
49,WE12,1709836749.187438
50,WN03,1709836749.2023375
51,SW00,1709836749.443191
52,SE11,1709836749.456606
53,WE12,1709836749.4720404
54,WN03,1709836749.4900224
55,SW00,1709836749.75546
56,SE11,1709836749.769124
57,NS14,1709836749.7767632
58,WE12,1709836749.7902143
59,WN03,1709836749.8043811
60,SW00,1709836750.0498588
61,SE11,1709836750.072848
62,NS14,1709836750.0812545
63,WE12,1709836750.092684
64,WE17,1709836750.0961514
65,WS18,1709836750.103132
66,WN03,1709836750.1110704
67,ES06,1709836750.3317463
68,SW00,1709836750.3461282
69,SE11,1709836750.3603535
70,NS14,1709836750.3680415
71,WE12,1709836750.381809
72,WE17,1709836750.3861835
73,WS18,1709836750.3937938
74,WS19,1709836750.3967586
75,WN03,1709836750.4024773
76,ES06,1709836750.6339774
77,SW00,1709836750.6494062
78,SE11,1709836750.6643658
79,SE15,1709836750.6674838
80,NS14,1709836750.6737685
81,WE12,1709836750.6890028
82,WE17,1709836750.6926353
83,WS18,1709836750.6985488
84,WS19,1709836750.701313
85,WN03,1709836750.7069962
86,ES06,1709836750.9345644
87,SW00,1709836750.9498634
88,SE11,1709836750.9656024
89,SE15,1709836750.9694047
90,NS14,1709836750.9757473
91,WE12,1709836750.9868147
92,WE17,1709836750.9902062
93,WS18,1709836750.9978983
94,WS19,1709836751.0023732
95,WN03,1709836751.0103106
96,ES06,1709836751.2349496
97,SW00,1709836751.2521796
98,SE11,1709836751.270132
99,SE15,1709836751.2737024
100,NS14,1709836751.2801712
101,WE12,1709836751.29332
102,WE17,1709836751.2959707
103,WS18,1709836751.3024337
104,WS19,1709836751.3059433
105,WN03,1709836751.3117776
106,ES06,1709836751.53238
107,EW110,1709836751.5472095
108,SW00,1709836751.551808
109,SE11,1709836751.5685382
110,SE15,1709836751.572076
111,NS14,1709836751.578667
112,WE12,1709836751.590763
113,WE17,1709836751.5953958
114,WS18,1709836751.6057012
115,WS19,1709836751.6090064
116,WN03,1709836751.6150138
117,ES06,1709836751.8399773
118,EW110,1709836751.8518672
119,SW00,1709836751.8567584
120,SE15,1709836751.8750334
121,NS14,1709836751.8813443
122,WE12,1709836751.8970394
123,WE17,1709836751.8999507
124,WS18,1709836751.907096
125,WS19,1709836751.9105482
126,WN03,1709836751.9175134
127,ES06,1709836752.1318603
128,EW110,1709836752.1519253
129,SW00,1709836752.157499
130,SN111,1709836752.1686559
131,SE15,1709836752.1792057
132,NS14,1709836752.185942
133,WE12,1709836752.1987154
134,WE17,1709836752.2011034
135,WS18,1709836752.2100613
136,WS19,1709836752.2146692
137,WN03,1709836752.221262
138,ES06,1709836752.4306703
139,EW110,1709836752.441881
140,SW00,1709836752.44669
141,SN111,1709836752.4563372
142,SE15,1709836752.4639559
143,NS14,1709836752.4689584
144,WE12,1709836752.4816735
145,WE17,1709836752.4839542
146,WS18,1709836752.4916058
147,WS19,1709836752.496102
148,WN03,1709836752.504078
149,ES06,1709836752.732366
