,vehicleid,delaytime,,
0,WN04,6.625740051,,
1,ES08,6.303808212,,
2,ES09,6.297039032,,
3,ES010,6.291752338,,
4,SW00,13.54875517,,
5,NE016,7.855207443,,
6,SW07,11.12378407,,
7,SW013,8.989857435,,
8,SN11,21.92586756,,
9,SE114,15.61751938,,
10,NS12,20.13295102,,
11,NS13,20.1396625,,
12,SN121,12.5790801,,
13,NS127,6.894799948,,
14,NS131,6.570977449,,
15,EN117,22.49907112,,
16,EW16,27.9213469,,
17,WE15,29.43039775,,
18,WS126,18.59612274,,
19,EN118,22.49916172,,
20,EW111,25.50576353,,
21,EW112,25.4973495,,
22,EN123,21.30052042,,
23,WE115,26.39393234,,
24,WS134,12.88103533,,
25,EW133,14.40432167,,
26,EN124,20.99976206,,
27,WE119,24.90448356,,
28,WS139,6.618234396,,
29,EN128,17.1027596,,
30,WE120,24.88078141,,
31,WE125,6.58992219,,
32,EN142,6.295586348,,
33,ES035,18.5790689,,
34,WN022,29.97582412,,
35,ES041,10.19661021,,
36,WN029,24.27249336,,
37,ES043,9.284943342,,
38,WN040,12.87207842,,
39,WN047,8.385088444,,
40,WN052,6.602335215,,
41,SW032,27.86560512,,
42,NE030,30.00295591,,
43,NE048,12.89434862,,
44,NE051,11.09904623,,
45,WN059,11.69554806,,
46,WN061,11.70037174,,
47,WN071,6.605739832,,
48,EW162,16.49178863,,
49,EN154,23.37524986,,
50,WS146,30.02781153,,
51,WE150,27.32231379,,
52,EN157,20.99340653,,
53,EW173,6.595858097,,
54,WS164,17.67025566,,
55,WE156,23.7226603,,
56,EN160,19.50625992,,
57,WS165,13.52199173,,
58,WE167,12.90929103,,
59,EN163,18.31556964,,
60,WS168,13.49499345,,
61,WE178,7.498140097,,
62,EN166,6.290031195,,
63,EN177,6.281600952,,
64,WE181,6.576674461,,
65,EW182,6.292951584,,
66,SW069,20.1050241,,
67,SW070,19.79509377,,
68,NE080,11.71100831,,
69,SW075,17.39607811,,
70,SW076,17.39186192,,
71,SE136,67.81338501,,
72,SN155,50.10933161,,
73,NS137,66.043607,,
74,NW145,59.44120264,,
75,SE158,47.73778558,,
76,NS138,64.53017306,,
77,SN186,18.91189504,,
78,NW149,57.04660821,,
79,SE174,35.12138176,,
80,NS144,60.93800783,,
81,SN191,9.904135466,,
82,NW184,21.93351603,,
83,SE185,20.41245127,,
84,NS153,54.93220711,,
85,NW189,13.81097221,,
86,SE187,17.68400168,,
87,NS183,5.975962162,,
88,SN198,6.278930187,,
89,SN1104,6.281409979,,
90,SE1105,6.277219057,,
91,SE1108,6.303729296,,
92,ES072,51.59828949,,
93,WN079,47.35805726,,
94,ES093,21.29404664,,
95,WN0100,20.05284524,,
96,ES097,20.39548421,,
97,ES0116,6.301605225,,
98,WN0118,6.603348255,,
99,WN0120,6.570470572,,
100,SE1122,8.401168346,,
101,NS1117,13.81234598,,
102,SN1113,22.80279088,,
103,SN1115,20.09868884,,
104,NS1124,6.003795624,,
105,SW0107,36.32540536,,
106,NE0119,21.30996442,,
107,SW0127,9.020963907,,
108,NE0133,6.599682331,,
109,EN190,58.78000045,,
110,EW188,63.30963373,,
111,WE199,52.17884684,,
112,WS1102,50.63572621,,
113,EN192,56.39808702,,
114,EW195,52.50295472,,
115,EW196,52.50702214,,
116,WE1101,51.53953385,,
117,EN194,53.69759703,,
118,WS1114,38.99829912,,
119,WE1103,51.55121231,,
120,EW1106,48.60524964,,
121,EN1109,46.18606758,,
122,WS1121,29.09178042,,
123,WE1111,44.98968339,,
124,EW1110,44.40770888,,
125,EN1112,42.60293055,,
126,WS1130,18.30832911,,
127,EW1123,6.281025887,,
128,EN1132,6.28545332,,
129,WS1131,6.564891338,,
130,WS1134,6.558454752,,
131,NW1129,20.69827843,,
132,NW1136,10.18920207,,
133,SN1145,6.601323843,,
134,EN1143,13.18843937,,
135,EW1146,10.80178618,,
136,EW1148,9.894811153,,
137,WE1152,6.580691814,,
138,WE1158,6.586653709,,
139,WE1159,6.602018833,,
140,EN1164,6.298275948,,
141,ES0125,59.09075356,,
142,WN0135,46.18554807,,
143,ES0126,56.69156408,,
144,WN0154,24.00539327,,
145,ES0128,56.09442449,,
146,ES0138,42.59747434,,
147,ES0139,39.29682755,,
148,ES0141,6.289240837,,
149,ES0142,6.292033195,,
150,ES0150,6.271851301,,
151,ES0151,6.277297735,,
152,WN0172,6.58766222,,
153,ES0162,6.272455215,,
154,ES0167,6.287521601,,
155,ES0185,6.300056934,,
156,SN1153,47.98509359,,
157,SE1156,42.8887279,,
158,NS1160,40.5130372,,
159,NW1168,24.60921669,,
160,SN1155,44.11230898,,
161,SE1161,40.8193624,,
162,NS1173,18.93154955,,
163,NW1176,15.04184103,,
164,SN1175,18.29690552,,
165,SE1169,26.38257813,,
166,NS1177,14.67851806,,
167,SE1171,26.36497688,,
168,NS1182,11.67075467,,
169,NW1189,5.940639019,,
170,SE1186,6.260780811,,
171,NW1192,5.958531857,,
172,NS1193,5.934696436,,
173,SW0137,71.64505935,,
174,NE0147,64.22007608,,
175,NE0149,60.31564689,,
176,SW0140,69.26573825,,
177,SW0144,66.57088661,,
178,NE0163,45.91700602,,
179,SW0157,52.48984146,,
180,NE0170,35.68785906,,
181,SW0183,6.577580214,,
182,NE0178,6.5719347,,
183,SW0190,6.576981306,,
184,NE0180,6.574965477,,
185,SW0194,6.571152925,,
186,NE0187,6.566888332,,
187,SW0197,6.57857728,,
188,NE0195,6.56610322,,
189,NE0211,6.613256693,,
190,NE0217,6.589262009,,
191,SW0216,6.5830338,,
192,SW0219,6.607035875,,
193,EN1191,35.98412561,,
194,EW1174,51.29024148,,
195,WE1184,42.58796048,,
196,WS1165,62.77412081,,
197,WS1166,62.77571774,,
198,EN1208,20.11215067,,
199,EW1179,45.89845443,,
200,WE1188,39.58338928,,
201,EN1223,8.697654247,,
202,EW1200,28.19322681,,
203,WS1181,46.19710708,,
204,WE1199,32.09317183,,
205,EW1222,9.890147209,,
206,WS1202,29.68904376,,
207,WE1210,22.79515433,,
208,WS1213,21.26794243,,
209,WE1212,6.570351601,,
210,WE1225,6.548700571,,
211,WS1230,6.540165663,,
212,WE1231,6.54523468,,
213,ES0215,29.99269152,,
214,WN0201,44.09458685,,
215,WN0203,43.7751286,,
216,ES0237,7.199038744,,
217,WN0205,43.74823785,,
218,WN0206,42.85391116,,
219,WN0221,29.95231056,,
220,WN0236,6.596397877,,
221,WN0238,6.577253819,,
222,NE0234,18.62098813,,
223,SW0226,26.37937975,,
224,NE0247,7.216231823,,
225,SW0253,6.604851007,,
226,SW0257,6.599403858,,
227,SN1207,59.70713186,,
228,SE1209,59.40894485,,
229,NS1198,69.63826132,,
230,NW1196,70.85565782,,
231,SN1220,51.00402665,,
232,NS1214,54.31487417,,
233,NW1204,65.08925676,,
234,SE1227,43.4980557,,
235,SN1224,48.28441167,,
236,NS1218,53.09378862,,
237,NW1251,18.62861395,,
238,SE1229,41.68533397,,
239,NS1232,39.02938795,,
240,SN1228,44.09791636,,
241,SE1259,11.70468163,,
242,NS1235,5.983025551,,
243,SN1233,6.296900988,,
244,SE1260,6.288650751,,
245,NS1242,5.950585127,,
246,SN1240,6.291392088,,
247,NS1244,5.931506395,,
248,NS1248,5.949690104,,
249,SE1271,6.334441423,,
250,SN1276,6.311413527,,
251,NS1275,6.010856867,,
252,SN1280,6.302592039,,
253,EN1258,24.89734268,,
254,EW1239,44.40357351,,
255,WE1241,45.33973384,,
256,WS1245,41.74026513,,
257,EW1249,37.49937773,,
258,EN1278,9.303067684,,
259,WE1243,43.81806493,,
260,EW1252,34.80933619,,
261,WS1262,23.11761618,,
262,EN1283,6.594999075,,
263,WE1246,41.72223973,,
264,EW1254,32.70316052,,
265,WS1264,22.78352976,,
266,WE1269,17.39382362,,
267,EW1270,15.88847375,,
268,WS1281,12.01140332,,
269,WE1273,6.570477962,,
270,EW1277,6.279329538,,
271,EW1287,6.273402691,,
272,WS1289,6.574497938,,
273,EW1290,6.283026457,,
274,EW1294,6.294039965,,
275,ES0250,50.98832846,,
276,WN0256,47.7257843,,
277,ES0255,46.7972734,,
278,WN0263,39.00720549,,
279,ES0266,34.78395939,,
280,WN0265,38.69279909,,
281,ES0274,27.60642815,,
282,WN0267,37.1436336,,
283,ES0295,12.59280825,,
284,WN0291,17.977391,,
285,WN0293,6.59735322,,
286,WN0300,6.562343597,,
287,WN0311,6.585083246,,
288,WE1299,23.11677766,,
289,EN1305,16.19226789,,
290,EW1304,16.4864099,,
291,WS1308,15.33536005,,
292,WE1307,17.09992814,,
293,WS1316,6.614597559,,
294,EN1317,6.303130865,,
295,WS1319,6.580877542,,
296,EN1318,6.290708065,,
297,EW1320,6.278624773,,
298,WE1323,6.606101036,,
299,WE1325,6.572900772,,
300,WE1328,6.603968859,,
301,EW1326,6.298289299,,
302,EW1331,6.31224823,,
303,EW1332,6.303141832,,
304,EN1337,6.294798374,,
305,EW1339,6.29806447,,
306,WS1346,6.622375011,,
307,ES0324,23.99271989,,
308,ES0336,16.788903,,
309,WN0321,26.97952199,,
310,WN0342,15.88355279,,
311,ES0349,8.090764046,,
312,WN0344,15.87136292,,
313,ES0352,6.297899961,,
314,WN0347,12.89504766,,
315,ES0355,6.286520958,,
316,SW0261,86.68043375,,
317,NE0272,75.61777949,,
318,SW0268,77.98600388,,
319,NE0284,70.50498843,,
320,NE0285,70.48227811,,
321,SW0288,64.77430248,,
322,NE0303,52.19694853,,
323,SW0329,29.98618317,,
324,NE0309,47.69632649,,
325,SW0334,6.577872276,,
326,NE0310,6.559784174,,
327,NE0312,6.561271191,,
328,NE0314,6.560034752,,
329,NE0335,6.558898211,,
330,SW0363,6.576346397,,
331,NE0360,6.562175989,,
332,NE0361,6.553343773,,
333,NW1279,86.75415158,,
334,SN1282,86.06034684,,
335,SE1298,71.39490271,,
336,NS1297,71.72567844,,
337,NW1286,82.22709155,,
338,SN1292,77.08068538,,
339,SE1301,67.21656561,,
340,NS1302,66.33661294,,
341,NW1296,73.22766328,,
342,SN1340,40.48238373,,
343,SE1315,57.0280323,,
344,NS1313,56.75879025,,
345,NW1306,65.43593049,,
346,NS1354,28.80682707,,
347,SN1345,37.18723416,,
348,SE1333,44.0757277,,
349,NW1322,50.71037579,,
350,NS1367,5.982701778,,
351,SN1356,6.300160646,,
352,SE1341,6.293729782,,
353,NW1327,5.9956429,,
354,NS1369,5.975111008,,
355,SN1365,6.288296223,,
356,SE1348,6.271887302,,
357,NW1330,5.970024586,,
358,NS1371,5.965903044,,
359,SN1378,6.282210827,,
360,SE1350,6.266008139,,
361,NW1338,5.908373356,,
362,NS1379,5.959891558,,
363,SE1366,6.255482674,,
364,NW1343,5.93710804,,
365,SE1372,6.262438297,,
366,NW1357,5.93692255,,
367,SE1377,6.269744635,,
368,NW1358,5.953084946,,
369,SE1381,6.277448177,,
370,NW1362,5.941880941,,
371,SE1382,6.253172159,,
372,NW1364,5.936232567,,
373,NW1368,5.931385517,,
374,NW1389,6.043208361,,
375,SN1392,6.312016964,,
376,SN1395,6.286010027,,
377,SE1397,6.279395103,,
378,SN1401,6.295051575,,
379,SE1404,6.281584501,,
380,SN1414,6.302988291,,
381,SN1417,6.305351973,,
382,SE1421,6.285601139,,
383,NS1422,5.991658688,,
384,NS1423,5.957108974,,
385,EN1375,51.90158939,,
386,EW1351,77.11884022,,
387,WE1353,76.19863725,,
388,WS1376,52.83126879,,
389,EN1393,35.41554761,,
390,EW1370,57.93457246,,
391,WE1385,44.9462626,,
392,WS1380,49.12137508,,
393,EN1409,20.99307656,,
394,EW1374,54.31870651,,
395,EN1410,20.99328661,,
396,WE1388,40.18241119,,
397,WS1386,42.86936927,,
398,EW1383,46.21163964,,
399,EN1416,18.58627009,,
400,WE1408,23.69473362,,
401,WS1399,36.55833459,,
402,EW1415,6.27314949,,
403,EN1418,6.278293848,,
404,WE1420,6.563920259,,
405,WS1413,6.552373886,,
406,EW1419,6.252657652,,
