,starttime,endtime,phaseDuration
0,1709835746.0948846,1709835746.0949118,5
1,1709835751.194797,1709835751.1948197,5
2,1709835756.2948277,1709835756.294853,5
3,1709835761.3011496,1709835761.30631,8
4,1709835769.495643,1709835769.498599,8
5,1709835777.6028507,1709835777.6127136,8
6,1709835785.6973684,1709835785.7007864,8
7,1709835793.8001595,1709835793.8030632,8
8,1709835801.9031425,1709835801.9066646,8
9,1709835809.8947794,1709835809.8973866,8
10,1709835817.9948168,1709835817.999202,13
11,1709835831.0970407,1709835831.1026723,8
12,1709835839.1964455,1709835839.1999183,8
13,1709835847.2004497,1709835847.2043934,8
14,1709835855.2033262,1709835855.2073784,8
15,1709835863.2975993,1709835863.3003497,8
16,1709835871.3947794,1709835871.3974679,8
17,1709835879.3996947,1709835879.4027197,8
18,1709835887.4953864,1709835887.4978101,8
19,1709835895.5095305,1709835895.5133305,8
20,1709835903.5989673,1709835903.6036274,8
21,1709835911.6971188,1709835911.7009985,22
22,1709835933.7992263,1709835933.8016133,8
23,1709835941.7998056,1709835941.8029,16
24,1709835958.0028522,1709835958.0057218,8
25,1709835966.0019004,1709835966.006115,25
26,1709835991.1946914,1709835991.2024107,8
27,1709835999.2024667,1709835999.207786,8
28,1709836007.2976396,1709836007.302142,8
29,1709836015.3006394,1709836015.3055086,8
30,1709836023.404627,1709836023.4069386,8
31,1709836031.4997485,1709836031.503632,8
32,1709836039.4996042,1709836039.5028,8
33,1709836047.6003838,1709836047.6044042,8
34,1709836055.700358,1709836055.7048738,8
35,1709836063.799346,1709836063.8020465,8
36,1709836071.7948256,1709836071.798247,8
37,1709836079.8075287,1709836079.8114772,8
38,1709836087.89785,1709836087.9017704,8
39,1709836095.995732,1709836095.9995532,8
40,1709836104.0964575,1709836104.0988204,8
41,1709836112.1001544,1709836112.1024778,8
42,1709836120.1034682,1709836120.1065614,8
43,1709836128.1987746,1709836128.2032585,8
44,1709836136.3031645,1709836136.3072927,8
45,1709836144.4025493,1709836144.40576,8
46,1709836152.498587,1709836152.5026257,23
47,1709836175.6009648,1709836175.6076167,8
48,1709836183.599746,1709836183.6059997,8
49,1709836191.6947174,1709836191.698342,8
50,1709836199.800846,1709836199.8048947,8
51,1709836207.797989,1709836207.8005753,8
52,1709836215.898272,1709836215.9028935,8
53,1709836224.0045543,1709836224.010077,8
54,1709836232.0967011,1709836232.099249,8
55,1709836240.1027281,1709836240.1064608,13
56,1709836253.1055708,1709836253.1105423,13
57,1709836266.2000577,1709836266.2040691,8
58,1709836274.2963207,1709836274.2998042,8
59,1709836282.3032491,1709836282.3068776,8
60,1709836290.3973866,1709836290.400335,8
61,1709836298.4037938,1709836298.406614,8
62,1709836306.49916,1709836306.5048945,8
63,1709836314.506355,1709836314.5097413,8
64,1709836322.595405,1709836322.5979447,8
65,1709836330.7000794,1709836330.7024226,8
66,1709836338.7976322,1709836338.8013184,8
67,1709836346.905408,1709836346.9098794,8
68,1709836354.9025047,1709836354.9091575,8
69,1709836362.9960325,1709836362.9981952,8
70,1709836370.9981813,1709836371.002726,8
71,1709836379.1023417,1709836379.1053956,8
72,1709836387.1037807,1709836387.109079,8
73,1709836395.2055178,1709836395.207368,8
74,1709836403.2992227,1709836403.3022318,8
75,1709836411.2962217,1709836411.2990508,8
76,1709836419.3973243,1709836419.4012537,8
77,1709836427.3984778,1709836427.4009242,8
78,1709836435.5005794,1709836435.5036278,8
79,1709836443.5045707,1709836443.5090024,8
80,1709836451.599963,1709836451.604554,8
81,1709836459.7007358,1709836459.7062576,8
82,1709836467.805579,1709836467.8082464,8
83,1709836475.8994296,1709836475.902248,8
84,1709836483.8077526,1709836483.810372,8
85,1709836491.9961624,1709836491.9995923,8
86,1709836500.0034726,1709836500.0060103,8
87,1709836508.1034973,1709836508.1072276,8
88,1709836516.104504,1709836516.108505,8
89,1709836524.1967459,1709836524.2020903,8
90,1709836532.2029169,1709836532.2063532,8
91,1709836540.3075423,1709836540.3116944,8
92,1709836548.29574,1709836548.3000236,8
93,1709836556.3064384,1709836556.309184,8
94,1709836564.4047506,1709836564.4083214,8
95,1709836572.4050238,1709836572.4084036,8
96,1709836580.4990861,1709836580.5014894,13
97,1709836593.499326,1709836593.5026999,8
98,1709836601.5029597,1709836601.5053527,8
99,1709836609.697852,1709836609.7015643,8
100,1709836617.8020756,1709836617.8042622,8
101,1709836625.9004133,1709836625.9060469,8
102,1709836633.902933,1709836633.9075618,8
103,1709836641.9962661,1709836642.001449,8
104,1709836650.0009632,1709836650.004821,8
105,1709836658.4115472,1709836658.413788,8
106,1709836666.594796,1709836666.5974965,8
107,1709836674.6948164,1709836674.697719,8
