,vehicleid,recievetime
0,EW1,1709835756.6559088
1,EW1,1709835756.6635435
2,EW1,1709835756.671878
3,EW1,1709835756.6802442
4,EW1,1709835756.6865735
5,EW1,1709835756.6996703
6,EW1,1709835756.726313
7,EW1,1709835756.7360308
8,EW1,1709835756.7436655
9,EW1,1709835756.7543578
10,EW1,1709835756.7645006
11,EW1,1709835756.7752848
12,EW1,1709835756.790426
13,EW1,1709835756.802469
14,EW1,1709835756.8289487
15,EW1,1709835756.8421986
16,EW1,1709835756.851326
17,EW1,1709835756.8808403
18,EW1,1709835756.8861573
19,EW1,1709835756.8934715
20,EW1,1709835756.9028306
21,EW1,1709835756.922614
22,EW1,1709835756.936169
23,EW1,1709835756.942157
24,EW1,1709835756.9519815
25,EW1,1709835756.9612052
26,EW1,1709835756.981766
27,EW1,1709835756.987635
28,EW1,1709835756.9964416
29,EW1,1709835757.0033097
30,EW1,1709835757.0145967
31,EW1,1709835757.0236487
32,EW1,1709835757.0312033
33,EW1,1709835757.0383673
34,EW1,1709835757.0514376
35,EW1,1709835757.0593104
36,EW1,1709835757.064939
37,EW1,1709835757.0831544
38,EW1,1709835757.0902553
39,EW1,1709835757.095941
40,EW1,1709835757.1010277
41,EW1,1709835757.107362
42,EW1,1709835757.1154094
43,EW1,1709835757.1249774
44,EW1,1709835757.1346786
45,EW1,1709835757.1509094
46,EW1,1709835757.1565528
47,EW1,1709835757.1704895
48,EW1,1709835757.1799564
49,EW1,1709835757.1889439
50,EW1,1709835757.1957932
51,EW1,1709835757.2184744
52,EW1,1709835757.2274287
53,EW1,1709835757.2364428
54,EW1,1709835757.244374
55,EW1,1709835757.2565472
56,EW1,1709835757.2640138
57,EW1,1709835757.2700577
58,EW1,1709835757.2810204
59,EW1,1709835757.287083
60,EW1,1709835757.294057
61,EW1,1709835757.3043134
62,EW1,1709835757.3217592
63,EW1,1709835757.3267343
64,EW1,1709835757.3322885
65,EW1,1709835757.337262
66,EW1,1709835757.3447738
67,EW1,1709835757.35046
68,EW1,1709835757.3550518
69,EW1,1709835757.3590894
70,EW1,1709835757.3677845
71,EW1,1709835757.3879943
72,EW1,1709835757.396809
73,EW1,1709835757.4014974
74,EW1,1709835757.4085977
75,EW1,1709835757.4331627
76,EW1,1709835757.4421282
77,EW1,1709835757.4556062
78,EW1,1709835757.4620874
79,EW1,1709835757.4764152
80,EW1,1709835757.4828784
81,EW1,1709835757.4893963
82,EW1,1709835757.4943976
83,EW1,1709835757.501984
84,EW1,1709835757.5078044
85,EW1,1709835757.5200646
86,EW1,1709835757.5347128
87,EW1,1709835757.5466344
88,EW1,1709835757.5589552
89,EW1,1709835757.5785675
90,EW1,1709835757.5911188
91,EW1,1709835757.6046848
92,EW1,1709835757.6155708
93,EW1,1709835757.6212173
94,EW1,1709835757.628862
95,EW1,1709835757.6542387
96,EW1,1709835757.6633172
97,EW1,1709835757.672214
98,EW1,1709835757.6883214
99,EW1,1709835757.7005777
100,EW1,1709835757.7057266
101,EW1,1709835757.7200558
102,EW1,1709835757.7310793
103,EW1,1709835757.7386472
104,EW1,1709835757.7525496
105,EW1,1709835757.7606068
106,EW1,1709835757.7676578
107,EW1,1709835757.7722797
108,EW1,1709835757.7784617
109,EW1,1709835757.7856836
110,EW1,1709835757.797545
111,EW1,1709835757.8059711
112,EW1,1709835757.8141556
113,EW1,1709835757.8186255
114,EW1,1709835757.8248565
115,EW1,1709835757.8334246
116,EW1,1709835757.8551035
117,EW1,1709835757.8633523
118,EW1,1709835757.8688934
119,EW1,1709835757.8776147
120,EW1,1709835757.8848474
121,EW1,1709835757.8926868
122,EW1,1709835757.901044
123,EW1,1709835757.9085882
124,EW1,1709835757.9190297
125,EW1,1709835757.9269593
126,EW1,1709835757.9455063
127,EW1,1709835757.951872
128,EW1,1709835757.9581466
129,EW1,1709835757.9664311
130,EW1,1709835757.9746525
131,EW1,1709835757.9818587
132,EW1,1709835757.990096
133,EW1,1709835758.0026622
134,EW1,1709835758.0077808
135,EW1,1709835758.013039
136,EW1,1709835758.0216222
137,EW1,1709835758.0283132
138,EW1,1709835758.039396
139,EW1,1709835758.0488253
140,EW1,1709835758.0652962
141,EW1,1709835758.0735812
142,EW1,1709835758.0822551
143,EW1,1709835758.0887947
144,EW1,1709835758.11331
145,EW1,1709835758.1257644
146,EW1,1709835758.1385748
147,EW1,1709835758.1480207
148,EW1,1709835758.1693637
149,EW1,1709835758.1861138
150,EW1,1709835758.1966338
151,EW1,1709835758.206014
152,EW1,1709835758.229746
153,EW1,1709835758.2445133
154,EW1,1709835758.2506616
155,EW1,1709835758.2690542
156,EW1,1709835758.2738752
157,EW1,1709835758.2780724
158,EW1,1709835758.2820492
159,EW1,1709835758.2862887
160,EW1,1709835758.291442
161,EW1,1709835758.301472
162,EW1,1709835758.3107374
163,EW1,1709835758.33044
164,EW1,1709835758.3362167
165,EW1,1709835758.3414123
166,EW1,1709835758.3478377
167,EW1,1709835758.35511
168,EW1,1709835758.3600636
169,EW1,1709835758.3671808
170,EW1,1709835758.3926146
171,EW1,1709835758.3998215
172,EW1,1709835758.4046106
173,EW1,1709835758.409565
174,EW1,1709835758.417166
175,EW1,1709835758.4213986
176,EW1,1709835758.4257567
177,EW1,1709835758.4332285
178,EW1,1709835758.4379566
179,EW1,1709835758.4611056
180,EW1,1709835758.467447
181,EW1,1709835758.4723275
182,EW1,1709835758.4793746
183,EW1,1709835758.4862273
184,EW1,1709835758.4987724
185,EW1,1709835758.5043435
186,EW1,1709835758.51224
187,EW1,1709835758.5188792
188,EW1,1709835758.5258553
189,EW1,1709835758.5350397
190,EW1,1709835758.5421178
191,EW1,1709835758.5521147
192,EW1,1709835758.5640771
193,EW1,1709835758.5715535
194,EW1,1709835758.5788302
195,EW1,1709835758.5863774
196,EW1,1709835758.5923438
197,EW1,1709835758.6132193
198,EW1,1709835758.6177661
199,EW1,1709835758.6224713
200,EW1,1709835758.6319003
201,EW1,1709835758.638293
