,vehicleid,transtime
0,WN04,1709835760.5563328
1,SN11,1709835760.8163311
2,WN04,1709835760.8554318
3,SN11,1709835761.1052208
4,WN04,1709835761.1396356
5,SW00,1709835761.4002311
6,SN11,1709835761.4099042
7,WN04,1709835761.4514308
8,SW00,1709835761.7143762
9,SN11,1709835761.7258065
10,WE15,1709835761.7533941
11,WN04,1709835761.7709858
12,SW00,1709835762.0109434
13,SN11,1709835762.021636
14,WE15,1709835762.0526757
15,WN04,1709835762.0768073
16,SW00,1709835762.3081615
17,SN11,1709835762.3174372
18,WE15,1709835762.3519278
19,WN04,1709835762.3682399
20,SW00,1709835762.6038063
21,SN11,1709835762.613541
22,NS12,1709835762.6257298
23,WE15,1709835762.641853
24,WN04,1709835762.6555743
25,EW16,1709835762.8957512
26,SW00,1709835762.9063582
27,SN11,1709835762.9166396
28,NS12,1709835762.9283233
29,NS13,1709835762.9317455
30,WE15,1709835762.9448433
31,WN04,1709835762.969426
32,EW16,1709835763.191468
33,SW00,1709835763.2052433
34,SN11,1709835763.2162893
35,NS12,1709835763.231056
36,NS13,1709835763.2350771
37,WE15,1709835763.2577689
38,WN04,1709835763.2738655
39,EW16,1709835763.4974597
40,SW00,1709835763.5068872
41,SN11,1709835763.5160677
42,NS12,1709835763.5321987
43,NS13,1709835763.5363252
44,WE15,1709835763.5572643
45,WN04,1709835763.5799303
46,ES08,1709835763.7796838
47,EW16,1709835763.8011196
48,SW00,1709835763.811008
49,SN11,1709835763.8201318
50,NS12,1709835763.8405318
51,NS13,1709835763.8455746
52,WE15,1709835763.861976
53,WN04,1709835763.878397
54,ES08,1709835764.0795884
55,ES09,1709835764.0832455
56,EW16,1709835764.100582
57,SW00,1709835764.1109035
58,SN11,1709835764.1185513
59,NS12,1709835764.1306353
60,NS13,1709835764.13431
61,WE15,1709835764.1482224
62,WN04,1709835764.1740174
63,ES08,1709835764.378255
64,ES09,1709835764.38295
65,EW16,1709835764.4066434
66,SW00,1709835764.4159257
67,SN11,1709835764.4273717
68,NS12,1709835764.44405
69,NS13,1709835764.4474902
70,WE15,1709835764.4635787
71,WN04,1709835764.4802668
72,ES08,1709835764.6881588
73,ES09,1709835764.6924222
74,EW16,1709835764.7068121
75,SW00,1709835764.7145183
76,SN11,1709835764.7227738
77,NS12,1709835764.7339268
78,NS13,1709835764.736733
79,WE15,1709835764.7490594
80,WN04,1709835764.7646213
81,ES08,1709835764.9777207
82,ES09,1709835764.9807777
83,EW16,1709835764.9971423
84,SW00,1709835765.0098104
85,SW07,1709835765.014334
86,SN11,1709835765.021628
87,NS12,1709835765.0331643
88,NS13,1709835765.03849
89,WE15,1709835765.0511436
90,WN04,1709835765.0838344
91,ES08,1709835765.283307
92,ES09,1709835765.288712
93,ES010,1709835765.2923293
94,EW16,1709835765.3029194
95,SW00,1709835765.3174746
96,SW07,1709835765.324404
97,SN11,1709835765.3331468
98,NS12,1709835765.3459096
99,NS13,1709835765.3492272
100,WE15,1709835765.3618803
101,WN04,1709835765.382896
