,vehicleid,delaytime,,
0,NE03,6.618712425,,
1,SW010,6.604758739,,
2,SN10,17.12277031,,
3,SE115,6.308720112,,
4,NW15,12.30297422,,
5,SN112,9.310052156,,
6,SN116,7.80556941,,
7,SN118,7.800163746,,
8,NS125,6.030842543,,
9,NW137,6.103558779,,
10,SE139,6.30162859,,
11,NW140,5.985084295,,
12,SE142,6.275725603,,
13,NS144,6.077019215,,
14,SN146,6.311350584,,
15,SE148,6.296944618,,
16,ES01,41.39325452,,
17,WN019,31.85440207,,
18,ES06,38.70340514,,
19,ES07,38.69550872,,
20,WN026,25.53247571,,
21,WN028,25.25054884,,
22,ES022,30.29586697,,
23,WN030,25.1856966,,
24,ES034,22.79486442,,
25,WN038,21.90448546,,
26,ES035,6.287593126,,
27,WN041,6.581825972,,
28,ES051,6.299595118,,
29,WN045,6.597712994,,
30,WN058,6.586173534,,
31,WN060,6.587964296,,
32,WN061,6.617204666,,
33,ES070,6.299683094,,
34,EN117,56.09787846,,
35,EW14,63.91518521,,
36,WE12,66.07719254,,
37,WS18,63.39748478,,
38,WS19,63.37313199,,
39,EN132,46.18758512,,
40,EW124,52.81080914,,
41,WE131,48.04977942,,
42,EN154,32.39066672,,
43,EW127,48.91212392,,
44,WE133,48.04547024,,
45,WS111,62.77314878,,
46,EN157,25.48329616,,
47,EW152,34.49103475,,
48,WE147,38.06798863,,
49,WS113,62.75946307,,
50,EN164,6.290052891,,
51,EW174,6.280365944,,
52,WE165,17.69983196,,
53,WS114,61.85083914,,
54,EN171,6.284053326,,
55,WE175,6.569239616,,
56,WS143,6.569010496,,
57,WS162,6.566099167,,
58,WE179,6.536015511,,
59,WS168,6.542604446,,
60,WS169,6.540774107,,
61,WS177,6.573276997,,
62,WE180,6.575698137,,
63,WS182,6.575853825,,
64,WS185,6.593482494,,
65,WE188,6.636168957,,
66,EN189,6.294174433,,
67,SW020,77.99739933,,
68,NE023,77.71673918,,
69,SW021,77.69881082,,
70,NE036,68.7034142,,
71,SW029,71.68616104,,
72,SW066,38.97583985,,
73,SW093,6.612555027,,
74,SW098,6.604788542,,
75,NS149,81.27031302,,
76,NE0110,6.630736113,,
77,NS150,81.23532152,,
78,SN153,81.57540417,,
79,SE155,80.11249971,,
80,NW178,48.60248375,,
81,NS163,65.97156835,,
82,SN156,77.98672843,,
83,SE183,44.11378098,,
84,NW192,26.42776084,,
85,NS173,57.91277647,,
86,SN159,72.59266758,,
87,SE195,23.13349676,,
88,NW194,22.83863068,,
89,NS1105,12.93116522,,
90,SN167,64.48796916,,
91,NW1101,18.61111593,,
92,SN172,58.78421426,,
93,SN181,6.287428141,,
94,SN186,6.27908802,,
95,SN187,6.287597895,,
96,SN191,6.284808636,,
97,SE1121,6.284338951,,
98,NS1122,5.996317863,,
99,NW1124,6.006244898,,
100,NS1126,6.000952721,,
101,SE1129,6.315054655,,
102,SN1130,6.318232059,,
103,WN076,81.91408801,,
104,ES090,56.99770594,,
105,WN084,69.04245114,,
106,ES0104,38.39953685,,
107,WN0118,25.80846667,,
108,ES0120,24.30417204,,
109,WN0132,13.81371117,,
110,ES0123,21.00330186,,
111,ES0135,6.295082092,,
112,ES0138,6.282366276,,
113,WN0144,6.580949783,,
114,ES0148,6.303587198,,
115,EN1106,61.50030708,,
116,EW197,71.42397261,,
117,WE196,72.97876835,,
118,WS1103,64.27268028,,
119,EN1109,58.80879521,,
120,EW199,70.21877193,,
121,WE1108,61.83378053,,
122,EN1116,50.41098666,,
123,WS1112,59.45904422,,
124,EW1100,69.31383157,,
125,WE1158,11.429497,,
126,EN1131,37.7936399,,
127,WS1114,55.18746185,,
128,EW1102,65.72143888,,
129,EN1133,36.89172626,,
130,WS1115,55.19443393,,
131,EW1107,6.266830206,,
132,EN1156,6.284089327,,
133,WS1119,6.561912775,,
134,EW1117,6.246759176,,
135,WS1151,6.556031466,,
136,EW1142,6.269077301,,
137,WS1152,6.570089102,,
138,EW1166,6.261407375,,
139,WS1154,6.529188395,,
140,WS1170,6.538955688,,
141,WE1177,6.585545778,,
142,WE1181,6.646186113,,
143,EN1185,6.308856249,,
144,EN1186,6.294565678,,
145,WE1188,6.592959404,,
146,WE1189,6.632614374,,
147,WS1190,6.628961802,,
148,NE0111,81.95373774,,
149,SW0113,78.01248169,,
150,NE0127,64.25098467,,
151,NE0128,64.23376679,,
152,SW0125,67.19719815,,
153,SW0140,54.5796361,,
154,NE0134,59.70151329,,
155,SW0145,49.19119191,,
156,NE0146,50.1098578,,
157,SW0149,6.587646484,,
158,NE0150,6.592072248,,
159,SW0159,6.589099407,,
160,NE0168,6.584331036,,
161,SW0161,6.570541382,,
162,NE0171,6.564382792,,
163,SW0163,6.566670656,,
164,NE0182,6.551138639,,
165,SW0174,6.567107439,,
166,NE0194,6.551968336,,
167,SW0199,6.558096886,,
168,NE0196,6.542546511,,
169,SW0203,6.589907885,,
170,NE0215,6.588746071,,
171,SN1137,79.52511692,,
172,SE1136,80.74881005,,
173,NS1160,56.18511581,,
174,NW1139,78.66851091,,
175,SN1141,79.21155477,,
176,SE1153,64.26691961,,
177,NS1172,47.17671371,,
178,NW1157,60.10373402,,
179,SN1143,79.19394422,,
180,SE1162,57.92654538,,
181,NS1175,46.55783391,,
182,NW1164,56.7667017,,
183,NS1176,46.5456481,,
184,SN1147,73.49775004,,
185,SE1167,55.48939204,,
186,NW1169,52.51864552,,
187,NS1184,39.6450119,,
188,SN1155,57.89775586,,
189,SE1173,6.310838461,,
190,NW1207,5.986237288,,
191,NS1219,5.99358511,,
192,SN1178,6.276423931,,
193,SE1179,6.284735918,,
194,NW1208,5.966824055,,
195,SN1191,6.286748886,,
196,SE1187,6.271421432,,
197,NW1217,5.925676107,,
198,SN1198,6.263626337,,
199,SE1201,6.249588251,,
200,SN1220,6.256125689,,
201,SE1204,6.239778757,,
202,SN1221,6.272221565,,
203,SE1209,6.25600481,,
204,NW1230,5.957769394,,
205,SN1224,6.289401293,,
206,SE1234,6.257153034,,
207,SN1247,6.289778233,,
208,SE1256,6.340869188,,
209,ES0165,80.08821654,,
210,WN0192,59.73016739,,
211,ES0180,67.79238796,,
212,WN0195,58.51247787,,
213,ES0183,65.09566212,,
214,WN0211,44.41977739,,
215,ES0212,43.19946647,,
216,WN0225,32.69087291,,
217,ES0216,41.97943377,,
218,WN0237,6.598123074,,
219,ES0226,6.281294823,,
220,WN0253,6.554908514,,
221,ES0231,6.27593708,,
222,WN0258,6.530066013,,
223,ES0238,6.275316238,,
224,ES0250,6.280302525,,
225,WN0264,6.54362464,,
226,ES0267,6.276791096,,
227,WN0266,6.534037352,,
228,ES0272,6.268237352,,
229,ES0276,6.290664196,,
230,EW1193,81.37100077,,
231,EN1200,75.65532637,,
232,EW1197,78.36299324,,
233,WE1205,73.25876331,,
234,WS1202,75.65064955,,
235,EN1227,52.83125615,,
236,EW1206,72.65021491,,
237,WS1213,67.29906011,,
238,WE1248,41.16110301,,
239,EN1249,39.91837931,,
240,EW1210,68.73340988,,
241,WS1233,50.10450006,,
242,WE1260,33.321697,,
243,EN1274,21.8921144,,
244,EW1214,67.22192121,,
245,WS1241,45.95042992,,
246,WE1277,20.15038037,,
247,EN1283,6.281321526,,
248,EW1228,6.26692915,,
249,WS1244,6.614589453,,
250,WE1290,6.584056377,,
251,WS1245,6.578163385,,
252,EN1285,6.26619339,,
253,EW1232,6.259190321,,
254,WE1298,6.569500923,,
255,WS1251,6.568502903,,
256,EN1296,6.281478167,,
257,EW1235,6.244371653,,
258,WE1299,6.526429176,,
259,WS1254,6.509923935,,
260,EN1300,6.23189187,,
261,EW1242,6.212183714,,
262,WS1280,6.510639668,,
263,EW1246,6.224746466,,
264,EW1255,6.247106314,,
265,EW1257,6.255461454,,
266,WS1310,6.543402433,,
267,EN1308,6.282443523,,
268,EW1270,6.258386374,,
269,WE1311,6.546113729,,
270,EW1282,6.273318529,,
271,EW1288,6.239294529,,
272,EW1302,6.259278774,,
273,EN1315,6.298974037,,
274,EW1317,6.290282488,,
275,WE1320,6.586944103,,
276,WE1322,6.611750603,,
277,EW1324,6.295533419,,
278,SW0218,81.98092842,,
279,NE0222,81.10607171,,
280,SW0229,75.91720891,,
281,NE0223,79.83928847,,
282,SW0236,70.79835582,,
283,NE0268,51.96500945,,
284,SW0239,70.79137397,,
285,NE0284,39.64555073,,
286,SW0240,70.78786635,,
287,NE0304,6.591990948,,
288,SW0243,6.629978418,,
289,NE0314,6.588875055,,
290,SW0252,6.56991148,,
291,NE0316,6.546467781,,
292,SW0263,6.501603127,,
293,SW0265,6.527188301,,
294,SW0271,6.575918913,,
295,SW0273,6.5771029,,
296,SW0278,6.57775116,,
297,SW0286,6.517430305,,
298,SW0291,6.563249826,,
299,SW0292,6.569087982,,
300,SW0318,6.571359634,,
301,SW0323,6.560670376,,
302,SW0334,6.562575102,,
303,NE0338,6.585916042,,
304,NE0346,6.594316244,,
305,SW0344,6.60695672,,
306,SW0349,6.609367132,,
307,SN1297,51.26662827,,
308,SE1259,80.40610361,,
309,NS1261,79.2227788,,
310,NW1262,76.52095175,,
311,SE1269,74.70177317,,
312,SN1306,47.68233657,,
313,NS1281,64.24603152,,
314,NW1275,69.37342739,,
315,SE1295,55.51909494,,
316,SN1313,46.14926791,,
317,NS1289,59.72723389,,
318,NW1279,66.06186295,,
319,SN1325,35.68343067,,
320,SE1307,49.46677804,,
321,NS1293,58.53093457,,
322,NW1287,61.8323791,,
323,SE1319,6.288315535,,
324,NS1301,5.969261885,,
325,NW1305,5.980571032,,
326,SE1326,6.261756659,,
327,NS1309,5.961818457,,
328,NW1321,5.958912134,,
329,SE1347,6.279791832,,
330,NS1312,5.956225872,,
331,NW1340,5.93883276,,
332,SN1359,6.272686958,,
333,NS1332,5.951892138,,
334,NW1356,5.984771967,,
335,SN1361,6.287742853,,
336,NS1339,5.971930265,,
337,NS1341,5.949570894,,
338,NS1363,5.966743946,,
339,SN1364,6.262608528,,
340,NS1365,5.964335203,,
341,SE1367,6.306313753,,
342,SE1370,6.296297789,,
343,NS1371,5.9896245,,
344,NS1373,6.000922203,,
345,ES0294,80.38970208,,
346,WN0303,74.95905709,,
347,ES0327,59.11858034,,
348,WN0330,55.89215755,,
349,ES0328,59.09874487,,
350,WN0343,41.09361982,,
351,ES0331,52.71685719,,
352,WN0354,37.19856334,,
353,ES0337,6.284922123,,
354,WN0366,6.604423523,,
355,ES0345,6.277434587,,
356,WN0377,6.580389261,,
357,ES0350,6.275400877,,
358,ES0352,6.26168704,,
359,ES0353,6.270756245,,
360,ES0376,6.245740414,,
361,ES0389,6.295654058,,
362,ES0395,6.297064781,,
363,ES0403,6.296759605,,
364,EN1348,60.38942838,,
365,EW1335,69.11302638,,
366,WE1333,74.12374163,,
367,WS1329,80.78733325,,
368,EW1336,67.83994579,,
369,EN1358,52.19795799,,
370,EW1355,57.62980437,,
371,WE1357,56.70437336,,
372,WS1342,65.40979505,,
373,EN1369,42.60033631,,
374,EW1360,52.50220394,,
375,WE1380,35.43857503,,
376,WS1351,62.73987246,,
377,EN1372,41.39574313,,
378,EN1374,41.39244151,,
379,EW1362,52.50029969,,
380,WE1387,28.13317585,,
381,WS1398,19.24410987,,
382,EN1375,6.237796783,,
383,EW1384,6.183556557,,
384,WE1397,6.449444056,,
385,EN1385,6.151629925,,
386,EW1390,6.155034781,,
387,WE1408,6.429254293,,
388,EN1392,6.135207653,,
389,EW1393,6.092698574,,
390,EN1407,6.172645569,,
391,EW1399,6.182709217,,
392,EW1416,6.277578592,,
393,WS1417,6.569761276,,
394,EN1419,6.299402952,,
395,EN1420,6.299752951,,
396,SW0368,65.66665792,,
397,SW0382,52.12401652,,
398,SW0383,52.07175422,,
399,SW0386,50.92638278,,
400,SW0400,6.581261396,,
401,SW0402,6.56108284,,
402,SW0404,6.575061798,,
403,SW0412,6.562993288,,
404,SW0426,6.561339378,,
405,SW0429,6.587709188,,
406,NE0437,6.599892855,,
407,SW0436,6.580986977,,
408,NE0443,6.591481209,,
409,SW0445,6.603873968,,
410,SN1391,69.55216503,,
411,SE1394,65.68996167,,
412,NS1378,81.31053853,,
413,NW1379,81.34583282,,
414,SE1396,65.38439107,,
415,NS1388,71.71290231,,
416,NW1381,76.81564546,,
417,SN1431,29.69417167,,
418,SE1405,59.35639215,,
419,NS1409,54.50795841,,
420,NW1401,62.42912841,,
421,SN1435,26.06953955,,
422,SE1406,57.57433915,,
423,NS1414,50.35726309,,
424,NW1411,53.88010931,,
425,SN1444,18.00385475,,
426,SE1413,52.41543698,,
427,NS1418,5.976682901,,
428,NW1422,5.996979237,,
429,SN1447,6.268714666,,
430,SE1421,6.268229723,,
431,NS1423,5.951367855,,
432,NW1425,5.954574108,,
433,SE1424,6.244320631,,
434,NS1432,5.945780277,,
435,NS1433,5.94669342,,
436,SE1449,6.264525175,,
437,NS1442,5.922796011,,
438,SE1455,6.246494532,,
439,NS1450,5.936107635,,
440,NS1456,5.943487167,,
441,NW1459,5.937419891,,
442,SE1466,6.309940338,,
443,NW1465,5.972794056,,
444,NS1468,5.97545886,,
445,SN1474,6.266248465,,
446,SN1476,6.306648254,,
447,SE1480,6.298396587,,
448,NS1482,6.008372068,,
449,ES0452,28.80342674,,
450,WN0410,80.14995885,,
451,ES0458,26.39331436,,
452,WN0415,73.17434335,,
453,ES0469,22.49781156,,
454,WN0427,60.62848449,,
455,WN0434,54.31943202,,
456,WN0461,27.23908019,,
457,WN0463,6.567166567,,
458,WN0486,6.54733181,,
459,ES0492,6.300233603,,
460,WN0494,6.588402748,,
461,ES0508,6.33358264,,
462,WE1428,81.78330231,,
463,EN1439,70.94827485,,
464,EW1440,69.47218561,,
465,WS1438,73.13653302,,
466,WE1430,81.52687621,,
467,EN1451,55.09513855,,
468,EW1483,30.49208975,,
469,WS1446,67.15616584,,
470,EN1471,45.19731021,,
471,EW1489,27.49764919,,
472,WE1441,72.23352027,,
473,WS1453,56.62140107,,
474,EN1477,40.6608336,,
475,EW1505,12.7581234,,
476,WE1448,62.30400491,,
477,WS1457,55.03219366,,
478,EN1487,6.403539896,,
479,EW1512,6.392659187,,
480,WE1462,51.70625782,,
481,WS1460,6.650067806,,
482,WE1464,6.59178257,,
483,WS1481,6.524814367,,
484,WE1473,6.507799625,,
485,WE1485,6.44169116,,
486,WE1495,6.396105528,,
487,EW1519,6.129455328,,
488,WE1497,6.413418531,,
489,EW1520,6.15319252,,
490,WS1524,6.455511808,,
491,WE1500,6.472065926,,
492,WE1514,6.555247545,,
493,EN1527,6.325054407,,
494,WS1534,6.589984655,,
495,EW1535,6.310757637,,
496,EN1540,6.288588285,,
497,EN1541,6.293874025,,
498,EN1543,6.315990686,,
499,WS1545,6.63077879,,
500,EW1548,6.285546541,,
501,SW0470,67.66619825,,
502,NE0454,77.84972334,,
503,SW0472,67.46564722,,
504,NE0467,72.10247517,,
505,SW0490,48.39139223,,
506,NE0475,66.72572207,,
507,SW0506,34.848665,,
508,SW0507,34.80814695,,
509,NE0478,66.37973595,,
510,NE0479,66.35146689,,
511,SW0529,20.06383562,,
512,NE0484,6.836622477,,
513,SW0542,6.850587368,,
514,NE0501,6.817334175,,
515,SW0551,6.83430028,,
516,NE0503,6.767693281,,
517,NE0539,6.655337095,,
518,NE0550,6.47082448,,
519,SW0564,6.607964754,,
520,SW0570,6.606629133,,
521,SN1496,65.40888381,,
522,SE1511,56.68227291,,
523,NS1498,63.3452363,,
524,NW1488,76.84607387,,
525,NS1499,63.04160023,,
526,NW1491,72.35108471,,
527,SN1518,48.71119261,,
528,SE1525,45.00261426,,
529,NS1504,61.82628322,,
530,NW1493,71.11181235,,
