,starttime,endtime,phaseDuration
0,1709837807.20013,1709837807.2001376,25
1,1709837832.3004577,1709837832.3004644,25
2,1709837857.4039109,1709837857.4039166,25
3,1709837882.5017526,1709837882.5017662,25
4,1709837907.5997512,1709837907.5997562,25
5,1709837932.7009032,1709837932.7009094,25
6,1709837957.7999103,1709837957.7999141,25
7,1709837982.9004576,1709837982.9004653,25
8,1709838007.9999886,1709838007.9999933,25
9,1709838033.0992763,1709838033.0992823,25
10,1709838058.105718,1709838058.1057222,25
11,1709838083.1973135,1709838083.1973207,25
12,1709838108.2044656,1709838108.2044709,25
13,1709838133.207414,1709838133.2074203,25
14,1709838158.4007869,1709838158.4007928,25
15,1709838183.5026002,1709838183.5026073,25
16,1709838208.600545,1709838208.6005511,25
17,1709838233.6011336,1709838233.6011395,25
18,1709838258.7062807,1709838258.7062867,25
19,1709838283.8990412,1709838283.8990495,25
20,1709838308.9015026,1709838308.9015062,25
21,1709838334.0049782,1709838334.0049849,25
22,1709838359.0039816,1709838359.0039892,25
23,1709838384.1096625,1709838384.1096704,25
24,1709838409.2088747,1709838409.2088802,25
25,1709838434.2099614,1709838434.2099679,25
26,1709838459.4036605,1709838459.4036663,25
27,1709838484.4085133,1709838484.408521,25
28,1709838509.6037107,1709838509.6037166,25
29,1709838534.6984682,1709838534.6984744,25
30,1709838559.8027034,1709838559.8027093,25
31,1709838584.9115837,1709838584.9115915,25
32,1709838609.9977825,1709838609.9977882,25
33,1709838634.9028587,1709838634.9028647,25
34,1709838660.0033143,1709838660.0033202,25
35,1709838685.1053348,1709838685.1053433,25
36,1709838710.5384283,1709838710.5384336,25
37,1709838735.5590017,1709838735.5590093,25
