,vehicleid,recievetime
0,EW1,1709837817.248907
1,EW1,1709837817.2599297
2,EW1,1709837817.2679749
3,EW1,1709837817.2811239
4,EW1,1709837817.286887
5,EW1,1709837817.2986827
6,EW1,1709837817.304917
7,EW1,1709837817.3130465
8,EW1,1709837817.3189282
9,EW1,1709837817.324803
10,EW1,1709837817.3311725
11,EW1,1709837817.3497539
12,EW1,1709837817.3559308
13,EW1,1709837817.362831
14,EW1,1709837817.3707888
15,EW1,1709837817.3768823
16,EW1,1709837817.3839178
17,EW1,1709837817.387843
18,EW1,1709837817.4189532
19,EW1,1709837817.4270794
20,EW1,1709837817.4455009
21,EW1,1709837817.4512098
22,EW1,1709837817.463059
23,EW1,1709837817.4694285
24,EW1,1709837817.4827178
25,EW1,1709837817.4994617
26,EW1,1709837817.5101206
27,EW1,1709837817.5368145
28,EW1,1709837817.5489757
29,EW1,1709837817.5593338
30,EW1,1709837817.5686157
31,EW1,1709837817.5781596
32,EW1,1709837817.586947
33,EW1,1709837817.5919166
34,EW1,1709837817.6007078
35,EW1,1709837817.6097264
36,EW1,1709837817.6182854
37,EW1,1709837817.635491
38,EW1,1709837817.6401842
39,EW1,1709837817.6469877
40,EW1,1709837817.6571453
41,EW1,1709837817.6668
42,EW1,1709837817.6899917
43,EW1,1709837817.6968317
44,EW1,1709837817.7004123
45,EW1,1709837817.7040622
46,EW1,1709837817.7106457
47,EW1,1709837817.719881
48,EW1,1709837817.7274516
49,EW1,1709837817.745682
50,EW1,1709837817.7559361
51,EW1,1709837817.7612762
52,EW1,1709837817.7676067
53,EW1,1709837817.7746494
54,EW1,1709837817.7789419
55,EW1,1709837817.7833443
56,EW1,1709837817.787285
57,EW1,1709837817.8014872
58,EW1,1709837817.8115091
59,EW1,1709837817.8167717
60,EW1,1709837817.8237367
61,EW1,1709837817.8315341
62,EW1,1709837817.8361201
63,EW1,1709837817.842055
64,EW1,1709837817.8480356
65,EW1,1709837817.8597646
66,EW1,1709837817.8671806
67,EW1,1709837817.876336
68,EW1,1709837817.884637
69,EW1,1709837817.893256
70,EW1,1709837817.9061484
71,EW1,1709837817.9203854
72,EW1,1709837817.9269524
73,EW1,1709837817.9640887
74,EW1,1709837817.969904
75,EW1,1709837817.9790986
76,EW1,1709837817.9873784
77,EW1,1709837817.9950433
78,EW1,1709837818.0031593
79,EW1,1709837818.0101326
80,EW1,1709837818.0178878
81,EW1,1709837818.0459416
82,EW1,1709837818.0552301
83,EW1,1709837818.063178
84,EW1,1709837818.069698
