,vehicleid,transtime
0,SN10,1709837820.3126397
1,SN10,1709837820.6239414
2,SN10,1709837820.9179661
3,ES01,1709837821.1988318
4,SN10,1709837821.2236564
5,ES01,1709837821.4940104
6,SN10,1709837821.521975
7,ES01,1709837821.795033
8,SN10,1709837821.819349
9,ES01,1709837822.0983262
10,SN10,1709837822.122168
11,WE12,1709837822.1504478
12,ES01,1709837822.392208
13,SN10,1709837822.4286742
14,WE12,1709837822.454671
15,ES01,1709837822.6912425
16,SN10,1709837822.7159877
17,WE12,1709837822.7469954
18,ES01,1709837823.0035236
19,SN10,1709837823.0528655
20,WE12,1709837823.1018374
21,ES01,1709837823.3046858
22,SN10,1709837823.3415382
23,WE12,1709837823.3668578
24,ES01,1709837823.59255
25,SN10,1709837823.6184647
26,NE03,1709837823.6355946
27,WE12,1709837823.6450381
28,ES01,1709837823.8975918
29,EW14,1709837823.9157045
30,SN10,1709837823.9264169
31,NE03,1709837823.9454846
32,WE12,1709837823.9567013
33,ES01,1709837824.1978133
34,EW14,1709837824.2129693
35,SN10,1709837824.2253714
36,NE03,1709837824.2487674
37,WE12,1709837824.2581365
38,ES01,1709837824.4912894
39,EW14,1709837824.5060246
40,SN10,1709837824.5154238
41,NE03,1709837824.53169
42,WE12,1709837824.5403783
43,ES01,1709837824.7909935
44,ES06,1709837824.7948341
45,EW14,1709837824.8087292
46,SN10,1709837824.8254158
47,NE03,1709837824.8387434
48,WE12,1709837824.852418
49,WS18,1709837824.8585813
50,ES01,1709837825.0906641
51,ES06,1709837825.0948167
52,ES07,1709837825.099046
53,EW14,1709837825.1179516
54,SN10,1709837825.1312668
55,NE03,1709837825.1589203
56,NW15,1709837825.1676643
57,WE12,1709837825.1750162
58,WS18,1709837825.1823337
59,WS19,1709837825.186372
60,ES01,1709837825.3911502
61,ES06,1709837825.3953104
62,ES07,1709837825.3990993
63,EW14,1709837825.4152741
64,SN10,1709837825.434702
65,NE03,1709837825.453077
66,NW15,1709837825.4598424
67,WE12,1709837825.4652953
68,WS18,1709837825.4722476
69,WS19,1709837825.4761717
70,ES01,1709837825.6912072
71,ES06,1709837825.695947
72,ES07,1709837825.6996233
73,EW14,1709837825.7119212
74,SN10,1709837825.7336633
75,NE03,1709837825.750599
76,NW15,1709837825.7579868
77,WE12,1709837825.7629397
78,WS18,1709837825.7702658
79,WS19,1709837825.7746415
80,ES01,1709837825.990513
81,ES06,1709837825.9943483
82,ES07,1709837825.998525
83,EW14,1709837826.0118911
84,SN10,1709837826.023221
85,NE03,1709837826.0448186
86,NW15,1709837826.0535595
87,WE12,1709837826.0583756
88,WS18,1709837826.0637238
89,WS19,1709837826.0673568
90,ES01,1709837826.2900941
91,ES06,1709837826.2933965
92,ES07,1709837826.2967086
93,EW14,1709837826.3097916
94,SN10,1709837826.322693
95,NE03,1709837826.3489132
96,NW15,1709837826.3565733
97,WE12,1709837826.3615584
98,WS18,1709837826.3681216
99,WS19,1709837826.3710291
100,ES01,1709837826.5903924
101,ES06,1709837826.5939267
102,ES07,1709837826.5986078
103,EW14,1709837826.6152055
104,SN10,1709837826.6292832
105,NE03,1709837826.6487093
106,NW15,1709837826.6580503
107,WE12,1709837826.6637564
108,WS18,1709837826.6735497
109,WS19,1709837826.6767368
110,ES01,1709837826.8906755
111,ES06,1709837826.893432
112,ES07,1709837826.8965294
113,EW14,1709837826.9086711
114,SN10,1709837826.920141
115,NE03,1709837826.9380407
116,NW15,1709837826.9452367
117,WE12,1709837826.9511044
118,WS18,1709837826.9567277
119,WS19,1709837826.9623718
120,WS111,1709837826.9683752
121,ES01,1709837827.190203
122,ES06,1709837827.1921723
123,ES07,1709837827.1941926
124,EW14,1709837827.2057903
125,SN10,1709837827.2181602
126,NE03,1709837827.232174
127,NW15,1709837827.238199
128,WE12,1709837827.2421007
129,WS18,1709837827.247716
130,WS19,1709837827.250754
131,WS111,1709837827.253685
132,ES01,1709837827.4903715
133,ES06,1709837827.4925582
134,ES07,1709837827.494599
135,EW14,1709837827.5071423
136,SN10,1709837827.5232506
137,NE03,1709837827.5375376
138,NW15,1709837827.5464728
139,WE12,1709837827.552068
140,WS18,1709837827.5588474
141,WS19,1709837827.561908
142,WS111,1709837827.5651891
143,ES01,1709837827.7908385
144,ES06,1709837827.7932744
145,ES07,1709837827.795624
146,EW14,1709837827.8119736
147,SW010,1709837827.8205695
148,SN10,1709837827.827597
149,NE03,1709837827.8438144
150,NW15,1709837827.853332
151,WE12,1709837827.8620324
152,WS18,1709837827.8678484
153,WS19,1709837827.8705726
154,WS111,1709837827.8737864
155,WS113,1709837827.876279
156,ES01,1709837828.0944886
157,ES06,1709837828.096975
158,ES07,1709837828.0986066
159,EW14,1709837828.1106327
160,SW010,1709837828.1193993
161,SN10,1709837828.1275454
162,NE03,1709837828.1490285
163,NW15,1709837828.153255
164,WE12,1709837828.158949
165,WS18,1709837828.1652458
166,WS19,1709837828.1680415
167,WS111,1709837828.1715925
168,WS113,1709837828.1754003
