,vehicleid,delaytime,,
0,ES02,6.292972088,,
1,ES03,6.298576593,,
2,SW01,13.49972749,,
3,SW04,8.710018873,,
4,EN10,22.1999979,,
5,EW111,9.594101667,,
6,EN18,12.29482794,,
7,EW113,8.099962234,,
8,EN110,11.99333262,,
9,EN112,11.69691682,,
10,EW118,6.297419786,,
11,SN15,20.69472313,,
12,SE17,20.39300609,,
13,SN19,18.58666754,,
14,SE115,14.38640594,,
15,SN119,9.272493362,,
16,SE120,6.590070724,,
17,SN121,6.295339108,,
18,SN122,6.295801878,,
19,ES06,32.6985352,,
20,ES016,23.69467688,,
21,SW014,32.08628583,,
22,SW017,29.68381906,,
23,EN123,24.59525847,,
24,EW124,23.09468579,,
25,EN131,6.299832821,,
26,EW129,11.99807453,,
27,EW134,6.299997807,,
28,EN137,6.307275772,,
29,EN138,6.305111408,,
30,EN142,6.296501637,,
31,SN126,36.01267815,,
32,SE125,38.74244666,,
33,SN127,33.60026145,,
34,SE128,33.01841998,,
35,SN132,23.70077777,,
36,SE135,19.51854753,,
37,SN136,20.11483002,,
38,SE139,17.3963697,,
39,SN143,11.98328638,,
40,SN148,6.28287673,,
41,SW030,31.50603056,,
42,SW033,28.20287132,,
43,ES040,31.7970202,,
44,ES041,31.49676871,,
45,ES045,28.20244575,,
46,ES046,25.79430103,,
47,ES050,21.60431695,,
48,ES051,6.268616676,,
49,EN147,36.28254628,,
50,EW144,41.11435461,,
51,EN149,33.28818059,,
52,EW157,13.49352598,,
53,EN154,20.09370995,,
54,EW161,7.508450031,,
55,EN155,17.37731004,,
56,EN156,15.28485894,,
57,EN159,6.298834801,,
58,EN163,6.282379389,,
59,EW166,6.281584024,,
60,SN152,34.73787427,,
61,SE158,21.58388925,,
62,SN153,33.87892675,,
63,SE160,20.67508078,,
64,SE167,13.17743373,,
65,SE169,10.49761271,,
66,SE170,6.295567036,,
67,ES062,24.30019975,,
68,ES064,23.99511766,,
69,ES072,10.79193044,,
70,SW065,28.45820332,,
71,SW068,22.19427896,,
72,SW078,6.593717098,,
73,SN173,29.69996071,,
74,SN174,29.4082675,,
75,SE175,29.41091561,,
76,SE181,16.49936438,,
77,SN183,14.70568323,,
78,SE185,6.598747969,,
79,SN184,6.940641642,,
80,SW082,25.49905014,,
81,ES086,24.59643054,,
82,ES088,21.29594183,,
83,ES089,12.89705181,,
84,ES092,9.896554708,,
85,ES094,8.393718243,,
86,SN197,6.293920994,,
87,SN1103,6.314360857,,
88,SN1104,6.302986622,,
89,SN1107,6.307020426,,
90,SE1109,6.292220116,,
91,SN1111,6.290301323,,
92,EN177,68.40802646,,
93,EW171,87.03452492,,
94,EW176,69.04495168,,
95,EN180,68.09257412,,
96,EW179,69.05415773,,
97,EN190,42.31082273,,
98,EW187,57.33984447,,
99,EN196,33.89020085,,
100,EW193,39.91287303,,
101,EN1100,6.29147625,,
102,EW1101,6.276839018,,
