,starttime,endtime,phaseDuration
0,1709829466.2661102,1709829466.4733965,12
1,1709829478.367395,1709829478.3809092,7
2,1709829485.364531,1709829485.3845017,7
3,1709829492.4663951,1709829492.4928803,12
4,1709829504.5645955,1709829504.5884356,7
5,1709829511.6676202,1709829511.6866796,7
6,1709829518.7645695,1709829518.780339,9
7,1709829527.8649054,1709829527.8894475,10
8,1709829537.8687897,1709829537.8883874,7
9,1709829544.9668741,1709829544.9929235,7
10,1709829552.069754,1709829552.0866084,7
11,1709829559.169189,1709829559.1875076,7
12,1709829566.1646278,1709829566.1815548,7
13,1709829573.1656668,1709829573.1892726,12
14,1709829585.2645428,1709829585.2841728,7
15,1709829592.3645415,1709829592.382522,7
16,1709829599.4645307,1709829599.4794075,12
17,1709829611.4658854,1709829611.4786766,7
18,1709829618.564693,1709829618.5807106,12
19,1709829630.564546,1709829630.5766141,7
20,1709829637.665615,1709829637.687559,7
21,1709829644.6645503,1709829644.6797261,12
22,1709829656.764625,1709829656.7799454,12
23,1709829668.867408,1709829668.8849416,7
24,1709829675.8723977,1709829675.8992655,11
25,1709829687.074048,1709829687.0896208,7
26,1709829694.1706426,1709829694.189717,7
27,1709829701.1695278,1709829701.199193,7
28,1709829708.2684143,1709829708.2896545,12
29,1709829720.2664604,1709829720.2880254,7
30,1709829727.3665812,1709829727.3877888,7
31,1709829734.4645345,1709829734.4861858,12
32,1709829746.4646246,1709829746.4849193,7
33,1709829753.4667294,1709829753.4866226,7
34,1709829760.567877,1709829760.5857701,12
35,1709829772.666489,1709829772.6830227,7
36,1709829779.7672873,1709829779.781845,7
37,1709829786.768116,1709829786.789655,7
38,1709829793.8645294,1709829793.8806312,7
39,1709829800.865021,1709829800.8820693,7
40,1709829807.9645245,1709829807.9853835,7
41,1709829814.9718232,1709829814.9989982,12
42,1709829827.172069,1709829827.190379,11
43,1709829838.2646692,1709829838.2903035,7
44,1709829845.2692587,1709829845.2915285,7
45,1709829852.3689146,1709829852.3854783,7
46,1709829859.4735198,1709829859.497709,7
47,1709829866.5667446,1709829866.5870442,12
48,1709829878.664573,1709829878.6841943,12
49,1709829890.770176,1709829890.7906046,12
50,1709829902.7732651,1709829902.7968392,7
51,1709829909.8682013,1709829909.8911524,7
52,1709829916.9773955,1709829916.997475,10
53,1709829927.0709498,1709829927.0976589,12
54,1709829939.1679869,1709829939.188247,7
55,1709829946.1703897,1709829946.1993592,7
56,1709829953.2721024,1709829953.3041558,7
57,1709829960.2736049,1709829960.2948825,11
58,1709829971.273503,1709829971.2968273,7
59,1709829978.4838662,1709829978.5036407,12
60,1709829990.4670954,1709829990.4862254,7
61,1709829997.5676265,1709829997.5842392,7
62,1709830004.6677163,1709830004.6860907,7
63,1709830011.7697866,1709830011.787753,7
64,1709830018.8645854,1709830018.8883603,7
65,1709830025.865405,1709830025.8985162,12
66,1709830037.8705754,1709830037.8951411,7
67,1709830045.068668,1709830045.0994558,7
68,1709830052.1645548,1709830052.182438,7
69,1709830059.1644862,1709830059.18532,9
70,1709830068.0747175,1709830068.089851,7
71,1709830075.2688713,1709830075.2890618,12
72,1709830087.374661,1709830087.3879244,7
73,1709830094.464564,1709830094.4880984,7
74,1709830101.46966,1709830101.4894557,10
75,1709830111.665784,1709830111.68394,7
76,1709830118.764521,1709830118.780132,7
77,1709830125.671205,1709830125.6886137,7
78,1709830132.8695016,1709830132.8842316,7
79,1709830139.8707385,1709830139.886774,12
80,1709830151.8731952,1709830151.8919263,7
81,1709830159.0695913,1709830159.0862412,7
82,1709830166.1645255,1709830166.184678,7
83,1709830173.1745086,1709830173.1940818,12
84,1709830185.3645108,1709830185.3830247,7
85,1709830192.470953,1709830192.4901638,7
86,1709830199.5689023,1709830199.585759,7
87,1709830206.5683393,1709830206.5884519,7
88,1709830213.7688928,1709830213.78917,7
89,1709830220.8667486,1709830220.8854384,7
90,1709830227.8712406,1709830227.8941042,12
91,1709830240.0682306,1709830240.0869436,12
92,1709830252.1670709,1709830252.1883178,10
93,1709830262.2645268,1709830262.2895405,7
94,1709830269.2669942,1709830269.2855005,10
95,1709830279.3733504,1709830279.3936412,7
96,1709830286.5747328,1709830286.5950906,7
97,1709830293.6660953,1709830293.6856425,7
98,1709830300.7720609,1709830300.794981,7
99,1709830307.7705176,1709830307.790886,11
100,1709830318.7727838,1709830318.7912915,7
101,1709830325.971182,1709830325.9911172,7
102,1709830333.0671985,1709830333.0888624,12
103,1709830345.0710566,1709830345.0907614,12
104,1709830357.290986,1709830357.3062074,7
105,1709830364.331751,1709830364.3480668,7
106,1709830371.3645148,1709830371.3816428,10
