,vehicleid,transtime
0,EN10,1709829468.444919
1,EN10,1709829468.7481554
2,EN10,1709829469.0440032
3,ES02,1709829469.3411636
4,EN10,1709829469.3525636
5,ES02,1709829469.6342907
6,EN10,1709829469.644457
7,ES02,1709829469.939271
8,EN10,1709829469.948164
9,ES02,1709829470.237326
10,EN10,1709829470.2501729
11,SW01,1709829470.2720191
12,ES02,1709829470.5354433
13,EN10,1709829470.5450068
14,SW01,1709829470.5571103
15,ES02,1709829470.8353698
16,EN10,1709829470.843935
17,SW01,1709829470.8560064
18,ES02,1709829471.13402
19,EN10,1709829471.143272
20,SW01,1709829471.1580853
21,ES02,1709829471.434864
22,EN10,1709829471.4466405
23,SW01,1709829471.466901
24,ES02,1709829471.7404652
25,ES03,1709829471.7437263
26,EN10,1709829471.7536724
27,SW01,1709829471.7802942
28,ES02,1709829472.0401115
29,ES03,1709829472.0432596
30,EN10,1709829472.0512414
31,SW01,1709829472.0883572
32,ES02,1709829472.3418975
33,ES03,1709829472.3453174
34,EN10,1709829472.3528838
35,SW01,1709829472.3711593
36,ES02,1709829472.635867
37,ES03,1709829472.6393542
38,EN10,1709829472.6470006
39,SW01,1709829472.6610384
40,ES02,1709829472.9328043
41,ES03,1709829472.9360266
42,EN10,1709829472.9428852
43,SW01,1709829472.9617436
44,ES02,1709829473.2335362
45,ES03,1709829473.2372918
46,EN10,1709829473.2443707
47,SW01,1709829473.260755
48,ES02,1709829473.5386443
49,ES03,1709829473.5425982
50,EN10,1709829473.5512307
51,SW01,1709829473.5717328
52,ES02,1709829473.8341362
53,ES03,1709829473.8380306
54,EN10,1709829473.8461847
55,SW01,1709829473.8682766
56,ES02,1709829474.1343658
57,ES03,1709829474.1373143
58,EN10,1709829474.1465046
59,SW01,1709829474.160409
60,ES02,1709829474.4355438
61,ES03,1709829474.4389293
62,EN10,1709829474.4460773
63,SW01,1709829474.4664347
64,ES02,1709829474.7365148
65,ES03,1709829474.7390196
66,EN10,1709829474.7503424
67,SW01,1709829474.7703831
68,ES02,1709829475.0363545
69,ES03,1709829475.0408177
70,EN10,1709829475.048408
71,SW01,1709829475.0642233
72,ES02,1709829475.3421218
73,ES03,1709829475.3457453
74,EN10,1709829475.3584256
75,SW01,1709829475.3735127
76,ES03,1709829475.6361132
77,EN10,1709829475.642634
78,SW01,1709829475.6593082
79,ES03,1709829475.936795
80,EN10,1709829475.9449136
81,SW01,1709829475.9596305
82,ES03,1709829476.2352037
83,EN10,1709829476.243084
84,SW01,1709829476.256742
85,SW04,1709829476.2593439
86,ES03,1709829476.53655
87,ES06,1709829476.5405629
88,EN10,1709829476.5475435
89,SW01,1709829476.56112
90,SW04,1709829476.5651445
91,ES03,1709829476.8349988
92,ES06,1709829476.8389325
93,EN10,1709829476.8455813
94,SW01,1709829476.8592575
95,SW04,1709829476.862876
