,starttime,endtime,phaseDuration
0,1709660421.8753414,1709660422.0779011,12
1,1709660433.8782427,1709660433.8963168,7
2,1709660440.9759762,1709660441.0005646,12
3,1709660453.0754004,1709660453.1017106,12
4,1709660465.1753838,1709660465.19807,7
5,1709660472.276506,1709660472.2972836,7
6,1709660479.3762693,1709660479.3978517,12
7,1709660491.478191,1709660491.5000424,12
8,1709660503.5775204,1709660503.5974767,7
9,1709660510.58224,1709660510.6018002,10
10,1709660520.683705,1709660520.709638,12
11,1709660532.7799218,1709660532.8012683,7
12,1709660539.8753753,1709660539.8889484,7
13,1709660546.8820271,1709660546.898037,12
14,1709660558.9779465,1709660558.9976015,7
15,1709660565.9762514,1709660565.9953597,7
16,1709660573.076162,1709660573.0949285,7
17,1709660580.081754,1709660580.0998952,7
18,1709660587.189849,1709660587.2124918,7
19,1709660594.2788177,1709660594.303398,7
20,1709660601.3817663,1709660601.40229,12
21,1709660613.4799795,1709660613.5008621,12
22,1709660625.4788923,1709660625.4980452,12
23,1709660637.5819519,1709660637.5991094,7
24,1709660644.5846653,1709660644.6057336,10
25,1709660654.683449,1709660654.6995182,7
26,1709660661.7878895,1709660661.8219757,7
27,1709660668.7832038,1709660668.8035648,7
28,1709660675.8774428,1709660675.900964,7
29,1709660682.9825604,1709660683.0054014,10
30,1709660693.078556,1709660693.110563,7
31,1709660700.1798654,1709660700.1993246,10
32,1709660710.1770303,1709660710.2010672,12
33,1709660722.2753654,1709660722.297905,12
34,1709660734.3806717,1709660734.397164,7
35,1709660741.479736,1709660741.4983983,10
36,1709660751.5771866,1709660751.596297,12
37,1709660763.585118,1709660763.6101,10
38,1709660773.7753932,1709660773.7867749,7
39,1709660780.8792295,1709660780.8951066,12
40,1709660792.9814918,1709660793.0005486,10
41,1709660802.9820204,1709660803.0029018,12
42,1709660815.0764785,1709660815.0915,7
43,1709660822.0803468,1709660822.1008704,7
44,1709660829.180488,1709660829.1996026,7
45,1709660836.2804022,1709660836.299313,7
46,1709660843.2884488,1709660843.3061178,7
47,1709660850.381073,1709660850.4012647,7
48,1709660857.3844078,1709660857.4071445,7
49,1709660864.5801382,1709660864.598736,7
50,1709660871.6765428,1709660871.692147,7
51,1709660878.6774647,1709660878.6972523,10
52,1709660888.679536,1709660888.7002323,7
53,1709660895.683897,1709660895.7064438,12
54,1709660907.7804866,1709660907.7975266,7
55,1709660914.977477,1709660914.9946709,12
56,1709660926.9807673,1709660927.0016737,12
57,1709660938.9828265,1709660939.0008063,7
58,1709660946.080621,1709660946.1029606,10
59,1709660956.1831632,1709660956.2020564,12
60,1709660968.1800182,1709660968.1989033,12
61,1709660980.2760706,1709660980.279919,7
62,1709660987.3754163,1709660987.3981237,12
63,1709660999.4797122,1709660999.4976242,7
64,1709661006.482548,1709661006.4994648,7
65,1709661013.5754948,1709661013.5975614,7
66,1709661020.6756265,1709661020.6977677,12
67,1709661032.6830792,1709661032.7051485,7
68,1709661039.7806628,1709661039.804179,17
69,1709661056.777519,1709661056.798981,12
70,1709661068.9838133,1709661069.0020308,12
71,1709661081.0814562,1709661081.1018322,7
72,1709661088.0877872,1709661088.1093292,11
73,1709661099.1863909,1709661099.209312,12
74,1709661111.2763479,1709661111.2937675,7
75,1709661118.281309,1709661118.3010259,12
76,1709661130.386826,1709661130.4102335,10
77,1709661140.3824275,1709661140.4023883,12
78,1709661152.385361,1709661152.4046664,12
79,1709661164.482619,1709661164.5067406,12
80,1709661176.4816723,1709661176.5035381,10
81,1709661186.6829658,1709661186.7050242,12
82,1709661198.7767887,1709661198.7985682,7
83,1709661205.878857,1709661205.9018185,10
84,1709661215.884612,1709661215.9039133,12
85,1709661227.979758,1709661227.9964569,7
86,1709661235.0820239,1709661235.1039622,7
87,1709661242.1808064,1709661242.2027724,12
88,1709661254.2847273,1709661254.302726,7
89,1709661261.3824842,1709661261.4017339,7
90,1709661268.4798393,1709661268.4992087,12
91,1709661280.4815903,1709661280.5050502,12
92,1709661292.5841022,1709661292.6009912,7
93,1709661299.5836391,1709661299.603012,7
94,1709661306.6774611,1709661306.6990864,7
95,1709661314.1841507,1709661314.2058406,12
96,1709661326.1834667,1709661326.2002788,7
97,1709661333.375388,1709661333.3794358,12
98,1709661345.475504,1709661345.478947,12
99,1709661357.57546,1709661357.5809767,12
100,1709661369.9798179,1709661369.9850433,12
101,1709661382.0753725,1709661382.0799387,12
102,1709661394.1754131,1709661394.180314,12
103,1709661406.2754216,1709661406.2809362,12
104,1709661418.3753974,1709661418.3787587,12
105,1709661430.4754014,1709661430.4800146,12
