,vehicleid,recievetime
0,SW00,1709660420.495595
1,SW00,1709660420.7855132
2,SW00,1709660421.1032047
3,SE11,1709660421.1108465
4,SW00,1709660421.385082
5,SE11,1709660421.3947861
6,SW00,1709660421.689304
7,SE11,1709660421.6989212
8,SW00,1709660422.081148
9,SE11,1709660422.0911422
10,SW00,1709660422.297833
11,SW02,1709660422.3053966
12,SE11,1709660422.321723
13,SW00,1709660422.59537
14,SW02,1709660422.6038656
15,SE11,1709660422.6113803
16,NW13,1709660422.6251938
17,SW00,1709660422.881981
18,SW02,1709660422.886923
19,SE11,1709660422.8945658
20,NW13,1709660422.9055276
21,SW00,1709660423.1856158
22,SW02,1709660423.191162
23,SE11,1709660423.199911
24,NW13,1709660423.2132866
25,SW00,1709660423.4828248
26,SW02,1709660423.4896207
27,SE11,1709660423.5005496
28,NW13,1709660423.5113368
29,SW00,1709660423.7846649
30,SW02,1709660423.790049
31,SE11,1709660423.7989578
32,NW13,1709660423.8097987
33,SW00,1709660424.089055
34,SW02,1709660424.0971994
35,SE11,1709660424.10621
36,NW13,1709660424.1169114
37,SW00,1709660424.3853092
38,SW02,1709660424.3900683
39,SE11,1709660424.4009604
40,NW13,1709660424.4121368
41,SW00,1709660424.6930852
42,SW02,1709660424.6996737
43,SW04,1709660424.7056994
44,SE11,1709660424.7200935
45,NW13,1709660424.7253053
46,EW1,1709660424.8686662
47,EW1,1709660424.8843236
48,EW1,1709660424.8891046
49,EW1,1709660424.8999057
50,EW1,1709660424.9054906
51,EW1,1709660424.9104338
52,EW1,1709660424.9175205
53,EW1,1709660424.922293
54,EW1,1709660424.9270904
55,EW1,1709660424.9462676
56,EW1,1709660424.9525666
57,EW1,1709660424.9580412
58,EW1,1709660424.961924
59,EW1,1709660424.9663882
60,EW1,1709660424.9703119
61,EW1,1709660424.9765203
62,SW00,1709660424.9836085
63,EW1,1709660424.988043
64,SW02,1709660424.9912126
65,SW04,1709660424.995591
66,EW1,1709660425.0006633
67,SE11,1709660425.005579
68,EW1,1709660425.0104785
69,NW13,1709660425.015522
70,EW1,1709660425.0275402
71,EW1,1709660425.0322435
72,EW1,1709660425.0387897
73,EW1,1709660425.0483217
74,EW1,1709660425.0529835
75,EW1,1709660425.0574465
76,EW1,1709660425.061943
77,EW1,1709660425.0672865
78,EW1,1709660425.071908
79,EW1,1709660425.0777836
80,EW1,1709660425.085393
81,EW1,1709660425.0926242
82,EW1,1709660425.0991132
83,EW1,1709660425.1117878
84,EW1,1709660425.1164682
85,EW1,1709660425.1248124
86,EW1,1709660425.1417418
87,EW1,1709660425.146341
88,EW1,1709660425.1550107
89,EW1,1709660425.1608458
90,EW1,1709660425.1853025
91,EW1,1709660425.1932597
92,EW1,1709660425.2014213
93,EW1,1709660425.2065907
94,EW1,1709660425.2125976
95,EW1,1709660425.236053
96,EW1,1709660425.2416317
97,EW1,1709660425.2474277
98,EW1,1709660425.253891
99,EW1,1709660425.264227
100,EW1,1709660425.2703383
101,EW1,1709660425.276199
102,EW1,1709660425.2844315
103,SW00,1709660425.2896154
104,SW02,1709660425.2946193
105,EW1,1709660425.300976
106,SW04,1709660425.3059187
107,EW1,1709660425.3115537
108,EW1,1709660425.3193684
109,SE11,1709660425.3246472
110,EW1,1709660425.3311992
111,NW13,1709660425.3357558
112,EW1,1709660425.3402414
113,EW1,1709660425.3448448
114,EW1,1709660425.3505862
115,EW1,1709660425.3547463
116,EW1,1709660425.3589277
117,EW1,1709660425.369536
118,EW1,1709660425.3768911
119,EW1,1709660425.3870656
120,EW1,1709660425.3913739
121,EW1,1709660425.3966734
122,EW1,1709660425.4085076
123,EW1,1709660425.4326835
124,EW1,1709660425.440996
125,EW1,1709660425.4561446
126,EW1,1709660425.4630647
127,EW1,1709660425.4743867
128,EW1,1709660425.4924138
129,EW1,1709660425.498407
130,EW1,1709660425.5078695
131,EW1,1709660425.5137815
132,EW1,1709660425.522997
133,EW1,1709660425.540875
134,EW1,1709660425.5562415
135,EW1,1709660425.5744524
136,EW1,1709660425.5850213
137,SW00,1709660425.5911076
138,SW02,1709660425.5981243
139,EW1,1709660425.603438
140,SW04,1709660425.6091597
141,EW1,1709660425.6192784
142,EW1,1709660425.6247835
143,SE11,1709660425.6331449
144,EW1,1709660425.638131
145,EW1,1709660425.6433356
146,NW13,1709660425.650833
147,EW1,1709660425.6560922
148,EW1,1709660425.6621635
149,EW1,1709660425.6719968
150,EW1,1709660425.6788316
151,EW1,1709660425.6883807
152,EW1,1709660425.6999648
153,EW1,1709660425.70798
154,EW1,1709660425.716651
155,EW1,1709660425.725202
156,EW1,1709660425.7366202
157,EW1,1709660425.7467127
158,EW1,1709660425.7553794
159,EW1,1709660425.7641523
160,EW1,1709660425.774004
161,EW1,1709660425.784433
162,EW1,1709660425.7984
163,EW1,1709660425.8079762
164,EW1,1709660425.8213139
165,EW1,1709660425.8332567
