,vehicleid,transtime
0,SW00,1709660420.495222
1,SW00,1709660420.784668
2,SW00,1709660421.099114
3,SE11,1709660421.110042
4,SW00,1709660421.3845227
5,SE11,1709660421.39326
6,SW00,1709660421.6888118
7,SE11,1709660421.6978867
8,SW00,1709660421.984372
9,SE11,1709660421.9942605
10,SW00,1709660422.2965555
11,SW02,1709660422.3002732
12,SE11,1709660422.3095093
13,SW00,1709660422.5950108
14,SW02,1709660422.5994911
15,SE11,1709660422.611127
16,NW13,1709660422.6245277
17,SW00,1709660422.8815417
18,SW02,1709660422.8849893
19,SE11,1709660422.8937075
20,NW13,1709660422.9049768
21,SW00,1709660423.1850998
22,SW02,1709660423.1894114
23,SE11,1709660423.1993835
24,NW13,1709660423.2114027
25,SW00,1709660423.4823136
26,SW02,1709660423.486161
27,SE11,1709660423.499956
28,NW13,1709660423.5107958
29,SW00,1709660423.7839217
30,SW02,1709660423.7878523
31,SE11,1709660423.7978895
32,NW13,1709660423.809275
33,SW00,1709660424.0926611
34,SW02,1709660424.0965688
35,SE11,1709660424.105621
36,NW13,1709660424.1163468
37,SW00,1709660424.3846915
38,SW02,1709660424.3894393
39,SE11,1709660424.3997183
40,NW13,1709660424.4115264
41,SW00,1709660424.692534
42,SW02,1709660424.6963203
43,SW04,1709660424.7008984
44,SE11,1709660424.7087016
45,NW13,1709660424.7205462
46,SW00,1709660424.9829574
47,SW02,1709660424.986402
48,SW04,1709660424.988912
49,SE11,1709660424.9979522
50,NW13,1709660425.0084362
51,SW00,1709660425.2845154
52,SW02,1709660425.2885277
53,SW04,1709660425.291795
54,SE11,1709660425.308981
55,NW13,1709660425.322781
56,SW00,1709660425.5881095
57,SW02,1709660425.5921192
58,SW04,1709660425.6009073
59,SE11,1709660425.6159346
60,NW13,1709660425.6298547
61,SW00,1709660425.887109
62,SW02,1709660425.8913944
63,SW04,1709660425.8952553
64,SE11,1709660425.9058993
65,NW13,1709660425.918591
66,SW00,1709660426.187101
67,SW02,1709660426.1902215
68,SW04,1709660426.19326
69,SE11,1709660426.205984
70,NW13,1709660426.2203617
71,SW00,1709660426.4824054
72,SW02,1709660426.4864857
73,SW04,1709660426.4912372
74,SE11,1709660426.502102
75,NW13,1709660426.515041
76,SW00,1709660426.8146842
77,SW02,1709660426.8238482
78,SW04,1709660426.8283544
79,SE11,1709660426.8440027
80,NW13,1709660426.8650517
81,SW00,1709660427.0833595
82,SW02,1709660427.0871823
83,SW04,1709660427.0907142
84,SE11,1709660427.1008847
85,NW13,1709660427.1097834
86,SW00,1709660427.3945923
87,SW02,1709660427.3979292
88,SW04,1709660427.401194
89,SE11,1709660427.4132092
90,SE15,1709660427.4168324
91,NW13,1709660427.428828
92,SW00,1709660427.6916618
93,SW02,1709660427.6967514
94,SW04,1709660427.7007062
95,SN16,1709660427.7079484
96,SE11,1709660427.717532
97,SE15,1709660427.7212057
98,NW13,1709660427.7319942
99,SW00,1709660427.9880986
100,SW02,1709660427.9918656
101,SW04,1709660427.997439
102,SN16,1709660428.0093575
103,SE11,1709660428.016683
104,SE15,1709660428.0200682
105,NS17,1709660428.0284693
106,NW13,1709660428.0379117
107,SW00,1709660428.2863698
108,SW02,1709660428.2907462
109,SW04,1709660428.2952983
110,SN16,1709660428.3023875
111,SE11,1709660428.309203
112,SE15,1709660428.3132184
113,NS17,1709660428.320133
114,NW13,1709660428.3301702
115,SW00,1709660428.5833817
116,SW02,1709660428.5872166
117,SW04,1709660428.5898635
118,SN16,1709660428.5977583
