,vehicleid,recievetime
0,NE00,1709661645.926068
1,NE00,1709661646.2163196
2,NS11,1709661646.5319026
3,NE00,1709661646.5472293
4,NS11,1709661646.8207815
5,NE00,1709661646.8283126
6,NS11,1709661647.1128707
7,NE00,1709661647.1201699
8,NS11,1709661647.425921
9,NE00,1709661647.4361892
10,NS11,1709661647.720218
11,NE00,1709661647.7278035
12,NS11,1709661648.0167706
13,NE00,1709661648.0239322
14,NS11,1709661648.316507
15,NE00,1709661648.3232388
16,NS11,1709661648.6177328
17,NE00,1709661648.6261816
18,NS11,1709661648.9148958
19,NE00,1709661648.9213257
20,NS11,1709661649.2222486
21,NE00,1709661649.229794
22,NS11,1709661649.5247414
23,NE00,1709661649.5373328
24,NS11,1709661649.8221223
25,NE00,1709661649.83108
26,NS11,1709661650.1169121
27,NE00,1709661650.1219711
28,NS11,1709661650.419542
29,NE00,1709661650.4282863
30,SW02,1709661650.7172902
31,NS11,1709661650.740853
32,NE00,1709661650.7498803
33,SW02,1709661651.0114813
34,NS11,1709661651.0224469
35,NE00,1709661651.0392935
36,SW02,1709661651.3069217
37,NS11,1709661651.318686
38,NE00,1709661651.3259776
39,SW02,1709661651.6175344
40,NS11,1709661651.6302662
41,NE00,1709661651.6367667
42,SW02,1709661651.9062166
43,NS11,1709661651.9194462
44,NE00,1709661651.9273157
45,SW02,1709661652.2115462
46,NS11,1709661652.2260761
47,NE00,1709661652.2323878
48,SW02,1709661652.5084224
49,NS11,1709661652.525158
50,NE00,1709661652.5315754
51,SW02,1709661652.8205829
52,NS11,1709661652.8311841
53,NE00,1709661652.8385198
54,SW02,1709661653.1114304
55,NS11,1709661653.1302354
56,NE00,1709661653.1389737
57,SW02,1709661653.4067073
58,NS11,1709661653.4191067
59,NE00,1709661653.4329472
60,SW02,1709661653.705213
61,NS11,1709661653.7160876
62,NE00,1709661653.7268484
63,SW02,1709661654.005121
64,NS11,1709661654.0171728
65,NE00,1709661654.026211
66,SW02,1709661654.3044028
67,NS11,1709661654.3142054
68,NE00,1709661654.3205657
69,SW02,1709661654.6092658
70,NS11,1709661654.6318889
71,NE00,1709661654.6404006
72,SW02,1709661654.9039736
73,NS11,1709661654.9157429
74,NE00,1709661654.9243622
75,EW1,1709661654.963073
76,EW1,1709661654.9760606
77,EW1,1709661654.9814794
