,vehicleid,transtime
0,NE00,1709661645.925667
1,NE00,1709661646.2158349
2,NS11,1709661646.5314536
3,NE00,1709661646.5395746
4,NS11,1709661646.8202791
5,NE00,1709661646.8277018
6,NS11,1709661647.112457
7,NE00,1709661647.1196733
8,NS11,1709661647.4252367
9,NE00,1709661647.4356594
10,NS11,1709661647.719525
11,NE00,1709661647.727243
12,NS11,1709661648.016128
13,NE00,1709661648.023322
14,NS11,1709661648.3159328
15,NE00,1709661648.32281
16,NS11,1709661648.617251
17,NE00,1709661648.6256187
18,NS11,1709661648.9143834
19,NE00,1709661648.9206505
20,NS11,1709661649.2215984
21,NE00,1709661649.2290118
22,NS11,1709661649.5230446
23,NE00,1709661649.536739
24,NS11,1709661649.8217
25,NE00,1709661649.830841
26,NS11,1709661650.1165261
27,NE00,1709661650.1212895
28,NS11,1709661650.418955
29,NE00,1709661650.4276803
30,SW02,1709661650.7272017
31,NS11,1709661650.7402394
32,NE00,1709661650.747007
33,SW02,1709661651.010307
34,NS11,1709661651.028315
35,NE00,1709661651.0424545
36,SW02,1709661651.3063564
37,NS11,1709661651.3182254
38,NE00,1709661651.3245323
39,SW02,1709661651.6169467
40,NS11,1709661651.6296556
41,NE00,1709661651.6362062
42,SW02,1709661651.905682
43,NS11,1709661651.9185283
44,NE00,1709661651.9258459
45,SW02,1709661652.2109041
46,NS11,1709661652.2254875
47,NE00,1709661652.231834
48,SW02,1709661652.507842
49,NS11,1709661652.5214956
50,NE00,1709661652.52949
51,SW02,1709661652.817271
52,NS11,1709661652.830579
53,NE00,1709661652.8376267
54,SW02,1709661653.1107872
55,NS11,1709661653.1297295
56,NE00,1709661653.138331
57,SW02,1709661653.4059694
58,NS11,1709661653.4182858
59,NE00,1709661653.4323711
60,SW02,1709661653.704584
61,NS11,1709661653.7154129
62,NE00,1709661653.7255495
63,SW02,1709661654.0045803
64,NS11,1709661654.01651
65,NE00,1709661654.0250216
66,SW02,1709661654.3039465
67,NS11,1709661654.3137224
68,NE00,1709661654.3190525
69,SW02,1709661654.6085868
70,NS11,1709661654.6312816
71,NE00,1709661654.6393533
72,SW02,1709661654.902773
73,NS11,1709661654.9153473
74,NE00,1709661654.921841
75,SW02,1709661655.2078528
76,NS11,1709661655.2184486
77,NE00,1709661655.2250543
78,SW02,1709661655.5088818
79,NS11,1709661655.5224066
80,NE00,1709661655.5326467
81,SW02,1709661655.8052368
82,NS11,1709661655.8157184
83,NE00,1709661655.8224802
84,SW02,1709661656.1098459
85,NS11,1709661656.123897
86,NE00,1709661656.1288562
87,SW02,1709661656.4064555
