,starttime,endtime,phaseDuration
0,1709659111.9361584,1709659111.936165,25
1,1709659137.0385053,1709659137.0385122,25
2,1709659162.0416846,1709659162.0416923,25
3,1709659187.147277,1709659187.147286,25
4,1709659212.3437414,1709659212.3437474,25
5,1709659237.4363189,1709659237.4363253,25
6,1709659262.5445857,1709659262.544593,25
7,1709659287.5431828,1709659287.5431912,25
8,1709659312.545768,1709659312.545777,25
9,1709659337.7436202,1709659337.7436285,25
10,1709659362.7490394,1709659362.7490494,25
11,1709659387.8439791,1709659387.8439867,25
12,1709659412.9414952,1709659412.941503,25
13,1709659438.0360234,1709659438.036032,25
14,1709659462.9791234,1709659462.9791296,25
15,1709659488.1434877,1709659488.1434968,25
16,1709659513.2414196,1709659513.2414274,25
17,1709659538.341735,1709659538.3417401,25
18,1709659563.3434372,1709659563.3434453,25
19,1709659588.5393214,1709659588.5393293,25
20,1709659613.6370485,1709659613.6370533,25
21,1709659638.7461948,1709659638.7462022,25
22,1709659663.8420498,1709659663.8420565,25
23,1709659688.9430518,1709659688.9430592,25
24,1709659713.9393096,1709659713.9393165,25
25,1709659738.9492946,1709659738.949302,25
26,1709659764.0434442,1709659764.0434513,25
27,1709659789.0431974,1709659789.043205,25
28,1709659814.2438776,1709659814.243884,25
29,1709659839.241371,1709659839.241379,25
30,1709659864.242375,1709659864.2423828,25
31,1709659889.2486458,1709659889.2486541,25
32,1709659914.4368076,1709659914.436814,25
33,1709659939.4455037,1709659939.445511,25
34,1709659964.6385639,1709659964.6385686,25
35,1709659989.7468915,1709659989.7468984,25
36,1709660014.8361633,1709660014.8361702,25
37,1709660040.1970813,1709660040.1970885,25
