,vehicleid,transtime
0,SN10,1709659114.3750763
1,SN10,1709659114.6741872
2,SW01,1709659114.981337
3,SN10,1709659114.9895525
4,SW01,1709659115.2752538
5,SN10,1709659115.2826686
6,NE02,1709659115.292092
7,SW01,1709659115.5738657
8,SN10,1709659115.579676
9,NS13,1709659115.5906107
10,NE02,1709659115.6004755
11,SW01,1709659115.8692713
12,SN10,1709659115.87429
13,NS13,1709659115.8867922
14,NE02,1709659115.8927212
15,SW01,1709659116.1762793
16,SN10,1709659116.1856604
17,NS13,1709659116.1947374
18,NE02,1709659116.2025096
19,SW01,1709659116.4872594
20,SN10,1709659116.4944775
21,NS13,1709659116.512638
22,NS14,1709659116.5173147
23,NE02,1709659116.5247965
24,NW15,1709659116.5317764
25,SW01,1709659116.7702377
26,SN10,1709659116.780668
27,NS13,1709659116.792851
28,NS14,1709659116.7979822
29,NE02,1709659116.807583
30,NW15,1709659116.8191762
31,SW01,1709659117.0745661
32,SN10,1709659117.0853906
33,NS13,1709659117.096084
34,NS14,1709659117.1015508
35,NE02,1709659117.1097813
36,NW15,1709659117.1175122
37,SW01,1709659117.3712711
38,SN10,1709659117.3780873
39,NS13,1709659117.3906498
40,NS14,1709659117.3952498
41,NE02,1709659117.4035153
42,NW15,1709659117.410434
43,SW01,1709659117.673202
44,SN10,1709659117.680463
45,NS13,1709659117.691625
46,NS14,1709659117.6983488
47,NE02,1709659117.7053723
48,NW15,1709659117.713542
49,SW01,1709659117.971817
50,SN10,1709659117.9795175
51,NS13,1709659117.9884286
52,NS14,1709659117.9920278
53,NE02,1709659118.0023472
54,NW15,1709659118.0084984
55,SW01,1709659118.2711596
56,SN10,1709659118.277623
57,NS13,1709659118.2880645
58,NS14,1709659118.2918792
59,NE02,1709659118.2997422
60,NW15,1709659118.3069644
61,SW01,1709659118.568908
62,SN10,1709659118.5755541
63,NS13,1709659118.5850704
64,NS14,1709659118.5951533
65,NE02,1709659118.602119
66,NW15,1709659118.6085703
67,SW01,1709659118.8700957
68,SN10,1709659118.8821368
69,NS13,1709659118.8898778
70,NS14,1709659118.8930888
71,NE02,1709659118.8999515
72,NW15,1709659118.9059289
73,SW01,1709659119.172062
74,SN10,1709659119.1806011
75,NS13,1709659119.1898022
76,NS14,1709659119.1933804
77,NE02,1709659119.202597
78,NW15,1709659119.209152
79,SW01,1709659119.4680986
80,SN10,1709659119.4742174
81,NS13,1709659119.4830437
82,NS14,1709659119.485867
83,NE02,1709659119.491182
84,NW15,1709659119.500023
85,SW01,1709659119.7699087
86,SN10,1709659119.7758327
87,NS13,1709659119.7845519
88,NS14,1709659119.7868621
89,NE02,1709659119.792005
90,NW15,1709659119.7992365
91,SW01,1709659120.0777845
92,SN10,1709659120.0868642
93,SN16,1709659120.0939968
94,NS13,1709659120.1056967
95,NS14,1709659120.1115313
96,NE02,1709659120.118707
97,NW15,1709659120.126236
98,SW01,1709659120.3710408
99,SN10,1709659120.3787181
100,SN16,1709659120.382014
101,NS13,1709659120.3900766
102,NS14,1709659120.3939588
103,NE02,1709659120.4040308
104,NW15,1709659120.4121306
105,SW01,1709659120.6735604
106,SN10,1709659120.6802173
107,SN16,1709659120.6843855
108,NS13,1709659120.7009282
109,NS14,1709659120.7040129
110,NE02,1709659120.7114854
111,NW15,1709659120.718506
112,SW01,1709659120.9744906
113,SN10,1709659120.9811459
114,SN16,1709659120.985536
115,NS13,1709659120.9959855
116,NS14,1709659120.999649
117,NE02,1709659121.0057907
118,NW15,1709659121.014376
119,SW01,1709659121.2762787
120,SN10,1709659121.283505
121,SN16,1709659121.2862322
122,NS13,1709659121.2981029
123,NS14,1709659121.3032928
124,NE02,1709659121.3135145
125,NW15,1709659121.3207588
126,SW01,1709659121.5707972
127,SN10,1709659121.5832398
128,SN16,1709659121.5871568
129,NS13,1709659121.6003728
130,NS14,1709659121.6039882
131,NE02,1709659121.6119075
132,NW15,1709659121.618284
133,SW01,1709659121.8704376
134,SN10,1709659121.8786778
135,SN16,1709659121.8822587
136,NS13,1709659121.8923087
137,NS14,1709659121.896596
138,NE02,1709659121.9043179
139,NW15,1709659121.9114313
140,SW01,1709659122.173368
141,SN10,1709659122.1805296
142,SN16,1709659122.1871688
143,NS13,1709659122.1978998
144,NS14,1709659122.2017365
145,NE02,1709659122.2098043
146,NW15,1709659122.2162936
147,SW01,1709659122.470581
148,SN10,1709659122.48114
149,SN16,1709659122.4844618
150,NS13,1709659122.498033
151,NS14,1709659122.502778
152,NE02,1709659122.5092459
153,NW15,1709659122.5157819
154,SW01,1709659122.7696695
155,SN10,1709659122.7771785
