,vehicleid,delaytime,,
0,ES04,6.304115057,,
1,ES06,6.307296276,,
2,SW01,13.50841117,,
3,SW05,13.49820328,,
4,EN17,19.4949317,,
5,EW10,22.49282646,,
6,EN18,18.60387874,,
7,EW111,9.889089584,,
8,SN13,30.59483385,,
9,SE12,30.61413503,,
10,SN19,26.38923669,,
11,SE112,14.40998602,,
12,SN110,24.90188146,,
13,SE115,11.40560532,,
14,SN113,15.29473877,,
15,SE119,8.10040307,,
16,SN116,6.300179482,,
17,SW014,17.39118052,,
18,SW018,13.8014555,,
19,SW021,6.603639841,,
20,EN120,12.9017005,,
21,SE122,13.81591892,,
22,SW023,19.19357347,,
23,SW026,13.20675516,,
24,ES017,48.29348111,,
25,ES024,28.2030828,,
26,ES027,16.49636674,,
27,ES031,6.302128792,,
28,ES036,6.304319143,,
29,EW125,38.9949069,,
30,EW128,25.79376411,,
31,EW137,10.49913287,,
32,EW141,6.296364307,,
33,EW145,6.303615093,,
34,SN139,23.99228716,,
35,SE129,38.72209978,,
36,SE133,31.77120495,,
37,SN140,19.49048018,,
38,SE134,29.70458031,,
39,SN142,17.67347527,,
40,SE135,29.68633199,,
41,SE144,11.09669089,,
42,SE146,6.293932438,,
43,SE149,6.291980028,,
44,SE150,6.302255869,,
45,SE151,6.303986788,,
46,ES047,19.49635553,,
47,EN156,6.299840212,,
48,EW148,24.89386892,,
49,EW154,13.49771762,,
50,EW158,6.286454916,,
51,SW030,69.27922034,,
52,SW032,66.58240509,,
53,SW038,57.27626944,,
54,SW043,42.88339067,,
55,SW052,6.593169689,,
56,SW059,6.593848944,,
57,SN153,29.69069862,,
58,SE155,24.2872026,,
59,SN164,8.082640886,,
60,SE157,22.17941594,,
61,SE160,16.49627686,,
62,SE161,15.89773321,,
63,ES065,11.40007019,,
64,ES067,6.300391674,,
65,EN162,27.59396052,,
66,EW163,25.50322604,,
67,EN168,8.101624966,,
68,EN172,6.299863815,,
69,SW066,23.08475327,,
70,SW076,8.990851164,,
71,SW077,8.690011978,,
72,SW078,8.400232077,,
73,SW079,6.601920843,,
74,SW081,6.5822649,,
75,SN175,26.39626861,,
76,SE170,28.81371665,,
77,SE171,27.92261052,,
78,SN185,8.689662457,,
79,SE173,27.8945961,,
80,SE174,27.87439919,,
81,SE180,20.69380212,,
82,SN189,6.305943489,,
83,SE192,6.295294762,,
84,ES069,45.59944534,,
85,ES086,23.70221853,,
86,EN182,44.40839291,,
87,EW183,44.13202548,,
88,EW184,41.71540689,,
89,EN194,21.9101665,,
90,EW190,31.81474066,,
91,EN196,18.29319119,,
92,EW191,31.80090022,,
93,EN1101,16.79714417,,
94,EW193,24.30685902,,
95,EN1102,6.296969414,,
96,EW1110,6.288351774,,
97,EN1111,6.293542624,,
98,EW1112,6.296849251,,
99,EN1114,6.30482626,,
100,ES0104,22.49041772,,
101,ES0105,20.39032316,,
102,SN1107,24.24720645,,
103,SE198,40.18934679,,
104,SE199,39.88899541,,
105,SE1100,39.59013534,,
106,SE1103,36.30447698,,
107,SN1120,6.301989317,,
108,SE1106,27.84980297,,
109,SE1108,6.276045084,,
110,SE1109,6.267669439,,
111,SE1113,6.281523943,,
112,SE1118,6.274857283,,
113,SE1119,6.275425196,,
114,SE1123,6.27096653,,
115,EW1116,28.79948711,,
116,EN1125,8.704741478,,
117,EN1126,8.407202721,,
118,EW1117,28.50081015,,
119,EW1129,6.291764975,,
120,EW1131,6.288664103,,
121,EN1133,6.292232752,,
122,SW087,80.67135382,,
123,SW088,80.39217138,,
124,SW095,67.80066609,,
125,SW097,66.29419589,,
126,SW0115,6.601289511,,
