,starttime,endtime,phaseDuration
0,1709831080.4246361,1709831080.424665,5
1,1709831085.524584,1709831085.5246036,5
2,1709831090.526713,1709831090.5290778,8
3,1709831098.7321467,1709831098.7346725,8
4,1709831106.829475,1709831106.8363094,8
5,1709831114.924498,1709831114.9279802,8
6,1709831123.0245738,1709831123.0271547,8
7,1709831131.124606,1709831131.1283345,8
8,1709831139.2245705,1709831139.228118,8
9,1709831147.324967,1709831147.3281262,8
10,1709831155.4304514,1709831155.4332044,8
11,1709831163.4284203,1709831163.4305065,8
12,1709831171.5285177,1709831171.5323064,8
13,1709831179.6272113,1709831179.6305854,8
14,1709831187.6252947,1709831187.6284528,8
15,1709831195.6311743,1709831195.6356268,8
16,1709831203.8246381,1709831203.8269894,8
17,1709831211.9246156,1709831211.9294062,8
18,1709831219.9324448,1709831219.9347491,8
19,1709831228.1245584,1709831228.1292672,8
20,1709831236.224648,1709831236.227469,8
21,1709831244.3245876,1709831244.3272552,8
22,1709831252.431359,1709831252.434686,8
23,1709831260.431036,1709831260.4364533,8
24,1709831268.4367335,1709831268.4410384,8
25,1709831276.6288576,1709831276.6335776,8
26,1709831284.7281106,1709831284.7303853,8
27,1709831292.728652,1709831292.7324321,8
28,1709831300.925395,1709831300.9297602,8
29,1709831308.9258206,1709831308.9293578,8
30,1709831317.0249095,1709831317.0277808,8
31,1709831325.1246095,1709831325.1283386,8
32,1709831333.1275609,1709831333.1312537,8
33,1709831341.2300632,1709831341.2339137,8
34,1709831349.3279476,1709831349.3310602,8
35,1709831357.428371,1709831357.4306428,8
36,1709831365.5251853,1709831365.5285072,8
37,1709831373.6246467,1709831373.6274407,8
38,1709831381.728635,1709831381.7307417,8
39,1709831389.7289624,1709831389.7324364,8
40,1709831397.830527,1709831397.8333778,8
41,1709831405.8321574,1709831405.8372874,8
42,1709831413.8322213,1709831413.8389287,8
43,1709831422.0299904,1709831422.0336587,8
44,1709831430.0291662,1709831430.032483,8
45,1709831438.1246347,1709831438.128441,8
46,1709831446.2245772,1709831446.227912,8
47,1709831454.3245196,1709831454.3270457,8
48,1709831462.3362246,1709831462.3401225,8
49,1709831470.524567,1709831470.5280702,8
50,1709831478.5299325,1709831478.5324233,8
51,1709831486.6346624,1709831486.6372957,8
52,1709831494.728889,1709831494.733119,8
53,1709831502.831869,1709831502.8357952,8
54,1709831510.9265378,1709831510.9329736,8
55,1709831519.0252743,1709831519.0282767,8
56,1709831527.1277308,1709831527.1315176,8
57,1709831535.2252595,1709831535.2279797,8
58,1709831543.3301275,1709831543.3344705,8
59,1709831551.4260383,1709831551.4303997,8
60,1709831559.5286045,1709831559.5322368,8
61,1709831567.5275395,1709831567.5321188,8
62,1709831575.630435,1709831575.6381814,8
63,1709831583.7247689,1709831583.7281988,8
64,1709831591.8320546,1709831591.8348603,8
65,1709831599.8279529,1709831599.831585,8
66,1709831607.9252534,1709831607.928958,8
67,1709831615.9317422,1709831615.9361959,13
68,1709831629.1307082,1709831629.134319,8
69,1709831637.1306036,1709831637.1335528,8
70,1709831645.326824,1709831645.3294423,8
71,1709831653.2335129,1709831653.2365673,8
72,1709831661.4291272,1709831661.4329054,8
73,1709831669.4296381,1709831669.4338665,8
74,1709831677.5300887,1709831677.5336027,8
75,1709831685.6301262,1709831685.6331077,8
76,1709831693.7275193,1709831693.7318087,8
77,1709831701.824596,1709831701.8281891,8
78,1709831709.8293154,1709831709.8322585,8
79,1709831718.0351002,1709831718.0381608,8
80,1709831726.12629,1709831726.13009,8
81,1709831734.2315562,1709831734.2374897,8
82,1709831742.3299391,1709831742.3326182,8
83,1709831750.3262732,1709831750.3288245,8
84,1709831758.329169,1709831758.330713,8
85,1709831766.5330253,1709831766.5376873,8
86,1709831774.6292746,1709831774.631289,8
87,1709831782.7273715,1709831782.7324195,8
88,1709831790.8255827,1709831790.8274772,8
89,1709831798.9295952,1709831798.934415,8
90,1709831806.9274862,1709831806.929016,8
91,1709831815.0305634,1709831815.034532,8
92,1709831823.125176,1709831823.1313925,8
93,1709831831.2291846,1709831831.233412,8
94,1709831839.2245893,1709831839.2272246,8
95,1709831847.324606,1709831847.3267365,8
96,1709831855.3311505,1709831855.3351007,8
97,1709831863.4349985,1709831863.4388518,8
98,1709831871.6246235,1709831871.628683,8
99,1709831879.732646,1709831879.7366018,8
100,1709831887.8248107,1709831887.8287358,8
101,1709831895.8289933,1709831895.8338597,8
102,1709831903.8246064,1709831903.8286915,8
103,1709831911.924682,1709831911.9277012,8
104,1709831920.0247183,1709831920.0293436,25
105,1709831944.9337542,1709831944.9368107,8
106,1709831953.0350199,1709831953.0373504,8
107,1709831961.131436,1709831961.1379068,8
108,1709831969.124492,1709831969.1286933,8
109,1709831977.22458,1709831977.226924,10
110,1709831987.324635,1709831987.327979,10
111,1709831997.6119301,1709831997.6135535,10
112,1709832007.724574,1709832007.7263162,10
