,vehicleid,recievetime
0,EW1,1709831089.012093
1,EW1,1709831089.0207164
2,EW1,1709831089.0258906
3,EW1,1709831089.040911
4,EW1,1709831089.0458314
5,EW1,1709831089.0616403
6,ES04,1709831089.069364
7,EW1,1709831089.0836737
8,EW1,1709831089.088988
9,EW1,1709831089.0942013
10,EW1,1709831089.1008627
11,EW1,1709831089.1058178
12,EW1,1709831089.10993
13,EW1,1709831089.12906
14,EW1,1709831089.1350193
15,EW1,1709831089.1411657
16,EW1,1709831089.1465113
17,EW1,1709831089.1538115
18,EW1,1709831089.160388
19,EW1,1709831089.1683621
20,EW1,1709831089.1870122
21,EW1,1709831089.2006845
22,EW1,1709831089.2099087
23,EW1,1709831089.215795
24,EW1,1709831089.2328596
25,EW1,1709831089.2432466
26,EW1,1709831089.26168
27,EW1,1709831089.269606
28,EW1,1709831089.2749367
29,EW1,1709831089.281926
30,EW1,1709831089.2882154
31,EW1,1709831089.2930448
32,EW1,1709831089.3136754
33,EW1,1709831089.3200152
34,EW1,1709831089.3255231
35,EW1,1709831089.3299165
36,EW1,1709831089.3373961
37,EW1,1709831089.3432348
38,EW1,1709831089.3490415
39,EW1,1709831089.356024
40,EW1,1709831089.363389
41,EW1,1709831089.3707988
42,ES04,1709831089.379898
43,EW1,1709831089.38517
44,EW1,1709831089.3909574
45,EW10,1709831089.3959491
46,EW1,1709831089.4105833
47,EW1,1709831089.4150958
48,SN13,1709831089.4200606
49,EW1,1709831089.4320366
50,SE12,1709831089.4367166
51,EW1,1709831089.4481447
52,EW1,1709831089.4533184
53,EW1,1709831089.458034
54,EW1,1709831089.462687
55,EW1,1709831089.4681106
56,EW1,1709831089.4729812
57,EW1,1709831089.4782891
58,EW1,1709831089.4844835
59,EW1,1709831089.4978504
60,EW1,1709831089.5116587
61,EW1,1709831089.5374193
62,EW1,1709831089.5510411
63,EW1,1709831089.5618808
64,EW1,1709831089.5687294
65,EW1,1709831089.5772815
66,EW1,1709831089.584719
67,EW1,1709831089.5952342
68,EW1,1709831089.6049411
69,EW1,1709831089.6225579
70,EW1,1709831089.627597
71,EW1,1709831089.6353025
72,EW1,1709831089.6404722
73,EW1,1709831089.6455114
74,EW1,1709831089.6619973
75,EW1,1709831089.6697128
76,ES04,1709831089.6737869
77,EW1,1709831089.6776888
78,EW1,1709831089.683805
79,EW10,1709831089.6879008
80,SN13,1709831089.6954064
81,EW1,1709831089.7024934
82,SE12,1709831089.7072253
83,EW1,1709831089.7115436
84,EW1,1709831089.7179563
85,EW1,1709831089.722583
86,EW1,1709831089.7276871
87,EW1,1709831089.7355788
88,EW1,1709831089.7407308
89,EW1,1709831089.7510235
90,EW1,1709831089.7573464
91,EW1,1709831089.7649424
92,EW1,1709831089.782822
93,EW1,1709831089.7873936
94,EW1,1709831089.7976387
95,EW1,1709831089.8044925
96,EW1,1709831089.8116066
97,EW1,1709831089.8200195
98,EW1,1709831089.8321366
99,EW1,1709831089.8386407
100,EW1,1709831089.8437004
101,EW1,1709831089.850875
102,EW1,1709831089.8573694
103,EW1,1709831089.8619838
104,EW1,1709831089.8685222
105,EW1,1709831089.872908
106,EW1,1709831089.8777275
107,EW1,1709831089.899159
108,EW1,1709831089.9054558
109,EW1,1709831089.912231
