,starttime,endtime
0,1709831077.3829973,1709831077.383008
1,1709831077.4380386,1709831077.438045
2,1709831077.535507,1709831077.535517
3,1709831077.6335206,1709831077.6335297
4,1709831077.7365549,1709831077.7365632
5,1709831077.832049,1709831077.8320558
6,1709831077.9315603,1709831077.9315662
7,1709831078.0344818,1709831078.0344894
8,1709831078.1318254,1709831078.131831
9,1709831078.2322052,1709831078.2322125
10,1709831078.3277595,1709831078.3277674
11,1709831078.435608,1709831078.4356163
12,1709831078.526325,1709831078.5263333
13,1709831078.6367953,1709831078.636803
14,1709831078.7317262,1709831078.731733
15,1709831078.8344553,1709831078.834464
16,1709831078.9333067,1709831078.933312
17,1709831079.0314205,1709831079.0314295
18,1709831079.1276588,1709831079.1276667
19,1709831079.240288,1709831079.2402961
20,1709831079.3290656,1709831079.3290749
21,1709831079.4409628,1709831079.4409726
22,1709831079.5272243,1709831079.527233
23,1709831079.639377,1709831079.6393874
24,1709831079.7311466,1709831079.731155
25,1709831079.8345547,1709831079.8345623
26,1709831079.929497,1709831079.9295065
27,1709831080.0310926,1709831080.0310996
28,1709831080.1305168,1709831080.130524
29,1709831080.2391872,1709831080.2391956
30,1709831080.329726,1709831080.3297324
31,1709831080.4321694,1709831080.4321778
32,1709831080.5273395,1709831080.527348
33,1709831080.6309657,1709831080.630974
34,1709831080.7357957,1709831080.7358034
35,1709831080.8301923,1709831080.8302
36,1709831080.9328597,1709831080.932867
37,1709831081.031013,1709831081.0310216
38,1709831081.1301563,1709831081.1301675
39,1709831081.2276318,1709831081.2276402
40,1709831081.3295557,1709831081.3295643
41,1709831081.4288673,1709831081.4288752
42,1709831081.535353,1709831081.5353599
43,1709831081.6345496,1709831081.634557
44,1709831081.741232,1709831081.74124
45,1709831081.834021,1709831081.8340275
46,1709831081.9280238,1709831081.928031
47,1709831082.0281503,1709831082.0281575
48,1709831082.1339965,1709831082.1340027
49,1709831082.2272043,1709831082.2272124
50,1709831082.326578,1709831082.3265843
51,1709831082.4282753,1709831082.4282992
52,1709831082.5397992,1709831082.539823
53,1709831082.6329195,1709831082.6329436
54,1709831082.7353692,1709831082.7353926
55,1709831082.8333979,1709831082.8334236
56,1709831082.927103,1709831082.927129
57,1709831083.0385337,1709831083.0385692
58,1709831083.1309392,1709831083.1309628
59,1709831083.2344766,1709831083.2345
60,1709831083.3396099,1709831083.3396332
61,1709831083.4379387,1709831083.4379632
62,1709831083.5281954,1709831083.5282192
63,1709831083.6326904,1709831083.6327145
64,1709831084.230578,1709831084.2306058
65,1709831084.2365973,1709831084.2366178
66,1709831084.3296776,1709831084.3297055
67,1709831084.428331,1709831084.428354
68,1709831084.5278916,1709831084.5279145
69,1709831084.6356795,1709831084.6357043
70,1709831084.7342908,1709831084.7343147
71,1709831084.8263958,1709831084.8264174
72,1709831084.9274418,1709831084.9274652
73,1709831085.0338118,1709831085.0338337
74,1709831085.1376257,1709831085.1376474
75,1709831085.2279766,1709831085.2279994
76,1709831085.329902,1709831085.3299253
77,1709831085.4259658,1709831085.4259906
78,1709831085.5290112,1709831085.529028
79,1709831085.6283412,1709831085.6283653
80,1709831085.7303927,1709831085.7304173
81,1709831085.8355088,1709831085.8355372
82,1709831085.9264596,1709831085.9264848
83,1709831086.0329492,1709831086.0329685
84,1709831086.132629,1709831086.1326525
85,1709831086.231083,1709831086.2311015
86,1709831086.3279505,1709831086.3279746
87,1709831086.4282467,1709831086.4282691
88,1709831086.5281823,1709831086.5282028
89,1709831086.6291976,1709831086.629217
90,1709831086.73972,1709831086.7397442
91,1709831086.8326364,1709831086.83266
92,1709831086.9376721,1709831086.9376967
93,1709831087.032665,1709831087.0326903
94,1709831087.140719,1709831087.1407454
95,1709831087.2348387,1709831087.2348638
96,1709831087.3385684,1709831087.3385866
97,1709831087.4277086,1709831087.4277298
98,1709831087.5275407,1709831087.527549
99,1709831087.626743,1709831087.6267483
100,1709831087.734476,1709831087.734484
101,1709831087.8261204,1709831087.8261273
102,1709831087.9349904,1709831087.9350047
103,1709831088.0279913,1709831088.0279984
104,1709831088.1367905,1709831088.136798
105,1709831088.2271297,1709831088.227138
106,1709831088.3326063,1709831088.3326147
107,1709831088.4270406,1709831088.4270487
108,1709831088.5294359,1709831088.5294416
109,1709831088.6365495,1709831088.636557
110,1709831088.728795,1709831088.7288032
111,1709831088.8272884,1709831088.8272963
112,1709831088.9326952,1709831088.9327016
113,1709831089.032391,1709831089.0324023
114,1709831089.140684,1709831089.1406922
115,1709831089.2265654,1709831089.226573
116,1709831089.3341906,1709831089.3341973
117,1709831089.4432216,1709831089.4432282
118,1709831089.5271835,1709831089.527191
119,1709831089.6417284,1709831089.6417353
120,1709831089.7365077,1709831089.736517
121,1709831089.83626,1709831089.836268
122,1709831089.9261339,1709831089.9261403
123,1709831090.0280535,1709831090.0280588
124,1709831090.1295667,1709831090.1295736
125,1709831090.2308795,1709831090.230888
126,1709831090.3435116,1709831090.3435192
127,1709831090.4391654,1709831090.4391732
128,1709831090.5397727,1709831090.539777
129,1709831090.6403384,1709831090.6403432
130,1709831090.7397974,1709831090.7398348
131,1709831090.831587,1709831090.8315938
132,1709831090.935705,1709831090.9357114
133,1709831091.0350907,1709831091.035097
134,1709831091.1298273,1709831091.1298363
135,1709831091.2282794,1709831091.2282867
136,1709831091.3390136,1709831091.3390176
137,1709831091.439795,1709831091.4398017
138,1709831091.534743,1709831091.534749
139,1709831091.6279733,1709831091.62798
140,1709831091.7326121,1709831091.732619
141,1709831091.8341565,1709831091.8341687
142,1709831091.9338484,1709831091.9338572
143,1709831092.0281928,1709831092.0282004
144,1709831092.1293204,1709831092.1293266
145,1709831092.2285337,1709831092.2285402
146,1709831092.3275838,1709831092.3275905
147,1709831092.4274864,1709831092.4274936
148,1709831092.5336025,1709831092.5336087
149,1709831092.6315632,1709831092.6315713
150,1709831092.7301278,1709831092.7301333
151,1709831092.830163,1709831092.8301713
152,1709831092.937028,1709831092.9370353
153,1709831093.0412357,1709831093.041243
154,1709831093.1304734,1709831093.1304812
155,1709831093.2293866,1709831093.229394
156,1709831093.3303702,1709831093.3303776
157,1709831093.4356387,1709831093.4356468
158,1709831093.53005,1709831093.5300574
159,1709831093.6346562,1709831093.6346643
160,1709831093.7396398,1709831093.7396486
161,1709831093.8332908,1709831093.8332987
162,1709831093.932684,1709831093.9326904
163,1709831094.030321,1709831094.0303297
164,1709831094.1328077,1709831094.132816
165,1709831094.2275233,1709831094.2275298
166,1709831094.3269804,1709831094.3269873
167,1709831094.4420307,1709831094.4420378
168,1709831094.5395126,1709831094.5395212
169,1709831094.6451244,1709831094.6451313
170,1709831094.7282207,1709831094.728311
171,1709831094.8318202,1709831094.831871
172,1709831094.9309194,1709831094.9309964
173,1709831095.02989,1709831095.0299306
174,1709831095.1307423,1709831095.1308215
175,1709831095.228873,1709831095.2289543
176,1709831095.332615,1709831095.3326628
177,1709831095.4274113,1709831095.4274602
178,1709831095.5291727,1709831095.5292559
179,1709831095.6283536,1709831095.628398
180,1709831095.7266681,1709831095.7267194
181,1709831095.8338087,1709831095.8338606
182,1709831095.929608,1709831095.929684
183,1709831096.0299654,1709831096.0300107
184,1709831096.132859,1709831096.1329284
185,1709831096.2317696,1709831096.2318165
186,1709831096.3293133,1709831096.329364
187,1709831096.4304924,1709831096.43054
188,1709831096.5269547,1709831096.5270286
189,1709831096.6299767,1709831096.630048
190,1709831096.7349155,1709831096.7349617
191,1709831096.8288386,1709831096.8288896
192,1709831096.9282675,1709831096.9283319
193,1709831097.0281417,1709831097.0282228
194,1709831097.1285954,1709831097.1286497
195,1709831097.2277553,1709831097.2278423
196,1709831097.3282876,1709831097.3283346
197,1709831097.4308026,1709831097.4308505
198,1709831097.528143,1709831097.528205
199,1709831097.6340048,1709831097.634062
200,1709831097.7336955,1709831097.7337587
201,1709831097.8323474,1709831097.8324053
202,1709831097.9286153,1709831097.9286647
203,1709831098.0282795,1709831098.0283408
204,1709831098.1291876,1709831098.129239
205,1709831098.227986,1709831098.228023
206,1709831098.3295307,1709831098.329578
207,1709831098.4292603,1709831098.4293108
208,1709831098.5284145,1709831098.5284631
209,1709831098.6253433,1709831098.6253831
210,1709831098.7376792,1709831098.7377567
211,1709831098.8260093,1709831098.8260727
212,1709831098.9342725,1709831098.9343376
213,1709831099.0283704,1709831099.0284483
214,1709831099.1295,1709831099.1295784
215,1709831099.2269294,1709831099.2269714
216,1709831099.3308823,1709831099.3309734
217,1709831099.4282107,1709831099.4282959
218,1709831099.5285482,1709831099.5286174
219,1709831099.6336033,1709831099.633679
220,1709831099.7286339,1709831099.7287166
221,1709831099.8289058,1709831099.828978
222,1709831099.9343243,1709831099.934371
223,1709831100.0263495,1709831100.0263991
224,1709831100.1290987,1709831100.1291711
225,1709831100.228425,1709831100.2285178
226,1709831100.3291464,1709831100.3292255
227,1709831100.428957,1709831100.4290206
228,1709831100.5273702,1709831100.527416
229,1709831100.630606,1709831100.6306396
230,1709831100.7402356,1709831100.7402427
231,1709831100.8314517,1709831100.8314598
232,1709831100.9298773,1709831100.9298854
233,1709831101.0295439,1709831101.0295513
234,1709831101.1316068,1709831101.1316154
235,1709831101.2293663,1709831101.2293737
236,1709831101.327054,1709831101.327059
237,1709831101.4283571,1709831101.4283638
238,1709831101.5322618,1709831101.5322685
239,1709831101.6286037,1709831101.6286118
240,1709831101.737683,1709831101.7376914
241,1709831101.826202,1709831101.826208
242,1709831101.9288166,1709831101.9288237
243,1709831102.030106,1709831102.0301137
244,1709831102.127446,1709831102.1274524
245,1709831102.2269013,1709831102.2269082
246,1709831102.3312979,1709831102.3313072
247,1709831102.4280696,1709831102.4280775
248,1709831102.5301075,1709831102.530115
249,1709831102.6326115,1709831102.6326206
250,1709831102.729198,1709831102.732138
251,1709831102.828181,1709831102.8304534
252,1709831102.9316795,1709831102.9360545
253,1709831103.0264087,1709831103.029838
