,vehicleid,transtime
0,ES04,1709831089.0689964
1,ES04,1709831089.379394
2,EW10,1709831089.3925383
3,SN13,1709831089.4056995
4,SE12,1709831089.414381
5,ES04,1709831089.6708152
6,EW10,1709831089.684793
7,SN13,1709831089.694947
8,SE12,1709831089.7037053
9,ES04,1709831089.9692905
10,EW10,1709831089.982462
11,SN13,1709831089.994348
12,SE12,1709831090.0025795
13,ES04,1709831090.2712085
14,EW10,1709831090.2883391
15,SN13,1709831090.3020313
16,SE12,1709831090.3156965
17,ES04,1709831090.5688794
18,EW10,1709831090.5828342
19,SW01,1709831090.5888488
20,SN13,1709831090.596474
21,SE12,1709831090.6051593
22,ES04,1709831090.8683615
23,EW10,1709831090.882214
24,SW01,1709831090.8891478
25,SN13,1709831090.897315
26,SE12,1709831090.907971
27,ES04,1709831091.1755807
28,EW10,1709831091.1884315
29,SW01,1709831091.196768
30,SN13,1709831091.2071633
31,SE12,1709831091.2167416
32,ES04,1709831091.4695828
33,EW10,1709831091.4825857
34,SW01,1709831091.4904616
35,SN13,1709831091.4997222
36,SE12,1709831091.5077662
37,ES04,1709831091.7682588
38,ES06,1709831091.77345
39,EW10,1709831091.786317
40,SW01,1709831091.792842
41,SW05,1709831091.7964313
42,SN13,1709831091.8030303
43,SE12,1709831091.8124454
44,ES04,1709831092.068355
45,ES06,1709831092.0716143
46,EW10,1709831092.0883944
47,SW01,1709831092.0957828
48,SW05,1709831092.098887
49,SN13,1709831092.1049693
50,SE12,1709831092.1140883
51,ES04,1709831092.3685243
52,ES06,1709831092.3719172
53,EN17,1709831092.3792255
54,EW10,1709831092.3905568
55,SW01,1709831092.3986192
56,SW05,1709831092.4019508
57,SN13,1709831092.4086528
58,SE12,1709831092.41763
59,ES04,1709831092.668155
60,ES06,1709831092.671376
61,EN17,1709831092.678033
62,EW10,1709831092.684498
63,SW01,1709831092.6939726
64,SW05,1709831092.697535
65,SN13,1709831092.7030194
66,SE12,1709831092.7107012
67,ES04,1709831092.9687304
68,ES06,1709831092.9724813
69,EN17,1709831092.979691
70,EW10,1709831092.9868083
71,SW01,1709831092.995264
72,SW05,1709831092.9982107
73,SN13,1709831093.0027168
74,SE12,1709831093.0127556
75,ES04,1709831093.268768
76,ES06,1709831093.2718592
77,EN17,1709831093.2778819
78,EW10,1709831093.2837706
79,SW01,1709831093.289403
80,SW05,1709831093.2920196
81,SN13,1709831093.2986662
82,SE12,1709831093.3079355
83,ES04,1709831093.568293
84,ES06,1709831093.5743835
85,EN17,1709831093.5820415
86,EW10,1709831093.5890827
87,SW01,1709831093.5970814
88,SW05,1709831093.5997443
89,SN13,1709831093.6066864
90,SE12,1709831093.6157804
91,ES04,1709831093.8683972
92,ES06,1709831093.8715494
93,EN17,1709831093.8791156
94,EW10,1709831093.8879926
95,SW01,1709831093.894231
96,SW05,1709831093.8965945
97,SN13,1709831093.9008
98,SE12,1709831093.9074545
99,ES04,1709831094.168371
100,ES06,1709831094.1719997
101,EN17,1709831094.178888
102,EN18,1709831094.1814783
103,EW10,1709831094.1868153
104,SW01,1709831094.1931713
105,SW05,1709831094.195601
106,SN13,1709831094.2005353
107,SE12,1709831094.2079675
108,ES04,1709831094.4683423
109,ES06,1709831094.4749928
110,EN17,1709831094.4847307
111,EN18,1709831094.487578
112,EW10,1709831094.4938347
113,SW01,1709831094.5002859
114,SW05,1709831094.5026238
115,SN13,1709831094.5116858
116,SN19,1709831094.515673
117,SE12,1709831094.5220473
118,ES04,1709831094.7777789
119,ES06,1709831094.7816637
120,EN17,1709831094.7889552
121,EN18,1709831094.794055
122,EW10,1709831094.801258
123,SW01,1709831094.8073554
124,SW05,1709831094.8104315
125,SN13,1709831094.8170252
126,SN19,1709831094.8203871
127,SE12,1709831094.8284101
128,ES04,1709831095.0689201
129,ES06,1709831095.072695
130,EN17,1709831095.0798793
131,EN18,1709831095.083543
132,EW10,1709831095.089967
133,SW01,1709831095.0967607
134,SW05,1709831095.0992305
135,SN13,1709831095.1067336
136,SN19,1709831095.11149
137,SE12,1709831095.1184008
138,ES06,1709831095.3772793
139,EN17,1709831095.3843155
140,EN18,1709831095.3876898
141,EW10,1709831095.3942394
142,SW01,1709831095.4014394
143,SW05,1709831095.4035656
144,SN13,1709831095.4081173
145,SN19,1709831095.4137814
146,SE12,1709831095.4196432
147,ES06,1709831095.6742845
148,EN17,1709831095.680278
149,EN18,1709831095.6890547
150,EW10,1709831095.6945488
151,SW01,1709831095.701293
152,SW05,1709831095.7034743
153,SN13,1709831095.708503
154,SN19,1709831095.7127962
155,SE12,1709831095.7206671
156,ES06,1709831095.9699607
157,EN17,1709831095.9772303
158,EN18,1709831095.9835982
159,EW10,1709831095.9896955
160,SW01,1709831096.0013463
161,SW05,1709831096.0037103
162,SN13,1709831096.010018
163,SN19,1709831096.0142508
164,SE12,1709831096.0223718
165,ES06,1709831096.2690828
166,EN17,1709831096.274682
167,EN18,1709831096.278759
168,EW10,1709831096.2844138
169,SW01,1709831096.2919958
170,SW05,1709831096.2942657
171,SN13,1709831096.2988317
172,SN19,1709831096.3030853
173,SE12,1709831096.3128133
174,ES06,1709831096.569886
175,EN17,1709831096.5776324
176,EN18,1709831096.5817375
177,EW10,1709831096.5906992
178,SW01,1709831096.5976012
179,SW05,1709831096.600562
180,SN13,1709831096.6076307
181,SN19,1709831096.6133614
182,SE12,1709831096.6237884
183,ES06,1709831096.8745992
184,EN17,1709831096.8822608
185,EN18,1709831096.8843338
186,EW10,1709831096.889226
187,SW01,1709831096.897483
188,SW05,1709831096.8998826
189,SN13,1709831096.9053874
190,SN19,1709831096.9087505
191,SN110,1709831096.9122946
192,SE12,1709831096.9189615
193,ES06,1709831097.170903
194,EN17,1709831097.176807
195,EN18,1709831097.1791136
196,EW10,1709831097.184702
197,SW01,1709831097.1912735
198,SW05,1709831097.193595
199,SN13,1709831097.2002568
200,SN19,1709831097.2028852
201,SN110,1709831097.207156
202,SE12,1709831097.214429
203,ES06,1709831097.4685938
204,EN17,1709831097.4748514
205,EN18,1709831097.4770527
206,EW10,1709831097.4822369
207,SW01,1709831097.4886425
208,SW05,1709831097.4919949
209,SN13,1709831097.498012
210,SN19,1709831097.5003922
211,SN110,1709831097.503952
212,SE12,1709831097.5104365
213,ES06,1709831097.7689118
214,EN17,1709831097.7765002
215,EN18,1709831097.7791586
216,EW10,1709831097.7847657
217,SW01,1709831097.791349
218,SW05,1709831097.7937539
219,SN13,1709831097.7988162
220,SN19,1709831097.8009837
221,SN110,1709831097.8047616
222,SE12,1709831097.811316
223,EN17,1709831098.0844636
224,EN18,1709831098.0867908
225,EW10,1709831098.0929985
226,SW01,1709831098.1002147
227,SW05,1709831098.1033792
228,SN13,1709831098.1128335
229,SN19,1709831098.115024
230,SN110,1709831098.1181674
231,SE12,1709831098.1241543
232,EN17,1709831098.3733497
233,EN18,1709831098.376401
234,EW10,1709831098.3822625
235,SW01,1709831098.3885028
236,SW05,1709831098.3912437
237,SN13,1709831098.397206
238,SN19,1709831098.39989
239,SN110,1709831098.4017498
240,SE12,1709831098.4082005
241,EN17,1709831098.6813493
242,EN18,1709831098.683203
243,EW10,1709831098.6907313
244,SW01,1709831098.6979375
245,SW05,1709831098.7001781
246,SN13,1709831098.7078514
247,SN19,1709831098.7127845
248,SN110,1709831098.7150137
249,SE12,1709831098.7215362
250,EN17,1709831098.9698188
251,EN18,1709831098.9717994
252,EW10,1709831098.9764178
253,SW01,1709831098.9836686
254,SW05,1709831098.9863696
255,SN13,1709831098.9930162
256,SN19,1709831098.9954076
257,SN110,1709831098.9976432
258,SE12,1709831099.0040088
259,EN17,1709831099.272304
260,EN18,1709831099.275469
261,EW10,1709831099.2828145
262,SW01,1709831099.2894328
263,SW05,1709831099.2919393
264,SN13,1709831099.2990112
265,SN19,1709831099.30126
266,SN110,1709831099.303494
267,SE12,1709831099.3126721
268,EN17,1709831099.5758212
269,EN18,1709831099.5781932
270,EW10,1709831099.583261
271,SW01,1709831099.5892239
272,SW05,1709831099.5915866
273,SN13,1709831099.597951
274,SN19,1709831099.6003616
275,SN110,1709831099.602643
276,SE12,1709831099.6089149
277,EN17,1709831099.876323
278,EN18,1709831099.8796794
279,EW10,1709831099.8853314
280,SW01,1709831099.8924065
281,SW05,1709831099.8948758
282,SN13,1709831099.9054196
283,SN19,1709831099.907826
284,SN110,1709831099.9099877
285,SE12,1709831099.9171708
286,EN17,1709831100.1716204
287,EN18,1709831100.174194
288,EW10,1709831100.1809075
289,SW01,1709831100.1878412
290,SW05,1709831100.1901777
291,SN13,1709831100.1970665
292,SN19,1709831100.1994255
293,SN110,1709831100.2018063
294,SE12,1709831100.2090695
295,EN17,1709831100.4791768
296,EN18,1709831100.482313
297,EW10,1709831100.4935157
298,SW01,1709831100.5001419
299,SW05,1709831100.5042617
300,SN13,1709831100.5114558
301,SN19,1709831100.5135832
302,SN110,1709831100.5157232
303,SE12,1709831100.526139
304,EN17,1709831100.7799184
305,EN18,1709831100.7817917
306,EW10,1709831100.7882063
307,SW01,1709831100.799685
308,SW05,1709831100.8031917
309,SN13,1709831100.8091993
310,SN19,1709831100.8126552
311,SN110,1709831100.8154297
312,SE12,1709831100.8228269
313,EN17,1709831101.0791664
314,EN18,1709831101.0814009
315,EW10,1709831101.089584
316,SW01,1709831101.098465
317,SW05,1709831101.1026814
318,SN13,1709831101.1151123
319,SN19,1709831101.117303
320,SN110,1709831101.1194916
321,SE12,1709831101.1406024
322,EN17,1709831101.3779745
323,EN18,1709831101.3802009
