,vehicleid,delaytime,,
0,SN10,15.60730386,,
1,SN12,15.30336189,,
2,SN13,15.30392337,,
3,SE18,6.295913696,,
4,SE111,6.314600706,,
5,SN117,6.316006184,,
6,ES04,30.60239244,,
7,ES06,30.60562587,,
8,ES013,18.29776454,,
9,ES019,8.694408417,,
10,EN17,53.99221396,,
11,EW11,65.41132736,,
12,EN19,52.79293394,,
13,EW115,40.49662614,,
14,EN110,52.79131913,,
15,EW122,26.4018209,,
16,EN114,42.58916569,,
17,EW124,20.68090963,,
18,EN121,6.281264782,,
19,EW128,6.288935661,,
20,EW129,6.262580156,,
21,EN126,6.279539108,,
22,EN127,6.276777029,,
23,EW137,6.292826653,,
24,EW139,6.28183651,,
25,EW140,6.295598269,,
26,SW05,79.21783924,,
27,SW012,70.80834794,,
28,SW016,64.49767303,,
29,SW020,57.59431696,,
30,SW033,6.561953306,,
31,SW036,6.567528248,,
32,SW038,6.577561855,,
33,SW042,6.58144927,,
34,SW048,6.574594975,,
35,SW054,6.588934898,,
36,SW056,6.587707281,,
37,SW061,6.587367058,,
38,SW062,6.592431784,,
39,SN118,81.60245109,,
40,SN130,62.40133977,,
41,SE123,68.42792583,,
42,SN131,62.39751816,,
43,SE125,66.06414914,,
44,SN132,60.59591675,,
45,SE134,52.77366066,,
46,SN135,51.57080698,,
47,SE143,45.04575086,,
48,SN141,47.10385823,,
49,SE149,6.352315903,,
50,SN144,6.295495272,,
51,SN145,6.292289257,,
52,SE164,6.299917936,,
53,SN146,6.26187396,,
54,SE165,6.263504028,,
55,SN147,6.259237766,,
56,SE169,6.265216351,,
57,SN155,6.260572672,,
58,SN157,6.287567139,,
59,SN163,6.251248837,,
60,SN168,6.230524778,,
61,SE170,6.270787716,,
62,SN171,6.290239811,,
63,ES053,53.40047336,,
64,ES066,31.19802499,,
65,ES072,18.89838624,,
66,ES077,8.997282982,,
67,ES079,6.287037373,,
68,EN151,80.09576297,,
69,EN152,79.80214643,,
70,EW150,80.41964984,,
71,EN158,71.10512543,,
72,EW167,53.12074423,,
73,EN159,71.09398556,,
74,EW174,41.39895701,,
75,EN160,71.10155916,,
76,EW182,24.92031908,,
77,EN173,6.287741184,,
78,EN175,6.275691032,,
79,EN183,6.265893221,,
80,EW192,6.25563693,,
81,EN186,6.280757189,,
82,EN190,6.272209167,,
83,EW193,6.261351585,,
84,EW195,6.283043385,,
85,EW197,6.303006172,,
86,EW199,6.292497158,,
87,EN1100,6.304883957,,
88,EW1101,6.300196409,,
89,SW076,58.5011909,,
90,SW078,56.09536839,,
91,SW080,49.786906,,
92,SW0107,6.606794119,,
93,SW0113,6.605969906,,
94,SN181,72.58584952,,
95,SE184,66.90452719,,
96,SN191,52.45790124,,
97,SE185,66.00033355,,
98,SN196,45.93789196,,
99,SE187,63.65072274,,
100,SN1111,12.91156435,,
101,SE188,62.40731907,,
102,SE189,6.287578106,,
103,SE194,6.257107258,,
104,SE198,6.278099775,,
105,SE1102,6.290224314,,
106,SE1105,6.28709054,,
107,SE1106,6.265727282,,
108,SE1108,6.282315016,,
109,SE1109,6.283417702,,
110,SN1124,6.316460609,,
111,SE1117,6.296937704,,
112,SE1123,6.298627377,,
113,SN1132,6.296211958,,
114,SN1133,6.292592525,,
115,ES0104,53.69995522,,
116,ES0110,38.39651799,,
117,ES0112,37.49913526,,
118,ES0118,32.69509721,,
119,ES0122,6.287102461,,
120,ES0125,6.281842709,,
121,ES0136,6.281886578,,
122,ES0142,6.301370621,,
123,ES0144,6.301834822,,
124,ES0147,6.296622276,,
125,EN1115,59.10341334,,
126,EW1103,80.40385056,,
127,EW1114,59.98141217,,
128,EN1131,37.50347638,,
129,EW1121,50.99791646,,
130,EN1145,15.90158677,,
131,EW1126,48.01048684,,
132,EW1127,47.10874867,,
133,EW1128,6.267159462,,
134,EW1129,6.271200657,,
135,EW1130,6.261773825,,
136,EW1134,6.271032572,,
137,EW1135,6.272296429,,
138,EW1138,6.296203613,,
139,SW0116,81.62445593,,
140,SW0119,79.49138069,,
141,SW0120,76.18542051,,
142,SW0140,44.99485922,,
143,SW0141,6.553336859,,
144,SW0151,6.577704906,,
145,SW0154,6.586702824,,
146,SW0155,6.582156897,,
147,SW0157,6.609706402,,
148,SW0162,6.562389851,,
149,SN1143,65.10571742,,
150,SE1137,77.09806252,,
151,SN1146,60.89706016,,
152,SE1139,70.52539563,,
153,SN1149,57.61387062,,
154,SE1148,59.11818051,,
155,SN1161,29.95899844,,
156,SE1156,39.01798224,,
157,SE1172,6.286030054,,
158,SE1174,6.269030094,,
159,SN1177,6.286271811,,
160,SN1178,6.286665678,,
161,SN1179,6.282935143,,
162,SN1183,6.316755533,,
163,ES0150,80.68010378,,
164,ES0152,77.40031528,,
165,ES0153,74.67918468,,
166,ES0158,59.98621321,,
167,ES0159,53.70048118,,
168,ES0163,6.282950401,,
169,ES0169,6.286338329,,
170,ES0193,6.28963232,,
171,ES0198,6.301729202,,
172,EN1160,77.99462342,,
173,EW1164,71.1199131,,
174,EN1165,68.39319944,,
175,EW1166,66.02078414,,
176,EN1168,62.09500623,,
177,EW1167,62.42480516,,
178,EN1173,58.80326056,,
179,EW1170,59.41129327,,
180,EN1188,6.277017832,,
181,EW1175,6.270933151,,
182,EN1196,6.268560171,,
183,EW1181,6.257378578,,
184,EN1197,6.286688805,,
185,EW1191,6.27360177,,
186,EN1200,6.274329424,,
187,EW1194,6.252413511,,
188,EW1202,6.24904871,,
189,EW1206,6.275555372,,
190,EN1208,6.305576563,,
191,EN1209,6.301609993,,
192,SW0171,80.09752464,,
193,SW0176,76.19945383,,
194,SW0180,73.19983673,,
195,SW0182,67.79613209,,
196,SW0184,67.78891063,,
197,SW0189,6.574861288,,
198,SW0192,6.571139097,,
199,SW0199,6.564773798,,
200,SW0207,6.564950228,,
201,SW0213,6.563036919,,
202,SN1185,81.57372117,,
203,SE1190,71.72043061,,
204,SN1186,78.27116227,,
205,SN1187,78.26500201,,
206,SE1203,53.38772559,,
207,SN1195,68.10576582,,
208,SE1205,48.8839159,,
209,SN1204,50.05142879,,
